"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"16603","1.0","73","[""ART""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16604","1.0","153","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16605","1.0","153","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","""A""","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16606","1.0","175","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""IR/Nitrogen Fixation""","398","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16607","1.0","187","[""CHEM""]","1","""0/999""","[""Staff""]","""0/999""","100","999","""General Chemistry""","121","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16608","1.0","196","[""CHEM""]","17","""0/999""","[""Staff""]","""0/999""","200","999","""Organic Chemistry""","247","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16609","0.25","199","[""CHEM""]","15","""0/999""","[""Staff""]","""0/999""","200","999","""Synthesis Lab""","253","true","","4","""0/999""","""0/999""","""O""","19944","""Lab""","1994"
"16610","1.0","259","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","100","999","""Principles of Econ""","121","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16611","1.0","272","[""ECON""]","6","""0/999""","[""Staff""]","""0/999""","200","999","""Urban Economics""","249","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16612","1.0","276","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16613","1.0","277","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Mging Financial In""","298","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16614","1.0","1612","[""CSCI""]","5","""0/999""","[""Staff""]","""0/999""","100","999","""Principles Comp Sci""","172","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16615","1.0","311","[""EDUC""]","6","""0/999""","[""Staff""]","""0/999""","200","999","""Educ Psychology""","290","false","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
"16616","1.0","313","[""EDUC""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19944","""Research""","1994"
