"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5543","1.0","1496","[""ART""]","8","""0/999""","[""Monica Rudquist""]","""0/999""","100","[""DC 115C""]","999","""Found Ceramics: Hand""","121","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1230-0200PM""]","""Research""","2002"
"5544","1.0","29","[""ART""]","16","""0/999""","[""Patrick T. Kelley""]","""0/999""","100","[""DC 102""]","20","""Found Photography""","124","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 0800-0930""]","""Research""","2002"
"5545","1.0","30","[""ART""]","1","""0/999""","[""Mary Griep""]","""0/999""","100","[""DC 216""]","999","""Found Percept Draw""","125","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 0800-0930""]","""Research""","2002"
"5546","1.0","32","[""ART""]","11","""0/999""","[""Heather M. Brooks-Shirey""]","""0/999""","100","[""DC 204""]","999","""Renaissance--Present""","151","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1000-1130""]","""Research""","2002"
"5547","1.0","192","[""CHEM""]","7","""0/999""","[""Patrick N. Riley""]","""0/999""","100","[""SC 378""]","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1000-1130""]","""Research""","2002"
"5548","0.0","193","[""CHEM""]","7","""0/999""","[""Patrick N. Riley""]","""0/999""","100","[""SC 374/363""]","999","""Struct Chem/Lab""","125","false","""A""","4","""0/999""","""0/999""","""O""","20024","[""MW 0100-0400PM""]","""Lab""","2002"
"5549","1.0","196","[""CHEM""]","36","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 0800-0930""]","""Research""","2002"
"5550","0.25","199","[""CHEM""]","17","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Synthesis Lab""","253","true","""A""","4","""0/999""","""0/999""","""O""","20024","","""Lab""","2002"
"5551","0.25","199","[""CHEM""]","14","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Synthesis Lab""","253","true","""B""","4","""0/999""","""0/999""","""O""","20024","","""Lab""","2002"
"5552","1.0","256","[""ECON""]","5","""0/999""","[""Steve Soderlind""]","""0/999""","100","[""HH 403""]","999","""Capitalism: Struggles""","113","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 0800-0930""]","""Research""","2002"
"5553","0.5","326","[""EDUC""]","1","""0/999""","[""James May""]","""0/999""","300","","999","""Tchg of Latin""","349","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5554","0.25","353","[""DNCTE""]","4","""0/999""","[""Jennifer Bader""]","""0/999""","100","[""DC _STUDIO_2""]","999","""Ballet I""","121","true","","4","""0/999""","""0/999""","""O""","20024","[""M-Th 1230-0200PM""]","""Research""","2002"
"5555","1.0","411","[""ENGL""]","7","""0/999""","[""Joseph L. Mbele""]","""0/999""","200","[""RML 525""]","999","""Post-Colonial Lit""","247","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1230-0200PM""]","""Research""","2002"
"5556","1.0","418","[""ENGL""]","13","""0/999""","[""Signe Levine""]","""0/999""","200","[""RML 520""]","15","""Creative Writing I""","257","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1000-1130""]","""Research""","2002"
"5557","1.0","438","[""ENGL""]","2","""0/999""","[""Joseph L. Mbele""]","""0/999""","300","[""RML 525""]","999","""Top: Post Colonial Lit""","347","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1230-0200PM""]","""Topic""","2002"
"5558","1.0","504","[""GERM""]","4","""0/999""","[""Jennifer Hoyer""]","""0/999""","100","","999","""Beginning German I""","111","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5559","1.0","505","[""GERM""]","1","""0/999""","[""Jennifer Hoyer""]","""0/999""","100","","999","""Beginning German II""","112","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5560","1.0","508","[""GERM""]","2","""0/999""","[""Jennifer Hoyer""]","""0/999""","200","","999","""Intermed German I""","231","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5561","1.0","509","[""GERM""]","3","""0/999""","[""Jennifer Hoyer""]","""0/999""","200","","999","""Intermed German II""","232","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5562","1.0","649","[""FAMST""]","6","""0/999""","[""C. George Holt""]","""0/999""","200","[""OM 002""]","999","""Family Relationships""","242","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 0800-0930""]","""Research""","2002"
"5563","1.0","651","[""FAMST""]","8","""0/999""","[""C. George Holt""]","""0/999""","200","[""OM 002""]","999","""Human Sexuality""","253","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 1000-1130""]","""Research""","2002"
"5564","1.0","731","[""MATH""]","2","""0/999""","[""Matthew Bloss""]","""0/999""","100","","999","""Calculus I""","120","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5565","1.0","733","[""MATH""]","1","""0/999""","[""Matthew Bloss""]","""0/999""","100","","999","""Calculus II""","126","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5566","1.0","735","[""MATH""]","13","""0/999""","[""Peder Bolstad""]","""0/999""","200","[""OM 001""]","999","""Principles of Math""","210","false","","4","""0/999""","""0/999""","""O""","20024","[""M-F 0800-0930""]","""Research""","2002"
"5567","1.0","738","[""MATH""]","1","""0/999""","[""Matthew Bloss""]","""0/999""","200","","999","""Multivariable Calc""","226","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5568","1.0","745","[""MATH""]","3","""0/999""","[""Matthew Bloss""]","""0/999""","200","","999","""Elem Real Analysis""","244","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5569","1.0","795","[""MEDIA""]","1","""0/999""","[""William Sonnega""]","""0/999""","200","","999","""Academic Internship""","294","true","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5570","1.0","821","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Counterpoint""","222","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5571","1.0","822","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Composition I""","223","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
"5572","1.0","956","[""NURS""]","9","""0/999""","[""Rita Glazebrook""]","""0/999""","300","","999","""Health Care in Amer""","372","false","","4","""0/999""","""0/999""","""O""","20024","","""Research""","2002"
