"clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year"
"1869","1.0","4","['AMST']","","['Judy Kutulas']","100","['L 420']","Perspec Amer Culture","100","False","False","","1","C","20011","['MWF 1045-1140']","Research","2001"
"1870","1.0","12","['AMST']","","['Mark Allister']","200","","IS/Being Male in Ame","298","False","False","","1","O","20011","","Research","2001"
"1871","1.0","16","['AFAM']","","['Joanne Henry']","200","['L 577']","Africa & the Americas","231","False","False","","1","O","20011","['TTh 1145-0110PM']","Seminar","2001"
"1872","0.5","19","['ART']","","['John Saurer']","100","['DC 216']","Found Perceptual Draw","111","False","False","A","1","O","20011","['TTh 0800-0925']","Research","2001"
"1873","0.5","19","['ART']","","['John Saurer']","100","['DC 216']","Found Perceptual Draw","111","False","False","B","1","O","20011","['TTh 0305-0430PM']","Research","2001"
"1874","0.5","20","['ART']","","['Wendell Arneson']","100","['DC 216']","Found Conceptual Draw","112","False","False","","1","C","20011","['MWF 1045-1140']","Research","2001"
"1875","0.5","21","['ART']","","['Wendell Arneson']","100","['DC 116']","Found Color Design","113","False","False","","1","C","20011","['MWF 0905-1000']","Research","2001"
"1876","0.5","22","['ART']","","['Irve Dell']","100","['DC 106']","Foundation Sculpture","114","False","False","A","1","O","20011","['TTh 0800-0925']","Research","2001"
"1877","0.5","22","['ART']","","['Irve Dell']","100","['DC 106']","Foundation Sculpture","114","False","False","B","1","C","20011","['TTh 0935-1100']","Research","2001"
"1878","0.5","23","['ART']","","['Linda Gammell']","100","['DC 102']","Found Photography","115","False","False","A","1","O","20011","['TTh 0935-1100']","Research","2001"
"1879","0.5","23","['ART']","","['Linda Gammell']","100","['DC 102']","Found Photography","115","False","False","B","1","O","20011","['TTh 1145-0110PM']","Research","2001"
"1880","0.5","24","['ART']","","['Ron Gallas']","100","['DC 115C']","Found Ceramics: Hand","116","False","False","","1","O","20011","['TTh 0935-1100']","Research","2001"
"1881","0.5","26","['ART']","","['Ron Gallas']","100","['DC 115E']","Found Ceramics: Wheel","119","False","False","A","1","C","20011","['TTh 1145-0110PM']","Research","2001"
"1882","0.5","26","['ART']","","['Ron Gallas']","100","['DC 115E']","Found Ceramics: Wheel","119","False","False","B","1","C","20011","['TTh 0120-0245PM']","Research","2001"
"1883","1.0","27","['ART']","","['Jan Shoger']","100","['DC 216']","Honors Found Drawing","120","False","False","","1","C","20011","['MWF 0800-1000']","Research","2001"
"1884","1.0","31","['ART']","","['Nancy M. Thompson']","100","['DC 305']","Ancient--Medieval","150","False","False","","1","C","20011","['TTh 0935-1100']","Research","2001"
"1885","1.0","32","['ART']","","['Nancy M. Thompson']","100","['DC 305']","Renaissance--Present","151","False","False","","1","C","20011","['MWF 0905-1000']","Research","2001"
"1886","1.0","33","['ART']","","['Wendell Arneson']","200","['DC 214']","Oil/Acrylic Painting","221","False","False","","1","C","20011","['MWF 1255-0255PM']","Research","2001"
"1887","1.0","35","['ART']","","['Irve Dell']","200","['DC 105']","Sculpt: Metal Casting","223","False","False","","1","O","20011","['TTh 1145-0245PM']","Research","2001"
"1888","1.0","38","['ART']","","['Jan Shoger']","200","['DC 212']","Printmkg: Relief/Litho","226","False","False","","1","C","20011","['MWF 1045-1245PM']","Research","2001"
"1889","1.0","42","['ART']","","['Patrick T. Kelley']","200","['DC 100']","Motion Graphics","230","False","False","","1","O","20011","['TTh 1145-0245PM']","Research","2001"
"1890","1.0","50","['ART']","","['Kristi Holden']","200","['DC 305']","Art 1776-1880","251","False","False","","1","O","20011","['MWF 1045-1140']","Research","2001"
"1891","1.0","60","['ART']","","['Nancy M. Thompson']","200","['DC 305']","Medieval Art","263","False","False","","1","O","20011","['TTh 1145-0110PM']","Research","2001"
