"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"57074","1.0","313","[""EDUC""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57075","1.0","344","[""EDUC""]","0","""0/999""","","","[""Rosemary A. Pfarr-Baker""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57076","1.0","374","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57077","1.0","377","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57078","1.0","433","[""ENGL""]","1","""0/999""","","","[""Richard Buckstead""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57079","1.0","449","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57080","1.0","464","[""ENVST""]","4","""0/999""","","","[""Brett A. Werner""]","""2/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""1/999""","""O""","20072","","""Internship""","""Research""","2007"
"57081","1.0","466","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57082","1.0","490","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57083","1.0","494","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57084","1.0","522","[""GERM""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57085","1.0","529","[""GERM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57086","1.0","543","[""GREEK""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57087","1.0","550","[""GREEK""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57088","1.0","624","[""HIST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57089","1.0","640","[""HIST""]","1","""0/999""","","","[""Eric J. Fure-Slocum""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57090","1.0","643","[""HSPST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57091","1.0","646","[""HSPST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57092","1.0","653","[""FAMST""]","2","""0/999""","","","[""Sharon Powell""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57093","1.0","656","[""FAMST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57094","1.0","686","[""IS""]","1","""0/999""","","","[""Bryn Geffert""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57095","1.0","691","[""IS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57096","1.0","707","[""ID""]","1","""0/999""","","","[""Susan Bauer""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""O""","20072","","","""Research""","2007"
"57097","1.0","709","[""ID""]","8","""0/999""","","","[""Kevin M. Crisp""]","""5/999""","300","","999","""Academic Internship""","394","true","","2","""3/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57098","1.0","716","[""LATIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57099","1.0","725","[""LATIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","","""Research""","2007"
"57100","1.0","751","[""MATH""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57101","1.0","784","[""MGMT""]","3","""0/999""","","","[""Richard Goedde""]","""2/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57102","1.0","788","[""MGMT""]","3","""0/999""","","","[""Sian E. Muir""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""3/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57103","1.0","795","[""MEDIA""]","1","""0/999""","","","[""Judy Kutulas""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57104","1.0","797","[""MEDIA""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57105","1.0","846","[""MUSIC""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
"57106","1.0","865","[""MUSIC""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20072","","""Internship""","""Research""","2007"
