"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"94989","1.0","190","[""CHEM""]","20","""6/999""","[""IST"", ""SED""]","190","","[""George K. Anquandah""]","""4/999""","100","[""RNS 410""]","24","""A Matter of Environ""","124","false","","2","""3/999""","""7/999""","""C""","20142","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2014"
"94990","0.0","191","[""CHEM""]","20","""6/999""","","190","","[""George K. Anquandah""]","""4/999""","100","[""RNS 454""]","24","""A Matter of Environ Lab""","124","false","","2","""2/999""","""8/999""","""C""","20142","[""TWTh 1230-0330PM""]","","""Lab""","2014"
"94991","1.0","11","[""AMST""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","""Internship""","""Research""","2014"
"94992","1.0","68","[""ART""]","1","""0/999""","","","","[""Karil J. Kucera""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"94993","1.0","73","[""ART""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"94994","1.0","93","[""ASIAN""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"94995","1.0","96","[""ASIAN""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"94996","1.0","153","[""BIO""]","4","""0/999""","","","","[""Jean C. Porterfield""]","""4/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","""Internship""","""Research""","2014"
"94997","1.0","174","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","""Internship""","""Research""","2014"
"94998","1.0","204","[""CHEM""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","""Internship""","""Research""","2014"
"94999","1.0","222","[""CHEM""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","""Internship""","""Research""","2014"
"95000","1.0","233","[""CLASS""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"95001","1.0","235","[""CLASS""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"95002","1.0","248","[""CHIN""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"95003","1.0","251","[""CHIN""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
"95004","1.0","276","[""ECON""]","1","""0/999""","","","","[""Xun Pomponio""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20142","","","""Research""","2014"
"95005","1.0","284","[""ECON""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20142","","","""Research""","2014"
