"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"19782","1.0","5","[""AMST""]","23","""2/999""","[""Christopher D. Grasso""]","""10/999""","200","[""H 307""]","40","""Top: Heartland Histor""","205","false","","2","""8/999""","""0/999""","""O""","19962","[""M-F 1040-1240PM""]","""Topic""","1996"
"19783","1.0","1496","[""ART""]","16","""15/999""","[""Ron Gallas""]","""1/999""","100","","15","""Found Ceramics: Hand""","121","false","","2","""1/999""","""0/999""","""C""","19962","[""M-F 1040-1240PM""]","""Research""","1996"
"19784","1.0","28","[""ART""]","17","""20/999""","[""Irve Dell""]","""0/999""","100","[""SCULTP ST""]","20","""Foundation Sculpture""","122","false","","2","""0/999""","""0/999""","""C""","19962","[""M-F 1040-1240PM""]","""Research""","1996"
"19785","1.0","30","[""ART""]","22","""19/999""","[""John Saurer""]","""0/999""","100","[""FH 42""]","20","""Found Percept Draw""","125","false","","2","""1/999""","""0/999""","""C""","19962","[""M-F 1040-1240PM""]","""Research""","1996"
"19787","1.0","44","[""ART""]","15","""1/999""","[""Mary Griep""]","""8/999""","200","[""FH 40""]","22","""Advanced Drawing""","243","false","","2","""2/999""","""2/999""","""O""","19962","[""M-F 0900-1000"", ""M-F 1040-1210PM""]","""Research""","1996"
"19788","1.0","50","[""ART""]","33","""1/999""","[""Matthew Rohn""]","""12/999""","200","[""FH 01""]","50","""Early Modernism""","251","false","","2","""13/999""","""0/999""","""O""","19962","[""MTThF 1040-1240PM""]","""Research""","1996"
"19789","1.0","54","[""ART""]","16","""0/999""","[""Katherine Smith-Abbott""]","""5/999""","200","","18","""Italian Renaissance""","255","false","","2","""10/999""","""1/999""","""C""","19962","","""Research""","1996"
"19790","1.0","48","[""ART""]","15","""1/999""","[""Jan Shoger""]","""8/999""","200","","15","""Pratt-Manhattan""","262","false","","2","""5/999""","""0/999""","""C""","19962","","""Research""","1996"
"19791","1.0","62","[""ART""]","23","""2/999""","[""Staff""]","""11/999""","200","[""FH 01""]","40","""Arts of Scandinavia""","266","false","","2","""6/999""","""0/999""","""O""","19962","[""M-Th 0100-0300PM""]","""Research""","1996"
"19792","1.0","68","[""ART""]","1","""0/999""","[""Steven Edwins""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19962","","""Research""","1996"
