"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"7508","1.0","18","[""ART""]","3","""0/999""","[""Staff""]","""0/999""","100","[""DC 216""]","999","""Foundation Drawing""","110","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1230-0200PM""]","""Research""","2003"
"7509","1.0","1496","[""ART""]","7","""0/999""","[""Staff""]","""0/999""","100","[""DC 115E""]","999","""Foundations Ceramics""","121","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1230-0200PM""]","""Research""","2003"
"7510","1.0","29","[""ART""]","9","""0/999""","[""Staff""]","""0/999""","100","[""DC 102""]","999","""Found Photography""","124","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7511","1.0","32","[""ART""]","7","""0/999""","[""Staff""]","""0/999""","100","[""DC 204""]","999","""Renaissance--Present""","151","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7512","1.0","78","[""ASIAN""]","4","""0/999""","[""Staff""]","""0/999""","100","[""RML 515""]","999","""Asian Cultures""","121","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7513","1.0","100","[""BIO""]","9","""0/999""","[""Staff""]","""0/999""","100","[""SC 278"", ""SC 273""]","999","""Biological Science""","121","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0800-0930"", ""T 0100-0500PM""]","""Research""","2003"
"7514","1.0","122","[""BIO""]","8","""0/999""","[""Staff""]","""0/999""","200","[""SC 274"", ""SC 211""]","999","""Intermediate Genetics""","233","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130"", ""WTh 0100-0400PM""]","""Research""","2003"
"7515","1.0","196","[""CHEM""]","42","""0/999""","[""Staff""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0800-0930""]","""Research""","2003"
"7516","0.25","199","[""CHEM""]","34","""0/999""","[""Staff""]","""0/999""","200","[""SC 311""]","48","""Synthesis Lab""","253","true","4","""0/999""","""0/999""","""O""","20034","[""MT 0100-0400PM""]","""Lab""","2003"
"7517","1.0","315","[""EDUC""]","12","""0/999""","[""Staff""]","""0/999""","300","[""FH 10L"", ""FH 10L""]","999","""Soc St-Elem Classroom""","314","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0900-1200PM"", ""M-F 0100-0300PM""]","""Research""","2003"
