"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"67922","1.0","190","[""CHEM""]","9","""3/999""","[""IST"", ""SED""]","190","[""Janice Pellino""]","""1/999""","100","[""RNS 435""]","30","""A Matter of Environ""","124","false","","2","""0/999""","""5/999""","""O""","20092","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2009"
"67923","0.0","191","[""CHEM""]","9","""3/999""","","190","[""Janice Pellino""]","""1/999""","100","[""RNS 454""]","30","""A Matter of Environ Lab""","124","false","","2","""0/999""","""5/999""","""O""","20092","[""TWTh 1230-0330PM""]","","""Lab""","2009"
"67924","1.0","11","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67925","1.0","68","[""ART""]","1","""0/999""","","","[""Wendell Arneson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67926","1.0","73","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67927","1.0","93","[""ASIAN""]","1","""0/999""","","","[""Robert Entenmann""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67928","1.0","96","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67929","1.0","153","[""BIO""]","5","""0/999""","","","[""Theodore Johnson""]","""3/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""1/999""","""C""","20092","","""Internship""","""Research""","2009"
"67930","1.0","174","[""BIO""]","1","""0/999""","","","[""Jean C. Porterfield""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67931","1.0","204","[""CHEM""]","1","""0/999""","","","[""Theodore Johnson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""C""","20092","","""Internship""","""Research""","2009"
"67932","1.0","222","[""CHEM""]","1","""0/999""","","","[""Nathaniel J. Schaefle""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67933","1.0","233","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67934","1.0","235","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67935","1.0","248","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67936","1.0","251","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67937","1.0","276","[""ECON""]","2","""0/999""","","","[""David Schodt""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67938","1.0","284","[""ECON""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67939","1.0","299","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67940","1.0","306","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
