"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"18789","1.0","106","[""BIO""]","4","""0/999""","[""Paul Cabe""]","""0/999""","100","999","""Cellular Bio & Genetics""","125","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18790","0.0","107","[""BIO""]","4","""0/999""","[""Staff""]","""0/999""","100","999","""Cellular Bio & Gen/Lab""","125","false","","4","""0/999""","""0/999""","""O""","19954","""Lab""","1995"
"18791","1.0","153","[""BIO""]","1","""0/999""","[""Lauri Sammartano""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18792","1.0","153","[""BIO""]","1","""0/999""","[""Louis Henry Kermott""]","""0/999""","200","999","""Internship""","294","true","""A""","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18793","1.0","161","[""BIO""]","1","""0/999""","[""Kathleen L. Shea""]","""0/999""","300","999","""Field Ecology""","371","false","","4","""0/999""","""0/999""","""C""","19954","""Research""","1995"
"18794","1.0","174","[""BIO""]","1","""0/999""","[""Theodore Johnson""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18795","1.0","192","[""CHEM""]","6","""0/999""","[""Gary Miessler""]","""0/999""","100","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18796","0.0","193","[""CHEM""]","5","""0/999""","[""Staff""]","""0/999""","100","999","""Struct Chem & Equ/Lab""","125","false","","4","""0/999""","""0/999""","""O""","19954","""Lab""","1995"
"18797","1.0","196","[""CHEM""]","11","""0/999""","[""Wesley Pearson""]","""0/999""","200","999","""Organic Chemistry""","247","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18798","0.25","199","[""CHEM""]","10","""0/999""","[""Wesley Pearson""]","""0/999""","200","999","""Synthesis Lab""","253","true","","4","""0/999""","""0/999""","""O""","19954","""Lab""","1995"
"18799","1.0","259","[""ECON""]","2","""0/999""","[""Steve Soderlind""]","""0/999""","100","999","""Principles of Econ""","121","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18800","1.0","272","[""ECON""]","5","""0/999""","[""Steve Soderlind""]","""0/999""","200","999","""Urban Economics""","249","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18801","1.0","276","[""ECON""]","1","""0/999""","[""Richard Goedde""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18802","1.0","306","[""CSCI""]","1","""0/999""","[""Matthew Richey""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18803","1.0","306","[""CSCI""]","1","""0/999""","[""Richard Brown""]","""0/999""","300","999","""Internship""","394","true","""A""","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18804","1.0","345","[""EDUC""]","1","""0/999""","[""Myron L. Solid""]","""0/999""","300","999","""IR/Social Studies Per""","398","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18805","1.0","1669","[""ENGL""]","3","""0/999""","[""Jonathan Hill""]","""0/999""","100","999","""Intro to Literature""","125","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18806","1.0","1690","[""ENGL""]","2","""0/999""","[""Jonathan Hill""]","""0/999""","200","999","""The Romantic Period""","235","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18807","1.0","426","[""ENGL""]","2","""0/999""","[""John T. Day""]","""0/999""","200","999","""Intro to Shakespeare""","280","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18808","1.0","444","[""ENGL""]","1","""0/999""","[""John T. Day""]","""0/999""","300","999","""Shakespeare""","380","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18809","1.0","452","[""ENGL""]","1","""0/999""","[""Jonathan Hill""]","""0/999""","300","999","""Sem: The Romantics""","399","false","","4","""0/999""","""0/999""","""O""","19954","""Seminar""","1995"
"18810","1.0","496","[""FREN""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""IR/19th C Short Story""","398","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18811","1.0","1820","[""HIST""]","5","""0/999""","[""Frieda Knobloch""]","""0/999""","200","999","""U.S. Since 1865""","206","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18812","1.0","649","[""FAMST""]","4","""0/999""","[""C. George Holt""]","""0/999""","200","999","""Family Relationships""","242","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18813","1.0","651","[""FAMST""]","6","""0/999""","[""C. George Holt""]","""0/999""","200","999","""Human Sexuality""","253","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18814","1.0","707","[""ID""]","1","""0/999""","[""Mary Ann Emery"", ""Jim Holden""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18815","1.0","731","[""MATH""]","3","""0/999""","[""Bruce Hanson""]","""0/999""","100","999","""Calculus I""","120","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18816","1.0","733","[""MATH""]","3","""0/999""","[""Bruce Hanson""]","""0/999""","100","999","""Calculus II""","126","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18817","1.0","745","[""MATH""]","5","""0/999""","[""Bruce Hanson""]","""0/999""","200","999","""Elem Real Analysis""","244","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18818","1.0","803","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","100","999","""The Music Spectrum""","130","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18819","1.0","822","[""MUSIC""]","3","""0/999""","[""Peter S. Hamlin""]","""0/999""","200","999","""Composition I""","223","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18820","1.0","1974","[""MUSIC""]","2","""0/999""","[""David Carter""]","""0/999""","200","999","""The Art of Music""","230","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18821","0.25","1986","[""MUSIC""]","2","""0/999""","[""Staff""]","""0/999""","200","999","""Church Serv Playing""","262","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18822","1.0","851","[""MUSIC""]","2","""0/999""","[""Peter S. Hamlin""]","""0/999""","300","999","""Composition II""","324","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18823","1.0","926","[""NORW""]","1","""0/999""","[""Solveig Zempel""]","""0/999""","200","999","""Intermed Norwegian I""","231","false","","4","""0/999""","""0/999""","""C""","19954","""Research""","1995"
"18824","1.0","980","[""PHIL""]","5","""0/999""","[""Rick A. Fairbanks""]","""0/999""","200","999","""Law,Politics,Morality""","254","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18825","1.0","992","[""PHIL""]","1","""0/999""","[""Charles Taliaferro""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18826","1.0","993","[""PHIL""]","1","""0/999""","[""Rick A. Fairbanks""]","""0/999""","300","999","""IR/Aristotle & Virtue""","398","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18827","0.25","995","[""PEAC""]","1","""0/999""","[""Staff""]","""0/999""","100","999","""Individualized Phy Ed""","100","false","","4","""0/999""","""0/999""","""C""","19954","""Research""","1995"
"18828","0.25","2185","[""PEAC""]","9","""0/999""","[""Staff""]","""0/999""","100","999","""Individual Fitness""","132","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18829","1.0","1072","[""PHYS""]","11","""0/999""","[""Amy Kolan""]","""0/999""","100","20","""Principles Physics I""","124","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18830","0.0","1073","[""PHYS""]","11","""0/999""","[""Staff""]","""0/999""","100","20","""Prin Physics I/Lab""","124","false","","4","""0/999""","""0/999""","""O""","19954","""Lab""","1995"
"18831","1.0","1151","[""PSCI""]","1","""0/999""","[""Daniel Hofrenning""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18832","1.0","1154","[""PSYCH""]","2","""0/999""","[""Bonnie Sherman""]","""0/999""","100","999","""Prin: Experimental Psy""","123","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18833","1.0","1179","[""PSYCH""]","1","""0/999""","[""Mark Sundby""]","""0/999""","200","999","""IS/Head Start Program""","298","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18834","1.0","1188","[""PSYCH""]","1","""0/999""","[""Deborah Anderson""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18835","1.0","1201","[""REL""]","7","""0/999""","[""Susan Lindley""]","""0/999""","200","999","""Types Protestantism""","215","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18836","1.0","2321","[""REL""]","7","""0/999""","[""Susan Lindley""]","""0/999""","200","999","""Women Judaism/Christ""","264","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18838","1.0","1317","[""SOAN""]","4","""0/999""","[""Raymond DeVries""]","""0/999""","300","999","""Found Soc Sci Resrch""","371","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18839","1.0","1324","[""SPAN""]","2","""0/999""","[""Joan Odd""]","""0/999""","100","999","""Beginning Spanish I""","111","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18840","1.0","792","[""THEAT""]","1","""0/999""","[""Staff""]","""0/999""","100","999","""Mass Media""","160","false","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18842","1.0","1394","[""THEAT""]","2","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18843","1.0","1400","[""THEAT""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""Internship""","394","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18844","1.0","1409","[""STAT""]","1","""0/999""","[""Richard Single""]","""0/999""","200","999","""Internship""","294","true","","4","""0/999""","""0/999""","""O""","19954","""Research""","1995"
"18845","1.0","1417","[""URBAN""]","","","[""Daniel Hofrenning""]","","300","","""Internship""","394","true","","4","","","""O""","19954","""Research""","1995"

