"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"101111","0.25","17526","[""HIST""]","14","""1/999""","","","","","[""Robert Entenmann""]","""5/999""","200","","10","""FLC - Chinese""","251","false","","3","""5/999""","""3/999""","""C""","20153","","","""FLAC""","2015"
"101116","0.25","16218","[""SOAN""]","9","""3/999""","","","","","[""Christopher L. Chiappari""]","""0/999""","200","","10","""FLC - Spanish""","237","false","","3","""5/999""","""1/999""","""O""","20153","","","""FLAC""","2015"
"101117","1.0","747","[""MATH""]","19","""1/999""","[""WRI""]","","","","[""Kosmas Diveris""]","""6/999""","200","[""TOH 186""]","24","""Abstract Algebra I""","252","false","""A""","3","""0/999""","""12/999""","""C""","20153","[""MWF 1255-0150PM""]","","""Research""","2015"
"101118","1.0","747","[""MATH""]","23","""3/999""","[""WRI""]","","","","[""Ryota Matsuura""]","""5/999""","200","[""TOH 186""]","24","""Abstract Algebra I""","252","false","""B""","3","""3/999""","""12/999""","""C""","20153","[""MWF 0200-0255PM""]","","""Research""","2015"
"101120","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20153","","","""Research""","2015"
"101121","1.0","68","[""ART""]","1","""0/999""","","","","","[""Irve Dell""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""1/999""","""0/999""","""C""","20153","","","""Research""","2015"
"101122","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20153","","","""Research""","2015"
"101123","1.0","93","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20153","","","""Research""","2015"
"101124","1.0","96","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20153","","","""Research""","2015"
"101125","1.0","153","[""BIO""]","1","""0/999""","","","","","[""Diane K. Angell""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""1/999""","""0/999""","""C""","20153","","","""Research""","2015"
"101126","1.0","174","[""BIO""]","1","""0/999""","","","","","[""Diane K. Angell""]","""1/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20153","","","""Research""","2015"
