"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"88085","1.0","26217","[""HIST""]","7","""1/999""","","","","[""Timothy R. Howe""]","""0/999""","200","","10","""Archaeological Methods""","202","false","""H""","5","""1/999""","""5/999""","""C""","20125","","""Mediterranean Archaeology Field School""","""Research""","2012"
"91377","1.0","1376","[""THEAT""]","0","""0/999""","[""ALS-A"", ""ORC""]","","","[""Jeanne I. Willcoxon""]","""0/999""","100","[""TB Haugen""]","999","""Acting for Non-Majors""","115","false","","5","""0/999""","""0/999""","""X""","20125","[""M-F 1000-1130""]","""Acting for the Non Major""","""Research""","2012"
"91378","1.0","1398","[""THEAT""]","0","""0/999""","","","","[""Todd F. Edwards""]","""0/999""","300","[""TB Kelsey""]","999","""Top: Stage Combat""","379","false","","5","""0/999""","""0/999""","""X""","20125","[""M-F 1230-0200PM""]","""Topics in Interpretation and Theater""","""Topic""","2012"
"91393","1.0","194","[""CHEM""]","9","""4/999""","[""SED""]","194","","[""Patrick N. Riley""]","""1/999""","100","[""RNS 310""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""4/999""","""O""","20125","[""M-F 1000-1130""]","""Energies and Rates of Chemical Reactions""","""Research""","2012"
"91394","0.0","195","[""CHEM""]","9","""4/999""","","194","","[""Patrick N. Riley""]","""1/999""","100","[""RNS 355""]","999","""Chemical Reactions Lab""","126","false","","5","""0/999""","""4/999""","""O""","20125","[""MW 0100-0400PM""]","","""Lab""","2012"
"91395","1.0","197","[""CHEM""]","30","""6/999""","","197","","[""Wesley Pearson""]","""9/999""","200","[""RNS 310""]","999","""Organic Chemistry II""","248","false","","5","""4/999""","""11/999""","""O""","20125","[""M-F 0800-0930""]","","""Research""","2012"
"91396","0.25","200","[""CHEM""]","14","""1/999""","","197","","[""Cassidy R. Terrell""]","""3/999""","200","[""RNS 340""]","999","""Synthesis Lab II""","254","true","""A""","5","""3/999""","""7/999""","""O""","20125","[""TTh 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2012"
"91397","0.25","200","[""CHEM""]","12","""5/999""","","197","","[""Cassidy R. Terrell""]","""4/999""","200","[""RNS 340""]","999","""Synthesis Lab II""","254","true","""B""","5","""1/999""","""2/999""","""O""","20125","[""MW 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2012"
"91398","1.0","499","[""ID""]","10","""0/999""","[""HBS"", ""MCG""]","","","[""Robert W. McClure""]","""6/999""","200","[""TOH 212""]","999","""Human Geography""","234","false","","5","""1/999""","""3/999""","""O""","20125","[""M-F 1230-0200PM""]","""Human Geography of the Middle East""","""Research""","2012"
"91401","1.0","1176","[""PSYCH""]","7","""0/999""","[""HBS""]","","","[""Carlo O. Veltri""]","""3/999""","200","[""RNS 124""]","999","""Psychopathology""","247","false","","5","""0/999""","""4/999""","""O""","20125","[""M-F 1000-1130""]","","""Research""","2012"
"91410","1.0","108","[""BIO""]","0","""0/999""","[""SED""]","108","","[""Jean C. Porterfield""]","""0/999""","100","[""RNS 435""]","999","""Evolution and Diversity""","126","false","","5","""0/999""","""0/999""","""X""","20125","[""M-Th 1000-1130""]","","""Research""","2012"
"91411","0.0","109","[""BIO""]","0","""0/999""","","108","","[""Jean C. Porterfield""]","""0/999""","100","[""RNS 455""]","999","""Evolution & Diversity Lab""","126","false","","5","""0/999""","""0/999""","""X""","20125","[""TTh 0100-0400PM""]","","""Lab""","2012"
"91419","0.5","1016","[""ESAC""]","2","""0/999""","[""SPM""]","","","[""Andrea J. Gelle""]","""1/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","5","""0/999""","""1/999""","""O""","20125","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2012"
"91420","0.5","1012","[""ESAC""]","7","""0/999""","[""SPM""]","","","[""Andrea J. Gelle""]","""6/999""","100","[""SAC 112""]","999","""Individual Fitness.50""","133","false","","5","""0/999""","""1/999""","""O""","20125","[""M-F 0230-0400PM""]","""Individual Fitness""","""Research""","2012"
"91460","1.0","20060","[""REL""]","21","""3/999""","[""BTS-T"", ""WRI""]","","""R""","[""Gregory A. Walter""]","""8/999""","200","[""OM 110""]","999","""Quest of Ring/Grail/Cross""","238","false","","5","""2/999""","""8/999""","""O""","20125","[""M-F 1000-1130""]","""Quest of the Ring, the Grail, and the Cross""","""Research""","2012"
"91461","1.0","1237","[""REL""]","7","""1/999""","[""EIN"", ""WRI""]","","","[""Gregory A. Walter""]","""4/999""","200","[""OM 110""]","999","""Rel Pluralsm/Communit""","295","false","","5","""2/999""","""0/999""","""O""","20125","[""M-F 0800-0930""]","""Religious Pluralism and the Nature of Community""","""Research""","2012"
"91629","1.0","609","[""ASIAN"", ""HIST""]","0","""0/999""","[""MCG""]","","","[""Robert Entenmann""]","""0/999""","200","[""HH 514""]","999","""Modern China""","251","false","","5","""0/999""","""0/999""","""X""","20125","[""M-F 1000-1130""]","","""Research""","2012"
"91630","1.0","406","[""ENGL""]","14","""2/999""","[""ALS-L""]","","","[""Jan C. Hill""]","""7/999""","200","[""RML 420""]","999","""Children's Literature""","242","false","","5","""2/999""","""3/999""","""O""","20125","[""M-Th 0230-0400PM""]","""Children's and Young Adult Literature""","""Research""","2012"
"91631","1.0","24362","[""PHIL""]","6","""0/999""","[""SPM""]","","""R""","[""Danny Munoz-Hutchinson""]","""4/999""","100","[""SAC Wr Rm""]","999","""Zen and Art of Judo""","127","false","","5","""0/999""","""2/999""","""O""","20125","[""M-F 0230-0400PM""]","""Zen and the Art of Judo""","""Research""","2012"
"91736","1.0","745","[""MATH""]","3","""0/999""","[""WRI""]","","","[""Bruce Hanson""]","""2/999""","200","[""TOH 186""]","999","""Real Analysis I""","244","false","","5","""0/999""","""1/999""","""O""","20125","[""M-F 1000-1130""]","","""Research""","2012"
"91751","1.0","1104","[""PSCI""]","5","""0/999""","[""HBS"", ""MCG""]","","","[""Kristina Thalhammer""]","""4/999""","100","[""HH 319""]","999","""Comparative Politics""","112","false","","5","""0/999""","""1/999""","""O""","20125","[""M-F 0800-0930""]","","""Research""","2012"
"91752","1.0","1127","[""PSCI""]","3","""0/999""","[""WRI""]","","","[""Kristina Thalhammer""]","""3/999""","200","[""HH 319""]","999","""US/Latin Am Relations""","257","false","","5","""0/999""","""0/999""","""O""","20125","[""M-F 1000-1130""]","""U.S. - Latin American Relations""","""Research""","2012"
"91952","0.25","624","[""HIST""]","3","""1/999""","","","","[""Timothy R. Howe""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20125","","""Internship""","""Research""","2012"
"92014","1.0","24281","[""ID""]","9","""0/999""","[""WRI""]","","""R""","[""Heather Campbell""]","""8/999""","200","","999","""McNair Research Writing""","237","false","","5","""1/999""","""0/999""","""C""","20125","","""McNair Research Writing Across the Disciplines""","""Research""","2012"
"92015","1.0","1289","[""SOAN""]","0","""0/999""","[""HBS"", ""MCD""]","","","[""Ibtesam Al Atiyat""]","""0/999""","100","","999","""Intro to Sociology""","121","false","","5","""0/999""","""0/999""","""X""","20125","[""M-F 0800-0930""]","""Introduction to Sociology""","""Research""","2012"
"92016","1.0","23944","[""SOAN""]","0","""0/999""","[""MCG""]","","""R""","[""Ibtesam Al Atiyat""]","""0/999""","200","","999","""Intro Islamic Feminisms""","235","false","","5","""0/999""","""0/999""","""X""","20125","[""M-F 1000-1130""]","""Introduction to Islamic Feminisms""","""Research""","2012"
"92037","0.25","707","[""ID""]","1","""0/999""","","","","[""Rebecca S. Richards""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20125","","","""Research""","2012"
"92067","0.25","153","[""BIO""]","1","""0/999""","","","","[""Michael Swift""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20125","","""Internship""","""Research""","2012"
"92097","1.0","795","[""MEDIA""]","1","""0/999""","","","","[""John A. Bazzachini""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""1/999""","""O""","20125","","""Internship""","""Research""","2012"
"92111","1.0","1179","[""PSYCH""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","5","""0/999""","""0/999""","""C""","20125","","""Independent Study""","""Research""","2012"
"92115","1.0","24395","[""FILM""]","1","""0/999""","","","""R""","[""Diana Postlethwaite""]","""1/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20125","","","""Research""","2012"
