"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"59160","1.0","508","[""GERM""]","0","""0/999""","","[""Jerrolyn Hurlbutt""]","""0/999""","200","","999","""Intermed German I""","231","false","","5","""0/999""","""0/999""","""O""","20065","","""Intermediate German I""","""Research""","2006"
"59570","1.0","434","[""ENGL""]","1","""0/999""","","[""Eliot K. Wilson""]","""0/999""","200","","999","""IS/Ekphrasis""","298","false","","5","""0/999""","""1/999""","""O""","20065","","""Independent Study""","""Research""","2006"
"59597","1.0","1395","[""THEAT""]","1","""0/999""","","[""Karen Wilson""]","""0/999""","200","","999","""IS/Stage Management""","298","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Study""","""Research""","2006"
"59615","1.0","709","[""ID""]","1","""0/999""","","[""Robert W. McClure""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59616","0.5","961","[""NURS""]","3","""0/999""","","[""Rita Glazebrook""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59625","0.5","961","[""NURS""]","2","""0/999""","","[""Diana Neal""]","""0/999""","300","","999","""Academic Internship""","394","true","""A""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59626","0.5","961","[""NURS""]","2","""0/999""","","[""Carol H. Austin""]","""0/999""","300","","999","""Academic Internship""","394","true","""B""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59627","0.5","795","[""MEDIA""]","1","""0/999""","","[""David Booth""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59628","1.0","1236","[""REL""]","1","""0/999""","","[""Douglas Schuurman""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59630","1.0","277","[""ECON""]","1","""0/999""","","[""Steve Soderlind""]","""0/999""","200","","999","""IS/Income Inequality""","298","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Study""","""Research""","2006"
"59644","0.5","653","[""FAMST""]","2","""0/999""","","[""Sharon Powell""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59645","1.0","1058","[""ESTH""]","0","""0/999""","","[""Shahram Ahrar""]","""0/999""","200","","999","""IS/POTS: Research & Rehab""","298","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Study""","""Research""","2006"
"59647","0.5","313","[""EDUC""]","1","""0/999""","","[""Heather Campbell""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59649","1.0","14","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59650","1.0","15","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","300","","999","""IR/Environment Journalism""","398","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Research""","""Research""","2006"
"59651","0.5","1139","[""PSCI""]","0","""0/999""","","[""Douglas J. Casson""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
