"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"95467","0.25","17526","[""ASIAN"", ""HIST""]","5","""1/999""","","","","","[""Robert Entenmann""]","""2/999""","200","","10","""FLC - Chinese""","251","false","","3","""0/999""","""2/999""","""O""","20143","","","""FLAC""","2014"
"95468","0.25","18817","[""MUSIC""]","2","""0/999""","","","","","[""Kent M. McWilliams""]","""1/999""","200","[""CHM 224""]","19","""FLC - German""","242","false","","3","""1/999""","""0/999""","""O""","20143","[""W 0800-0855""]","","""FLAC""","2014"
"95473","0.25","16222","[""HIST""]","8","""1/999""","","","","","[""Jeane DeLaney"", ""Gwendolyn Barnes-Karol""]","""0/999""","200","","10","""FLC - Spanish""","242","false","","3","""3/999""","""4/999""","""C""","20143","","","""FLAC""","2014"
"95474","1.0","747","[""MATH""]","19","""3/999""","[""WRI""]","","","","[""Adam H. Berliner""]","""8/999""","200","[""RNS 206""]","20","""Abstract Algebra I""","252","false","""A""","3","""1/999""","""7/999""","""C""","20143","[""MWF 1150-1245PM""]","","""Research""","2014"
"95475","1.0","747","[""MATH""]","10","""2/999""","[""WRI""]","","","","[""Kosmas Diveris""]","""4/999""","200","[""RNS 204""]","20","""Abstract Algebra I""","252","false","""B""","3","""0/999""","""4/999""","""O""","20143","[""MWF 1045-1140""]","","""Research""","2014"
"95476","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95477","1.0","68","[""ART""]","1","""0/999""","","","","","[""Michon Weeks""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""1/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95478","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95479","1.0","93","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95480","1.0","96","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95481","0.5","153","[""BIO""]","1","""0/999""","","","","","[""Theodore Johnson""]","""1/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95482","1.0","174","[""BIO""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95483","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95484","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95485","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95486","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95487","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95488","1.0","251","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95489","1.0","276","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95490","0.5","284","[""ECON""]","1","""0/999""","","","","","[""Anthony Becker""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""1/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95491","1.0","299","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","""Internship""","""Research""","2014"
"95492","1.0","306","[""CSCI""]","2","""0/999""","","","","","[""Richard Brown""]","""1/999""","300","","999","""Academic Internship""","394","true","","3","""1/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95493","1.0","313","[""EDUC""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
"95494","1.0","344","[""EDUC""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","""Internship""","""Research""","2014"
"95495","0.5","374","[""DANCE""]","1","""0/999""","","","","","[""Anthony Roberts""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""1/999""","""C""","20143","","","""Research""","2014"
"95496","1.0","377","[""DANCE""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20143","","","""Research""","2014"
