"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"15484","1.0","1494","[""AMST""]","4","""0/999""","[""Staff""]","""1/999""","200","6","""Durham Connection""","250","false","","2","""2/999""","""0/999""","""C""","19942","""Research""","1994"
"15485","1.0","12","[""AMST""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Urban Culture Comp""","298","false","","2","""1/999""","""0/999""","""O""","19942","""Research""","1994"
"15486","1.0","18","[""ART""]","20","""19/999""","[""Staff""]","""1/999""","100","17","""Found Perc/Conc Draw""","110","false","","2","""0/999""","""0/999""","""C""","19942","""Research""","1994"
"15487","1.0","40","[""ART""]","12","""3/999""","[""Staff""]","""3/999""","200","13","""Comp-Generatd Imagery""","238","false","","2","""7/999""","""0/999""","""C""","19942","""Research""","1994"
"15488","1.0","44","[""ART""]","12","""2/999""","[""Staff""]","""8/999""","200","20","""Advanced Drawing""","243","false","","2","""9/999""","""0/999""","""O""","19942","""Research""","1994"
"15489","1.0","54","[""ART""]","16","""0/999""","[""Staff""]","""3/999""","200","15","""Italian Renaissance""","255","false","","2","""11/999""","""0/999""","""C""","19942","""Research""","1994"
"15490","1.0","48","[""ART""]","10","""0/999""","[""Staff""]","""0/999""","200","15","""Pratt-Manhattan""","262","false","","2","""0/999""","""0/999""","""C""","19942","""Research""","1994"
"15491","1.0","60","[""ART""]","18","""3/999""","[""Staff""]","""11/999""","200","48","""Medieval""","263","false","","2","""8/999""","""0/999""","""O""","19942","""Research""","1994"
"15492","1.0","68","[""ART""]","2","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15493","1.0","69","[""ART""]","1","""0/999""","[""Staff""]","""2/999""","200","999","""IS/Adv Oil Painting""","298","false","","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15494","1.0","69","[""ART""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Interim Architect""","298","false","""A""","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15495","1.0","69","[""ART""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Adv Archit Drawing""","298","false","""B""","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15496","1.0","75","[""ART""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""IR/Paper Vessels""","398","false","","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15497","1.0","1519","[""ASIAN""]","18","""11/999""","[""Staff""]","""3/999""","100","23","""Contem China-Lit-Tr""","123","false","","2","""3/999""","""0/999""","""O""","19942","""Research""","1994"
"15498","1.0","1518","[""ASIAN""]","25","""16/999""","[""Staff""]","""0/999""","100","22","""The Art of the Brush""","125","false","","2","""6/999""","""0/999""","""C""","19942","""Research""","1994"
"15499","1.0","1520","[""ASIAN""]","19","""5/999""","[""Staff""]","""7/999""","100","23","""Chinese Amer Renaiss""","126","false","","2","""3/999""","""0/999""","""O""","19942","""Research""","1994"
"15500","1.0","104","[""BIO""]","25","""13/999""","[""Staff""]","""0/999""","100","23","""The Biology of Women""","124","false","","2","""10/999""","""0/999""","""C""","19942","""Research""","1994"
"15501","1.0","110","[""BIO""]","18","""15/999""","[""Staff""]","""6/999""","100","23","""Genetics/Evolut/Soc""","127","false","","2","""2/999""","""0/999""","""O""","19942","""Research""","1994"
"15502","1.0","1530","[""BIO""]","33","""28/999""","[""Staff""]","""0/999""","100","28","""Cancer Biology""","131","false","","2","""0/999""","""0/999""","""C""","19942","""Research""","1994"
"15503","1.0","1531","[""BIO""]","11","""8/999""","[""Staff""]","""2/999""","100","38","""Issues Biotechnology""","132","false","","2","""4/999""","""0/999""","""O""","19942","""Research""","1994"
"15504","1.0","113","[""BIO""]","17","""9/999""","[""Staff""]","""7/999""","100","23","""Aids in Perspective""","133","false","","2","""4/999""","""0/999""","""O""","19942","""Research""","1994"
"15505","1.0","146","[""BIO""]","18","""1/999""","[""Staff""]","""4/999""","200","16","""Winter Ecology""","281","false","","2","""13/999""","""1/999""","""C""","19942","""Research""","1994"
"15506","1.0","1543","[""BIO""]","12","""1/999""","[""Staff""]","""3/999""","200","12","""Tropical Ecology""","284","false","","2","""8/999""","""0/999""","""C""","19942","""Research""","1994"
"15507","1.0","149","[""BIO""]","19","""5/999""","[""Staff""]","""7/999""","200","28","""Water Resource Mgmt""","285","false","","2","""13/999""","""0/999""","""O""","19942","""Research""","1994"
"15508","1.0","150","[""BIO""]","12","""0/999""","[""Staff""]","""5/999""","200","12","""Island Bio in Bahamas""","287","false","","2","""5/999""","""1/999""","""C""","19942","""Research""","1994"
"15509","1.0","153","[""BIO""]","1","""0/999""","[""Staff""]","""4/999""","200","999","""Internship""","294","true","","2","""2/999""","""0/999""","""O""","19942","""Research""","1994"
"15510","1.0","153","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15511","1.0","153","[""BIO""]","2","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15512","1.0","153","[""BIO""]","6","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","""C""","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15513","1.0","153","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","""D""","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
"15514","1.0","154","[""BIO""]","1","""0/999""","[""Staff""]","""1/999""","200","999","""IS/Macrophages""","298","false","","2","""0/999""","""0/999""","""O""","19942","""Research""","1994"
