"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"20984","1.0","97","[""ASIAN""]","1","""0/999""","[""Pin Pin Wan""]","""0/999""","300","","999","""IR/Expectation Adopt.""","398","false","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20985","1.0","102","[""BIO""]","17","""0/999""","[""Staff""]","""0/999""","100","","17","""Human Biology""","123","false","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20986","1.0","153","[""BIO""]","1","""0/999""","[""Louis Henry Kermott""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20987","1.0","153","[""BIO""]","1","""0/999""","[""Kristen Pritchard""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20988","1.0","154","[""BIO""]","1","""0/999""","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Emerging Diseases""","298","false","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20989","1.0","174","[""BIO""]","1","""0/999""","[""Anne Walter""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20990","1.0","194","[""CHEM""]","10","""0/999""","[""Wesley Pearson""]","""0/999""","100","[""SC 378""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","19965","[""M-F 1000-1130""]","""Research""","1996"
"20991","0.0","195","[""CHEM""]","10","""0/999""","[""Wesley Pearson""]","""0/999""","100","[""SC 374""]","999","""Chem Reactions/Lab""","126","false","","5","""0/999""","""0/999""","""O""","19965","[""WTh 1000-1130""]","""Lab""","1996"
"20992","1.0","197","[""CHEM""]","9","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 374""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","19965","[""M-F 1000-1130""]","""Research""","1996"
"20993","0.25","200","[""CHEM""]","9","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","19965","","""Lab""","1996"
"20994","1.0","1583","[""ECON""]","4","""0/999""","[""Rebecca Judge""]","""0/999""","200","","999","""Enviro Policy/Regulat""","232","false","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20995","1.0","276","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
"20996","1.0","276","[""ECON""]","1","""0/999""","[""Xun Pomponio""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","19965","","""Research""","1996"
