"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"64269","1.0","20054","[""ART""]","0","""0/999""","[""ALS-A""]","","""R""","[""Lilla Johnson""]","""0/999""","100","[""DC 216"", ""DC 216""]","999","""Foundation 2-D Media""","102","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 0800-0930"", ""M-F 1000-1130""]","","""Research""","2007"
"64270","1.0","31","[""ART""]","0","""0/999""","[""ALS-A"", ""MCG""]","","","[""Christine O'Malley""]","""0/999""","100","[""DC 204""]","999","""Intro/Art History I""","150","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 1000-1130""]","""Introduction to Art History I""","""Research""","2007"
"64271","1.0","126","[""BIO""]","17","""1/999""","","126","","[""Louis Henry Kermott""]","""2/999""","200","[""SC 278""]","25","""Human Anatomy & Physiol""","243","false","","4","""2/999""","""12/999""","""O""","20074","[""M-F 0830-1000""]","""Human Anatomy and Physiology""","""Research""","2007"
"64272","0.0","127","[""BIO""]","17","""1/999""","","126","","[""Louis Henry Kermott""]","""2/999""","200","[""SC 253""]","25","""Human Anatomy & Physiol L""","243","false","","4","""2/999""","""12/999""","""O""","20074","[""TTh 0100-0400PM""]","","""Lab""","2007"
"64274","1.0","192","[""CHEM""]","15","""5/999""","","192","","[""Patrick N. Riley""]","""3/999""","100","[""SC 374""]","24","""Struct Chem & Equilib""","125","false","","4","""2/999""","""5/999""","""O""","20074","[""M-F 1000-1130""]","""Structural Chemistry and Equilibrium""","""Research""","2007"
"64275","0.0","193","[""CHEM""]","15","""5/999""","","192","","[""Patrick N. Riley""]","""3/999""","100","[""SC 371""]","24","""Struct Chem & Equilib Lab""","125","false","","4","""2/999""","""5/999""","""O""","20074","[""MW 0100-0400PM""]","","""Lab""","2007"
"64278","1.0","196","[""CHEM""]","28","""3/999""","","","","[""Wesley Pearson""]","""2/999""","200","[""SC 378""]","999","""Organic Chemistry I""","247","false","","4","""6/999""","""17/999""","""O""","20074","[""M-F 0800-0930""]","","""Research""","2007"
"64279","0.25","199","[""CHEM""]","17","""3/999""","","","","[""Sally Kessler""]","""1/999""","200","[""SC 311""]","999","""Synthesis Lab I""","253","true","""A""","4","""1/999""","""12/999""","""O""","20074","[""MW 0100-0400PM""]","""Synthesis Laboratory I""","""Lab""","2007"
"64280","0.25","199","[""CHEM""]","8","""0/999""","","","","[""Sally Kessler""]","""1/999""","200","[""SC 311""]","999","""Synthesis Lab I""","253","true","""B""","4","""3/999""","""4/999""","""O""","20074","[""TTh 0100-0400PM""]","""Synthesis Laboratory I""","""Lab""","2007"
"64284","1.0","371","[""DANCE""]","0","""0/999""","[""ALS-A""]","","","[""Heather J. Klopchin""]","""0/999""","200","[""DC 204""]","999","""Dance in America""","246","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 1230-0200PM""]","","""Research""","2007"
"64285","1.0","259","[""ECON""]","0","""0/999""","[""HBS""]","","","[""Anthony Becker""]","""0/999""","100","[""RML 525""]","999","""Principles of Econ""","121","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 1000-1130""]","""Principles of Economics""","""Research""","2007"
"64286","1.0","17675","[""EDUC""]","3","""0/999""","","","","[""Heather Campbell""]","""2/999""","300","","999","""Teaching ESL K-12""","347","false","","4","""1/999""","""0/999""","""O""","20074","[""M-F 0800-1000""]","","""Research""","2007"
"64287","1.0","17676","[""EDUC""]","3","""0/999""","[""WRI""]","","","[""Heather Campbell""]","""2/999""","300","","999","""Assessment of ESL K-12""","348","false","","4","""1/999""","""0/999""","""O""","20074","[""M-F 1000-1200PM""]","","""Research""","2007"
"64288","1.0","418","[""ENGL""]","5","""0/999""","[""WRI""]","","","[""Stephen Longfellow""]","""4/999""","200","[""RML 577""]","999","""Creat Wrtg: Fict/Poet""","257","false","","4","""0/999""","""1/999""","""O""","20074","[""M-F 1000-1130""]","""Creative Writing: Fiction and Poetry""","""Research""","2007"
"64290","1.0","459","[""ENVST""]","0","""0/999""","[""HBS""]","","","[""Rebecca Judge""]","""0/999""","200","[""HH 403""]","999","""Env Policy/Regulation""","232","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 1000-1130""]","""Environmental Policy and Regulation""","""Research""","2007"
"64291","1.0","504","[""GERM""]","0","""0/999""","","","","[""Staff""]","""0/999""","100","[""RML 525""]","999","""Beginning German I""","111","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 0800-0930""]","","""Research""","2007"
"64292","1.0","505","[""GERM""]","0","""0/999""","","","","[""Staff""]","""0/999""","100","[""RML 525""]","999","""Beginning German II""","112","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 0800-0930""]","","""Research""","2007"
"64293","1.0","508","[""GERM""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","[""RML 525""]","999","""Intermed German I""","231","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 0800-0930""]","""Intermediate German I""","""Research""","2007"
"64294","1.0","509","[""GERM""]","0","""0/999""","[""FOL-G""]","","","[""Staff""]","""0/999""","200","[""RML 525""]","999","""Intermed German II""","232","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 0800-0930""]","""Intermediate German II""","""Research""","2007"
"64299","1.0","728","[""MATH""]","1","""0/999""","[""AQR""]","","","[""Peder Bolstad""]","""1/999""","100","[""DC 204""]","999","""Gateways/Mathematics""","117","false","","4","""0/999""","""0/999""","""O""","20074","[""M-F 0800-0930""]","""Gateways to Mathematics""","""Research""","2007"
"64300","1.0","731","[""MATH""]","0","""0/999""","[""AQR""]","","","[""Bruce Hanson""]","""0/999""","100","[""SC 186""]","999","""Calculus I""","120","false","","4","""0/999""","""0/999""","""X""","20074","[""M-F 0800-0930""]","","""Research""","2007"
"64301","1.0","733","[""MATH""]","1","""0/999""","[""AQR""]","","","[""Bruce Hanson""]","""1/999""","100","[""SC 186""]","999","""Calculus II""","126","false","","4","""0/999""","""0/999""","""O""","20074","[""M-F 1000-1130""]","","""Research""","2007"
"64302","1.0","745","[""MATH""]","5","""0/999""","","","","[""Bruce Hanson""]","""1/999""","200","[""SC 186""]","999","""Elem Real Analysis""","244","false","","4","""1/999""","""3/999""","""O""","20074","[""M-F 1230-0200PM""]","""Elementary Real Analysis""","""Research""","2007"
"64303","1.0","18693","[""PHIL"", ""REL""]","9","""0/999""","[""EIN""]","","","[""Edmund Santurri""]","""6/999""","200","[""RML 520""]","999","""The Ethics of War""","278","false","","4","""1/999""","""2/999""","""O""","20074","[""M-F 1000-1130""]","","""Research""","2007"
"64304","1.0","1209","[""REL""]","14","""2/999""","[""BTS-T""]","","","[""Edmund Santurri""]","""4/999""","200","[""RML 520""]","999","""God & Human Suffering""","225","false","","4","""1/999""","""7/999""","""O""","20074","[""M-F 1230-0200PM""]","""God and Human Suffering""","""Research""","2007"
"64306","1.0","1072","[""PHYS""]","8","""1/999""","","1072","","[""Dahl David A.""]","""1/999""","100","[""SC 129""]","999","""Principles Physics I""","124","false","","4","""2/999""","""4/999""","""O""","20074","[""M-F 0800-0930""]","""Principles of Physics I""","""Research""","2007"
