"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"7547","1.0","1496","[""ART""]","8","""0/999""","[""Staff""]","""0/999""","100","[""DC 115E""]","999","""Foundations Ceramics""","121","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1230-0200PM""]","""Research""","2003"
"7548","1.0","45","[""ART""]","1","""0/999""","[""Monica Rudquist""]","""0/999""","200","","999","""Ceramics""","234","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7549","1.0","63","[""ART""]","4","""0/999""","[""Staff""]","""0/999""","200","[""DC 204""]","999","""African Art History""","269","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1000-1130""]","""Research""","2003"
"7550","1.0","68","[""ART""]","1","""0/999""","[""Nancy M. Thompson""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7551","1.0","69","[""ART""]","1","""0/999""","[""Monica Rudquist""]","""0/999""","200","","999","""IS/Advanced Ceramics""","298","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7552","1.0","94","[""ASIAN""]","1","""0/999""","[""Robert Entenmann""]","""0/999""","200","","999","""IS/Asean""","298","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7553","1.0","100","[""BIO""]","20","""0/999""","[""Anne Walter""]","""0/999""","100","","18","""Biological Science""","121","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7554","1.0","197","[""CHEM""]","38","""0/999""","[""Staff""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 0800-0930""]","""Research""","2003"
"7555","0.25","200","[""CHEM""]","35","""0/999""","[""Staff""]","""0/999""","200","[""SC 311""]","48","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","20035","[""MT 0100-0400PM""]","""Lab""","2003"
"7556","1.0","256","[""ECON""]","13","""0/999""","[""Steve Soderlind""]","""0/999""","100","","999","""Capitalism: Struggles""","113","false","","5","""0/999""","""0/999""","""C""","20035","","""Research""","2003"
"7557","1.0","276","[""ECON""]","1","""0/999""","[""Terry J. Fitzgerald""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7558","1.0","277","[""ECON""]","1","""0/999""","[""Edward David Emery""]","""0/999""","200","","999","""IS/Econ Corruption""","298","false","""A""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7559","1.0","317","[""EDUC""]","11","""0/999""","[""Staff""]","""0/999""","300","[""FH 10L""]","999","""Science Hlth Living""","316","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 0900-1200PM""]","""Research""","2003"
"7560","1.0","318","[""EDUC""]","12","""0/999""","[""Staff""]","""0/999""","300","[""FH 10L"", ""FH 10L""]","999","""Math--Elem Classroom""","317","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 0900-1200PM"", ""M-F 0100-0300PM""]","""Research""","2003"
"7561","1.0","345","[""EDUC""]","1","""0/999""","[""Heather Campbell""]","""0/999""","300","","999","""IR/Culture & Teaching""","398","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7562","1.0","406","[""ENGL""]","16","""0/999""","[""Staff""]","""0/999""","200","[""RML 525""]","16","""Children's Literature""","233","false","","5","""0/999""","""0/999""","""C""","20035","[""M-F 1000-1130""]","""Research""","2003"
"7563","1.0","418","[""ENGL""]","6","""0/999""","[""Staff""]","""0/999""","200","[""RML 520""]","999","""Creat Wrtg: Fict/Poet""","257","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 0800-0930""]","""Research""","2003"
"7564","1.0","429","[""ENGL""]","9","""0/999""","[""Staff""]","""0/999""","200","[""RML 525""]","10","""Studies in Prose""","283","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1230-0200PM""]","""Research""","2003"
"7565","1.0","451","[""ENGL""]","1","""0/999""","[""Diane C. LeBlanc""]","""0/999""","300","","999","""IR/Writng About Place""","398","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7566","1.0","504","[""GERM""]","1","""0/999""","[""Staff""]","""0/999""","100","","999","""Beginning German I""","111","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7567","1.0","508","[""GERM""]","1","""0/999""","[""Staff""]","""0/999""","200","","999","""Intermed German I""","231","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7568","1.0","509","[""GERM""]","2","""0/999""","[""Staff""]","""0/999""","200","","999","""Intermed German II""","232","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7569","1.0","530","[""GERM""]","1","""0/999""","[""Karl Fink""]","""0/999""","300","","999","""IR/Life & Work Goethe""","398","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7570","1.0","625","[""HIST""]","1","""0/999""","[""Robert Entenmann""]","""0/999""","200","","999","""IS/Reading Japan Hist""","298","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7571","1.0","770","[""MGMT""]","8","""0/999""","[""Staff""]","""0/999""","200","[""HH 413""]","999","""Computer Applications""","230","false","","5","""0/999""","""0/999""","""O""","20035","[""M-Th 1230-0230PM""]","""Research""","2003"
"7572","1.0","784","[""MGMT""]","2","""0/999""","[""Richard Goedde""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7573","1.0","784","[""MGMT""]","1","""0/999""","[""Kathy C. Thomforde""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7574","1.0","795","[""MEDIA""]","1","""0/999""","[""William Sonnega""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7575","1.0","795","[""MEDIA""]","5","""0/999""","[""William Sonnega""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7576","1.0","795","[""MEDIA""]","1","""0/999""","[""Karen Wilson""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7577","1.0","804","[""MUSIC""]","1","""0/999""","[""Staff""]","""0/999""","100","[""CHM 239""]","999","""The Art of Music""","131","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1230-0200PM""]","""Research""","2003"
"7578","1.0","937","[""NORW""]","1","""0/999""","[""Solveig Zempel""]","""0/999""","300","","999","""IR/Olav Den Hellige""","398","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7579","0.25","997","[""PEAC""]","10","""0/999""","[""Staff""]","""0/999""","100","","999","""Golf""","103","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7580","1.0","1067","[""PETH""]","1","""0/999""","[""Cynthia Book""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7581","1.0","1074","[""PHYS""]","11","""0/999""","[""Staff""]","""0/999""","100","[""SC 170"", ""SC 111""]","999","""Principles Physics II""","125","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1000-1130"", ""WTh 0100-0330PM""]","""Research""","2003"
"7582","1.0","1104","[""PSCI""]","8","""0/999""","[""Staff""]","""0/999""","100","[""HH 403""]","999","""Comparative Politics""","112","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 0800-0930""]","""Research""","2003"
"7583","1.0","1119","[""PSCI""]","7","""0/999""","[""Staff""]","""0/999""","200","[""HH 403""]","999","""Distributive Justice""","249","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1000-1130""]","""Research""","2003"
"7584","1.0","1139","[""PSCI""]","1","""0/999""","[""D Christopher Brooks""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7585","1.0","1139","[""PSCI""]","1","""0/999""","[""Sheryl D. Breen""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7586","1.0","1188","[""PSYCH""]","1","""0/999""","[""McMillan Donna K.""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7587","1.0","1190","[""PSYCH""]","1","""0/999""","[""Shelly D. Dickinson""]","""0/999""","300","","999","""IR/Adolescent Addict""","398","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7588","1.0","1207","[""REL""]","11","""0/999""","[""Staff""]","""0/999""","200","[""RML 515""]","999","""St.Paul/Letter/Gospel""","223","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1000-1130""]","""Research""","2003"
"7589","1.0","1232","[""REL""]","18","""0/999""","[""Staff""]","""0/999""","200","[""RML 515""]","999","""The Ethics of Jesus""","276","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1230-0200PM""]","""Research""","2003"
"7590","1.0","1236","[""REL""]","1","""0/999""","[""L. DeAne Lagerquist""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7591","1.0","1236","[""REL""]","1","""0/999""","[""James Hanson""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7592","1.0","1236","[""REL""]","1","""0/999""","[""Douglas Schuurman""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7593","1.0","1253","[""REL""]","1","""0/999""","[""Douglas Schuurman""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7594","1.0","1257","[""REL""]","1","""0/999""","[""William Poehlmann""]","""0/999""","300","","999","""IR/Christ Sci Context""","398","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7595","1.0","1308","[""SOAN""]","3","""0/999""","[""Michael Leming""]","""0/999""","200","","999","""Dying,Death,Bereave""","248","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"
"7596","1.0","1374","[""THEAT""]","12","""0/999""","[""Staff""]","""0/999""","100","[""TB 216/HAUGE""]","999","""Oral Interpretation""","100","false","","5","""0/999""","""0/999""","""O""","20035","[""M-F 1000-1130""]","""Research""","2003"
"7597","1.0","1395","[""THEAT""]","1","""0/999""","[""William Sonnega""]","""0/999""","200","","999","""IS/Early Drama""","298","false","","5","""0/999""","""0/999""","""O""","20035","","""Research""","2003"

