"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"25104","1.0","12","[""AMST""]","1","""0/999""","[""James Farrell""]","""0/999""","200","","999","""IS/Rating Presidents""","298","false","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25105","1.0","69","[""ART""]","1","""0/999""","[""Matthew Rohn""]","""0/999""","200","","999","""IS/Stave Churches""","298","false","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25106","1.0","100","[""BIO""]","21","""0/999""","[""David Van Wylen""]","""0/999""","100","","21","""Biological Science""","121","false","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25107","1.0","153","[""BIO""]","1","""0/999""","[""Charles Jr. Umbanhowar""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25108","1.0","153","[""BIO""]","2","""0/999""","[""Kathleen L. Shea""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25109","1.0","153","[""BIO""]","1","""0/999""","[""Anne Walter""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25110","1.0","197","[""CHEM""]","13","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","19985","[""M-F 0800-0930""]","""Research""","1998"
"25111","0.25","200","[""CHEM""]","11","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","19985","[""MT 0100-0400PM""]","""Lab""","1998"
"25112","1.0","204","[""CHEM""]","1","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25114","1.0","276","[""ECON""]","1","""0/999""","[""Rebecca Judge""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25115","1.0","276","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25116","1.0","277","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","200","","1","""IS/Impact/St Chld Spt""","298","false","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25117","1.0","284","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25118","1.0","306","[""CSCI""]","1","""0/999""","[""Matthew Richey""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25119","1.0","307","[""CSCI""]","2","""0/999""","[""Matthew Richey""]","""0/999""","300","","999","""IR/Computation Theory""","398","false","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25120","1.0","426","[""ENGL""]","11","""0/999""","[""John T. Day""]","""0/999""","200","[""L 525""]","999","""Intro to Shakespeare""","280","false","","5","""0/999""","""0/999""","""O""","19985","[""M-F 1000-1130""]","""Research""","1998"
"25121","1.0","433","[""ENGL""]","1","""0/999""","[""Olivia Frey""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
"25122","1.0","434","[""ENGL""]","1","""0/999""","[""Olivia Frey""]","""0/999""","200","","999","""IS/Writing Child Lit""","298","false","","5","""0/999""","""0/999""","""O""","19985","","""Research""","1998"
