"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"109543","1.0","114","[""BIO""]","10","""4/999""","[""IST"", ""SED""]","114","","[""John Giannini""]","""2/999""","100","[""RNS 290""]","999","""Thinking & Doing Bio""","135","false","","4","""0/999""","""4/999""","""O""","20154","[""M-F 0900-1200PM""]","""Thinking and Doing Biology""","""Research""","2015"
"109544","0.0","115","[""BIO""]","10","""4/999""","","114","","[""John Giannini""]","""2/999""","100","","999","""Thinking & Doing Bio Lab""","135","false","","4","""0/999""","""4/999""","""O""","20154","","","""Lab""","2015"
"109547","1.0","192","[""CHEM""]","5","""3/999""","[""SED""]","192","","[""Patrick N. Riley""]","""1/999""","100","[""RNS 310""]","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""1/999""","""O""","20154","[""M-F 1000-1130""]","""Structural Chemistry and Equilibrium""","""Research""","2015"
"109548","0.0","193","[""CHEM""]","5","""3/999""","","192","","[""Patrick N. Riley""]","""1/999""","100","[""RNS 355""]","999","""Struct Chem & Equilib Lab""","125","false","","4","""0/999""","""1/999""","""O""","20154","[""MW 0100-0400PM""]","","""Lab""","2015"
"109549","1.0","196","[""CHEM""]","29","""7/999""","","196","","[""Elodie Marlier""]","""4/999""","200","[""RNS 390""]","35","""Organic Chemistry I""","247","false","","4","""5/999""","""13/999""","""O""","20154","[""M-F 1000-1130""]","","""Research""","2015"
"109550","0.25","199","[""CHEM""]","14","""4/999""","","196","","[""Elodie Marlier""]","""0/999""","200","[""RNS 340""]","24","""Synthesis Lab I""","253","true","""A""","4","""2/999""","""8/999""","""C""","20154","[""MW 1230-0330PM""]","""Synthesis Laboratory I""","""Lab""","2015"
"109551","1.0","1325","[""SPAN""]","0","""0/999""","","","","[""Kris A. Cropsey""]","""0/999""","100","[""TOH 214""]","999","""Beginning Spanish II""","112","false","","4","""0/999""","""0/999""","""X""","20154","[""M-F 1000-1130""]","","""Research""","2015"
"109552","0.5","1012","[""ESAC""]","8","""2/999""","[""SPM""]","","","[""Judith Tegtmeyer""]","""2/999""","100","[""SAC 112""]","999","""Individual Fitness .50""","133","false","","4","""0/999""","""4/999""","""O""","20154","[""M-F 0230-0400PM""]","""Individual Fitness""","""Research""","2015"
"109553","0.5","1016","[""ESAC""]","1","""0/999""","[""SPM""]","","","[""Pat Haynes""]","""0/999""","100","[""TPH Wt Rm""]","999","""Wt Training Co-Ed .50""","140","false","","4","""0/999""","""1/999""","""O""","20154","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2015"
"109554","1.0","25192","[""ENGL""]","8","""2/999""","[""ALS-L"", ""ORC""]","","""R""","[""Colin Wells""]","""3/999""","200","[""RML 420""]","999","""Beat Generation""","261","false","","4","""1/999""","""2/999""","""O""","20154","[""M-F 1000-1130""]","""The Beat Generation""","""Research""","2015"
"109555","1.0","1072","[""PHYS""]","9","""1/999""","[""SED""]","1072","","[""Prabal Adhikari""]","""0/999""","100","[""RNS 208""]","999","""Principles Physics I""","124","false","","4","""1/999""","""7/999""","""O""","20154","[""M-F 0900-1100""]","""Principles of Physics I""","""Research""","2015"
"109556","0.0","1073","[""PHYS""]","9","""1/999""","","1072","","[""Prabal Adhikari""]","""0/999""","100","[""RNS 292""]","999","""Principles Physics I Lab""","124","false","","4","""1/999""","""7/999""","""O""","20154","[""MWF 0100-0330PM""]","","""Lab""","2015"
"109769","1.0","256","[""ECON""]","1","""1/999""","[""HBS"", ""HWC""]","","","[""Thomas Bernardin""]","""0/999""","100","[""RML 420""]","999","""Capitalism""","113","false","","4","""0/999""","""0/999""","""X""","20154","[""M-F 1230-0200PM""]","""Gateways to Economics: Capitalism""","""Research""","2015"
"109770","1.0","29263","[""ID""]","3","""1/999""","[""HBS"", ""WRI""]","","""R""","[""Robert W. McClure""]","""1/999""","200","[""TOH 214""]","999","""Human-Spatial Interaction""","202","false","","4","""0/999""","""1/999""","""O""","20154","[""M-F 1230-0200PM""]","","""Research""","2015"
"109771","1.0","26897","[""ID""]","0","""0/999""","","","","[""Sharon Lane-Getaz"", ""Diane K. Angell""]","""0/999""","200","","999","""Res Opp Science for Sophs""","250","false","","4","""0/999""","""0/999""","""C""","20154","","""Research Opportunity in Science for Sophomores""","""Research""","2015"
"109775","1.0","1207","[""REL""]","6","""2/999""","[""BTS-T"", ""WRI""]","","","[""James Hanson""]","""2/999""","200","[""OM 110""]","999","""St. Paul/Letter/Gospel""","223","false","","4","""0/999""","""2/999""","""O""","20154","[""M-F 1000-1130""]","""Paul: His Letters, His Gospel""","""Research""","2015"
"109776","1.0","1232","[""REL""]","9","""1/999""","[""EIN"", ""WRI""]","","","[""James Hanson""]","""5/999""","200","[""OM 110""]","999","""The Ethics of Jesus""","276","false","","4","""1/999""","""2/999""","""O""","20154","[""M-F 1230-0200PM""]","","""Research""","2015"
"109837","1.0","20055","[""ART""]","0","""0/999""","[""ALS-A""]","","""R""","[""Peter B. Nelson""]","""0/999""","100","[""DC 116""]","999","""Foundation New Media""","104","false","","4","""0/999""","""0/999""","""X""","20154","[""M-F 0800-0930""]","","""Research""","2015"
"109840","1.0","122","[""BIO""]","2","""0/999""","","122","","[""Kimberly A. Kandl"", ""Jean C. Porterfield"", ""Sara E. Fruehling""]","""1/999""","200","[""RNS 435""]","999","""Intermediate Genetics""","233","false","","4","""0/999""","""1/999""","""X""","20154","[""MWF 0830-1130""]","","""Research""","2015"
"109841","0.0","123","[""BIO""]","2","""0/999""","","122","","[""Kimberly A. Kandl"", ""Jean C. Porterfield"", ""Sara E. Fruehling""]","""1/999""","200","[""RNS 394""]","999","""Intermediate Genetics Lab""","233","false","","4","""0/999""","""1/999""","""X""","20154","[""TTh 0830-1130""]","","""Lab""","2015"
"109852","1.0","733","[""MATH""]","0","""0/999""","[""AQR""]","","","[""Thomas Rogers""]","""0/999""","100","[""RNS 204""]","999","""Calculus II""","126","false","","4","""0/999""","""0/999""","""X""","20154","[""M-F 1000-1130""]","","""Research""","2015"
"110137","0.25","199","[""CHEM""]","10","""3/999""","","196","","[""Stephanie R. Harstad""]","""1/999""","200","[""RNS 340""]","24","""Synthesis Lab I""","253","true","""B""","4","""3/999""","""3/999""","""O""","20154","[""TTh 1230-0330PM""]","""Synthesis Laboratory I""","""Lab""","2015"
"110189","1.0","707","[""ID""]","","","","","","[""Katherine S. Tegtmeyer Pak""]","","200","","","""Academic Internship""","294","true","","4","","","""O""","20154","","","""Research""","2015"
"110281","1.0","708","[""ID""]","","","","","","[""Timothy R. Howe""]","","200","","","""IS/3D Numismatic""","298","false","","4","","","""O""","20154","","""Independent Study""","""Research""","2015"
"110307","1.0","918","[""NEURO""]","","","","","","[""Jeremy Loebach""]","","200","","","""IS/Addiction Pharmacology""","298","false","","4","","","""O""","20154","","""Independent Study""","""Research""","2015"
"110366","1.0","1152","[""PSCI""]","","","[""WRI""]","","","[""Katherine S. Tegtmeyer Pak""]","","300","","","""IR/Pol/Propoganda/Music Mod China""","398","false","","4","","","""O""","20154","","""Independent Research""","""Research""","2015"
"110411","1.0","154","[""BIO""]","","","[""WRI""]","","","[""Emily Mohl""]","","200","","","""IS/Curriculum Dev. Authentic Exp.""","298","false","","4","","","""O""","20154","","""Independent Study""","""Research""","2015"
"110413","1.0","752","[""MATH""]","","","","","","[""Kathy T. Granquist""]","","200","","","""IS/Knitting Formulas""","298","false","","4","","","""O""","20154","","""Independent Study""","""Research""","2015"
"110414","1.0","752","[""MATH""]","","","","","","[""Nanette Schroeder""]","","200","","","""IS/Knitting Formulas""","298","false","""A""","4","","","""O""","20154","","""Independent Study""","""Research""","2015"

