"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2635","1.0","154","[""BIO""]","1","""0/999""","","[""Diane K. Angell""]","""0/999""","200","","999","""IS/Ocean Mammals""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2636","1.0","169","[""BIO""]","19","""0/999""","","[""Denise Thiede""]","""4/999""","300","[""SC 210"", ""SC 210"", ""SC 210""]","18","""Evolution""","383","false","","2","""12/999""","""2/999""","""C""","20012","[""M-Th 0900-1000"", ""M-Th 1040-1200PM"", ""M-Th 0100-0300PM""]","""Research""","2001"
"2637","1.0","174","[""BIO""]","3","""0/999""","","[""Theodore Johnson""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","20012","","""Research""","2001"
"2638","1.0","174","[""BIO""]","1","""0/999""","","[""Louis Henry Kermott""]","""0/999""","300","","999","""Academic Internship""","394","true","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2639","1.0","175","[""BIO""]","1","""0/999""","","[""Theodore Johnson""]","""0/999""","300","","999","""IR/Treatments in Ad""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2640","1.0","185","[""CHEM""]","26","""3/999""","","[""Jeffrey Dahlseid""]","""6/999""","100","[""SC 274""]","35","""Chem-Life's Beginning""","120","false","","2","""14/999""","""1/999""","""O""","20012","[""M-F 0800-1000""]","""Research""","2001"
"2641","1.0","189","[""CHEM""]","31","""24/999""","","[""Susan Green""]","""0/999""","100","[""SC 378""]","999","""Chemical Structure""","123","false","","2","""0/999""","""9/999""","""O""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2642","1.0","1552","[""CHEM""]","20","""5/999""","","[""Mary Walczak""]","""1/999""","100","[""SC 374"", ""SC 371/374""]","23","""Environmental Chem""","124","false","","2","""4/999""","""9/999""","""C""","20012","[""M-F 0800-1000"", ""TWTh 1230-0330PM""]","""Research""","2001"
"2643","1.0","198","[""CHEM""]","5","""0/999""","","[""Patrick N. Riley""]","""0/999""","200","[""SC 310""]","999","""Organometallic Chem""","252","false","","2","""0/999""","""5/999""","""O""","20012","[""M-F 1040-1240PM""]","""Research""","2001"
"2644","1.0","204","[""CHEM""]","1","""0/999""","","[""Jeffrey Dahlseid""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
