"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"18848","1.0","102","[""BIO""]","11","""0/999""","[""Theodore Johnson""]","""0/999""","100","999","""Human Biology""","123","false","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
"18849","0.0","103","[""BIO""]","11","""0/999""","[""Staff""]","""0/999""","100","999","""Human Bio/Lab""","123","false","","5","""0/999""","""0/999""","""O""","19955","""Lab""","1995"
"18850","1.0","194","[""CHEM""]","2","""0/999""","[""Wesley Pearson""]","""0/999""","100","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
"18851","0.0","195","[""CHEM""]","2","""0/999""","[""Kim M. Hildebrandt""]","""0/999""","100","999","""Chem Reactions/Lab""","126","false","","5","""0/999""","""0/999""","""O""","19955","""Lab""","1995"
"18852","1.0","197","[""CHEM""]","10","""0/999""","[""Wesley Pearson""]","""0/999""","200","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
"18853","0.25","200","[""CHEM""]","9","""0/999""","[""Wesley Pearson""]","""0/999""","200","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","19955","""Lab""","1995"
"18854","1.0","277","[""ECON""]","1","""0/999""","[""Steve Soderlind""]","""0/999""","200","999","""IS/Topics in Micro""","298","false","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
"18855","1.0","283","[""ECON""]","2","""0/999""","[""Richard Goedde""]","""0/999""","300","999","""Senior Project""","389","false","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
"18856","1.0","284","[""ECON""]","1","""0/999""","[""Bruce Dalgaard""]","""0/999""","300","999","""Internship""","394","true","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
"18857","1.0","1698","[""ENGL""]","6","""0/999""","[""Staff""]","""0/999""","200","999","""Amer Lit Since 1945""","244","false","","5","""0/999""","""0/999""","""O""","19955","""Research""","1995"
