"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"14640","1.0","4","[""AMST""]","23","""16/999""","","[""James Farrell""]","""5/999""","100","[""H 317""]","25","""Perspec Amer Culture""","100","false","","1","""7/999""","""1/999""","""O""","19941","[""MWF 1255-0150PM""]","""Research""","1994"
"14641","1.0","1490","[""AMST""]","11","""6/999""","","[""James Farrell""]","""3/999""","200","[""H 317""]","35","""A Topical Approach""","201","false","","1","""3/999""","""4/999""","""O""","19941","[""MWF 0200-0255PM""]","""Topic""","1994"
"14642","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Habits of My Heart""","298","false","","1","""0/999""","""0/999""","""O""","19941","","""Research""","1994"
"14643","0.5","19","[""ART""]","18","""11/999""","","[""Staff""]","""4/4""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""A""","1","""3/3""","""5/5""","""O""","19941","[""MWF 1045-1140""]","""Research""","1994"
"14644","0.5","19","[""ART""]","16","""3/999""","","[""Staff""]","""1/4""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""B""","1","""3/3""","""8/8""","""O""","19941","[""MWF 1150-1245PM""]","""Research""","1994"
"14645","0.5","20","[""ART""]","14","""5/999""","","[""Staff""]","""3/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","1","""3/3""","""6/6""","""O""","19941","[""MWF 0905-1000""]","""Research""","1994"
"14646","0.5","21","[""ART""]","20","""5/999""","","[""Staff""]","""4/4""","100","[""FHAB""]","22","""Found Color Design""","113","false","""A""","1","""3/3""","""3/5""","""O""","19941","[""MWF 0905-1000""]","""Research""","1994"
"14647","0.5","21","[""ART""]","15","""6/999""","","[""Staff""]","""4/4""","100","[""FHAB""]","22","""Found Color Design""","113","false","""B""","1","""3/3""","""3/5""","""O""","19941","[""MWF 1045-1140""]","""Research""","1994"
"14648","0.5","22","[""ART""]","15","""5/999""","","[""Staff""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","","1","""3/3""","""4/4""","""C""","19941","[""TTh 0935-1100""]","""Research""","1994"
"14649","0.5","23","[""ART""]","21","""6/999""","","[""Staff""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","1","""5/5""","""5/5""","""C""","19941","[""TTh 0800-0925""]","""Research""","1994"
"14650","0.5","23","[""ART""]","20","""6/999""","","[""Staff""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","1","""5/5""","""5/5""","""C""","19941","[""TTh 0935-1100""]","""Research""","1994"
"14651","0.5","24","[""ART""]","11","""6/999""","","[""Staff""]","""3/3""","100","[""FH 19""]","18","""Found Ceramics: Hand""","116","false","","1","""3/3""","""4/6""","""O""","19941","[""TTh 0800-0925""]","""Research""","1994"
"14652","1.0","31","[""ART""]","43","""1/999""","","[""Staff""]","""28/999""","100","[""FH 01""]","40","""Ancient--Medieval""","117","false","","1","""7/999""","""5/999""","""C""","19941","[""TTh 0800-0925""]","""Research""","1994"
"14653","1.0","32","[""ART""]","57","""14/999""","","[""Staff""]","""14/999""","100","[""FH 01""]","70","""Renaissance--Present""","118","false","","1","""2/999""","""25/999""","""O""","19941","[""MWF 1045-1140""]","""Research""","1994"
"14654","0.5","26","[""ART""]","12","""6/999""","","[""Staff""]","""3/3""","100","[""FH 19""]","15","""Found Ceramics: Throw""","119","false","""A""","1","""3/3""","""4/4""","""O""","19941","[""TTh 0300-0430PM""]","""Research""","1994"
"14655","0.5","26","[""ART""]","9","""3/999""","","[""Staff""]","""0/999""","100","[""FH 19""]","12","""Found Ceramics: Throw""","119","false","""B""","1","""0/999""","""0/999""","""O""","19941","[""TTh 0120-0245PM""]","""Research""","1994"
"14656","1.0","27","[""ART""]","12","""12/999""","","[""Staff""]","""0/999""","100","[""FH 42""]","15","""Honors Found Drawing""","120","false","","1","""0/999""","""1/999""","""C""","19941","[""MWF 1255-0255PM""]","""Research""","1994"
"14657","1.0","33","[""ART""]","21","""1/999""","","[""Staff""]","""8/999""","200","[""FH 40""]","20","""Oil/Acrylic Paintng""","231","false","","1","""5/999""","""7/999""","""C""","19941","[""MWF 1255-0255PM""]","""Research""","1994"
"14658","1.0","35","[""ART""]","5","""0/999""","","[""Staff""]","""5/999""","200","[""FH 18""]","8","""Sculpt: Metal Casting""","233","false","","1","""2/999""","""0/999""","""O""","19941","[""TTh 1145-0245PM""]","""Research""","1994"
"14659","1.0","37","[""ART""]","11","""0/999""","","[""Staff""]","""5/999""","200","[""FHAB""]","20","""Arch Drawing/Design""","235","false","","1","""3/999""","""4/999""","""O""","19941","[""MWF 1255-0255PM""]","""Research""","1994"
"14660","1.0","38","[""ART""]","13","""2/999""","","[""Staff""]","""4/999""","200","[""FH 44""]","15","""Printmkg/Relief/Litho""","236","false","","1","""6/999""","""0/999""","""O""","19941","[""MWF 1045-1245PM""]","""Research""","1994"
"14661","1.0","43","[""ART""]","15","""1/999""","","[""Staff""]","""8/999""","200","[""FH 40""]","22","""Figure Drawing I""","242","false","","1","""5/999""","""5/999""","""O""","19941","[""MWF 0800-1000""]","""Research""","1994"
"14662","1.0","45","[""ART""]","6","""1/999""","","[""Staff""]","""0/999""","200","[""FH 19""]","15","""Advanced Ceramics""","244","false","","1","""2/999""","""0/999""","""O""","19941","[""TTh 1145-0245PM""]","""Research""","1994"
"14663","1.0","64","[""ART""]","9","""1/999""","","[""Staff""]","""1/999""","200","[""FHSEM""]","14","""Issues Art Criticism""","245","false","","1","""8/999""","""2/999""","""O""","19941","[""MWF 0200-0255PM""]","""Research""","1994"
"14664","1.0","1500","[""ART""]","12","""0/999""","","[""Staff""]","""4/999""","200","[""FH 21""]","20","""Graphic Design""","246","false","","1","""5/999""","""1/999""","""O""","19941","[""MTh 0700-1000PM""]","""Research""","1994"
"14665","1.0","46","[""ART""]","7","""2/999""","","[""Staff""]","""0/999""","200","[""FH 2""]","12","""Advanced Photography""","248","false","","1","""4/999""","""1/999""","""O""","19941","[""TTh 1145-0245PM""]","""Research""","1994"
"14666","1.0","50","[""ART""]","19","""0/999""","","[""Staff""]","""6/999""","200","[""FH 01""]","40","""Arts of the U.S.""","251","false","","1","""6/999""","""8/999""","""O""","19941","[""MWF 1255-0150PM""]","""Research""","1994"
"14667","1.0","1503","[""ART""]","40","""5/999""","","[""Staff""]","""11/999""","200","[""FH 01""]","60","""The 20th Century""","253","false","","1","""10/999""","""12/999""","""O""","19941","[""MWF 0905-1000""]","""Research""","1994"
"14668","1.0","53","[""ART""]","32","""0/999""","","[""Staff""]","""8/999""","200","[""FH 01""]","30","""Renaissance in Europe""","254","false","","1","""21/999""","""1/999""","""C""","19941","[""TTh 1145-0110PM""]","""Research""","1994"
"14669","1.0","1506","[""ART""]","50","""13/999""","","[""Staff""]","""11/999""","200","[""FH 01"", ""FH 01""]","60","""Cinema 1950-Present""","257","false","","1","""22/999""","""14/999""","""O""","19941","[""TTh 0935-1100"", ""M 0700-1000PM""]","""Research""","1994"
"14670","1.0","47","[""ART""]","6","""0/999""","","[""Staff""]","""0/999""","200","[""SC 18""]","14","""Multimedia/Video Prod""","264","false","","1","""3/999""","""2/999""","""O""","19941","[""TTh 1125-0245PM""]","""Research""","1994"
"14671","1.0","68","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""Internship""","294","true","","1","""0/999""","""0/999""","""O""","19941","","""Research""","1994"
"14672","1.0","69","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS/Hndthrown Ceramics""","298","false","""A""","1","""0/999""","""0/999""","""O""","19941","","""Research""","1994"
"14673","1.0","1513","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","300","[""FH 18""]","6","""Advanced Sculpture""","333","false","","1","""1/999""","""0/999""","""O""","19941","[""TTh 1145-0245PM""]","""Research""","1994"
"14674","1.0","1514","[""ART""]","2","""0/999""","","[""Staff""]","""2/999""","300","[""FH 40""]","8","""Figure Drawing II""","342","false","","1","""0/999""","""0/999""","""O""","19941","[""MWF 0800-1000""]","""Research""","1994"
"14675","1.0","75","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","300","","999","""IR/Mythology in Art""","398","false","","1","""1/999""","""0/999""","""O""","19941","","""Research""","1994"
"14676","1.0","75","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","300","","999","""IR/Adv Painting""","398","false","""A""","1","""0/999""","""0/999""","""O""","19941","","""Research""","1994"
"14677","1.0","75","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","300","","999","""IR/Independent Design""","398","false","""B""","1","""0/999""","""0/999""","""O""","19941","","""Research""","1994"
"14678","1.0","78","[""ASIAN""]","25","""7/999""","","[""Staff""]","""4/999""","100","[""MO 1""]","30","""Asian Cultures""","121","false","","1","""3/999""","""10/999""","""O""","19941","[""MWF 1255-0150PM""]","""Research""","1994"
"14679","1.0","98","[""ASIAN""]","10","""1/999""","","[""Staff""]","""1/999""","300","[""H 515""]","30","""Asia Seminar""","399","false","","1","""7/999""","""1/999""","""O""","19941","[""TTh 0935-1100""]","""Seminar""","1994"
