"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"69535","1.0","78","[""ASIAN""]","11","""2/999""","[""MCG"", ""WRI""]","","","[""Barbara Reed""]","""4/999""","100","[""RNS 316""]","999","""Asian Cultures""","121","false","","4","""0/999""","""5/999""","""O""","20084","[""M-F 1230-0200PM""]","""Asian Cultures in Comparative Perspectives""","""Research""","2008"
"69536","1.0","20072","[""GE""]","0","""0/999""","[""WRI""]","","""R""","[""Maria L. Kelly""]","""0/999""","200","[""RNS 190"", ""RNS 190""]","999","""Top:Sci in World & Word""","211","false","","4","""0/999""","""0/999""","""X""","20084","[""MTThF 1000-1200"", ""M 0100-0300PM""]","""Topics in Writing""","""Topic""","2008"
"69537","1.0","1209","[""REL""]","11","""2/999""","[""BTS-T""]","","","[""Edmund Santurri""]","""4/999""","200","[""DC 204""]","999","""God & Human Suffering""","225","false","","4","""1/999""","""4/999""","""O""","20084","[""M-F 1230-0200PM""]","""God and Human Suffering""","""Research""","2008"
"69541","1.0","192","[""CHEM""]","9","""4/999""","[""SED""]","192","","[""Patrick N. Riley""]","""0/999""","100","[""RNS 435""]","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""5/999""","""O""","20084","[""M-F 1000-1130""]","""Structural Chemistry and Equilibrium""","""Research""","2008"
"69542","0.0","193","[""CHEM""]","9","""4/999""","","192","","[""Patrick N. Riley""]","""0/999""","100","[""RNS 350""]","999","""Struct Chem & Equilib Lab""","125","false","","4","""0/999""","""5/999""","""O""","20084","[""MW 0100-0400PM""]","","""Lab""","2008"
"69543","1.0","196","[""CHEM""]","50","""15/999""","","","","[""Peter J. Gittins"", ""Wesley Pearson""]","""8/999""","200","[""RNS 310""]","55","""Organic Chemistry I""","247","false","","4","""7/999""","""20/999""","""O""","20084","[""M-F 0800-0930""]","","""Research""","2008"
"69544","0.25","199","[""CHEM""]","22","""9/999""","","","","[""Peter J. Gittins"", ""Wesley Pearson""]","""3/999""","200","[""RNS 340""]","24","""Synthesis Lab I""","253","true","""A""","4","""1/999""","""9/999""","""C""","20084","[""MW 0100-0400PM""]","""Synthesis Laboratory I""","""Lab""","2008"
"69545","0.25","199","[""CHEM""]","22","""6/999""","","","","[""Peter J. Gittins"", ""Wesley Pearson""]","""3/999""","200","[""RNS 340""]","24","""Synthesis Lab I""","253","true","""B""","4","""5/999""","""8/999""","""O""","20084","[""TTh 0100-0400PM""]","""Synthesis Laboratory I""","""Lab""","2008"
"69643","1.0","18785","[""PSCI""]","4","""1/999""","[""HBS"", ""HWC""]","","","[""J. Patrick Dale""]","""2/999""","200","[""TB 216""]","999","""European Social Democracy""","283","false","","4","""0/999""","""1/999""","""O""","20084","[""M-F 1000-1130""]","","""Research""","2008"
"69645","1.0","19735","[""PSCI""]","8","""0/999""","[""EIN""]","","","[""J. Patrick Dale""]","""5/999""","200","[""TB 227""]","999","""Citizenship War Terror""","284","false","","4","""2/999""","""1/999""","""O""","20084","[""M-F 0230-0400PM""]","""Ethics of Citizenship in Times of War and Terrorism""","""Research""","2008"
"69697","1.0","17675","[""EDUC""]","4","""0/999""","","","","[""Heather Campbell""]","""0/999""","300","","999","""Teaching ESL K-12""","347","false","","4","""4/999""","""0/999""","""O""","20084","[""M-F 0730-1000""]","","""Research""","2008"
"69699","1.0","17676","[""EDUC""]","4","""0/999""","","","","[""Heather Campbell""]","""0/999""","300","","999","""Assessment of ESL K-12""","348","false","","4","""4/999""","""0/999""","""O""","20084","[""M-F 1000-1230PM""]","","""Research""","2008"
"69701","1.0","368","[""DANCE""]","0","""0/999""","[""ALS-A"", ""SPM""]","","","[""Anthony Roberts""]","""0/999""","100","[""DC Studio 1""]","999","""Movement/Camera/Process""","150","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1000-1130""]","""Movement, the Camera, and the Creative Process""","""Research""","2008"
"69717","0.5","1012","[""ESAC""]","9","""2/999""","[""SPM""]","","","[""Tegtmeyer Judith""]","""3/999""","100","[""SAC 112""]","999","""Individual Fitness.50""","133","false","","4","""0/999""","""4/999""","""O""","20084","[""M-F 0400-0530PM""]","""Individual Fitness""","""Research""","2008"
"69719","0.25","997","[""ESAC""]","4","""1/999""","[""SPM""]","","","[""Luke Benoit""]","""1/999""","100","","999","""Golf""","103","false","","4","""0/999""","""2/999""","""O""","20084","[""M-F 0300-0500PM""]","","""Research""","2008"
"69927","1.0","384","[""ENGL""]","5","""1/999""","[""ALS-L"", ""ORC""]","","","[""Stephen Longfellow""]","""1/999""","100","[""TB 227""]","999","""Intro to Poetry""","123","false","","4","""0/999""","""3/999""","""O""","20084","[""M-F 1000-1130""]","""Introduction to Poetry""","""Research""","2008"
"69928","1.0","418","[""ENGL""]","6","""0/999""","[""WRI""]","","","[""Stephen Longfellow""]","""2/999""","200","[""TB 227""]","999","""Creat Wrtg: Fict/Poet""","257","false","","4","""0/999""","""4/999""","""O""","20084","[""M-F 1230-0200PM""]","""Creative Writing: Fiction and Poetry""","""Research""","2008"
"69929","1.0","423","[""ENGL""]","0","""0/999""","","","","[""Louis E. Janus""]","""0/999""","200","[""RNS 316""]","999","""Eng Lang/Linguistics""","274","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 0230-0400PM""]","""English Language and Linguistics""","""Research""","2008"
"69933","1.0","1165","[""PSYCH""]","0","""0/999""","[""IST""]","","","[""Shelly D. Dickinson""]","""0/999""","200","[""RNS 136""]","999","""Biopsychology""","238","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1000-1130""]","","""Research""","2008"
"69934","1.0","1154","[""PSYCH""]","3","""1/999""","[""HBS"", ""IST""]","","","[""M. Minda Ori\u00f1a""]","""2/999""","100","[""RNS 316""]","999","""Principles: Psych""","125","false","","4","""0/999""","""0/999""","""O""","20084","[""M-F 1000-1130""]","""Principles of Psychology""","""Research""","2008"
"69972","1.0","126","[""BIO""]","15","""3/999""","","126","","[""Louis Henry Kermott""]","""4/999""","200","[""RNS 290""]","999","""Human Anatomy & Physiol""","243","false","","4","""5/999""","""3/999""","""O""","20084","[""M-F 1000-1130""]","""Human Anatomy and Physiology""","""Research""","2008"
"69973","0.0","127","[""BIO""]","15","""3/999""","","126","","[""Louis Henry Kermott""]","""4/999""","200","[""RNS 254""]","999","""Human Anatomy & Physiol L""","243","false","","4","""5/999""","""3/999""","""O""","20084","[""TTh 0100-0400PM""]","","""Lab""","2008"
"69977","1.0","1072","[""PHYS""]","7","""1/999""","[""SED""]","1072","","[""David Nitz""]","""2/999""","100","[""RNS 208""]","999","""Principles Physics I""","124","false","","4","""1/999""","""3/999""","""O""","20084","[""M-F 1000-1130""]","""Principles of Physics I""","""Research""","2008"
"69978","0.0","1073","[""PHYS""]","7","""1/999""","","1072","","[""David Nitz""]","""2/999""","100","[""RNS 292""]","999","""Principles Physics I Lab""","124","false","","4","""1/999""","""3/999""","""O""","20084","[""MW 0100-0400PM""]","","""Lab""","2008"
"69980","1.0","1289","[""SOAN""]","0","""0/999""","[""HBS"", ""MCD""]","","","[""Ryan R. Sheppard""]","""0/999""","100","[""HH 302""]","999","""Intro to Sociology""","121","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 0800-0930""]","""Introduction to Sociology""","""Research""","2008"
"69981","1.0","1310","[""SOAN""]","0","""0/999""","[""HBS"", ""MCD""]","","","[""Ryan R. Sheppard""]","""0/999""","200","[""HH 302""]","999","""Marriage & the Family""","260","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1000-1130""]","""Marriage and the Family""","""Research""","2008"
"70041","1.0","1496","[""ART""]","8","""0/999""","[""ALS-A""]","","","[""Kathryne Fisher""]","""3/999""","200","[""DC 115""]","999","""Ceramics""","207","false","","4","""2/999""","""3/999""","""O""","20084","[""M-F 0230-0400PM""]","","""Research""","2008"
"70046","1.0","728","[""MATH""]","5","""1/999""","[""AQR""]","","","[""Peder Bolstad""]","""2/999""","100","[""RNS 204""]","999","""Gateways/Mathematics""","117","false","","4","""1/999""","""1/999""","""O""","20084","[""M-F 0800-0930""]","""Gateways to Mathematics""","""Research""","2008"
"70047","1.0","964","[""PHIL""]","0","""0/999""","[""HWC""]","","","[""Staff""]","""0/999""","100","[""RNS 426""]","999","""Making of Modern Mind""","118","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1230-0200PM""]","""The Making of the Modern Mind""","""Research""","2008"
"70103","1.0","1214","[""REL""]","8","""1/999""","[""BTS-T""]","","","[""Edmund Santurri""]","""2/999""","200","[""DC 204""]","999","""God and Faith/Autobio""","233","false","","4","""2/999""","""3/999""","""O""","20084","[""M-F 1000-1130""]","""God and Faith in Autobiography""","""Research""","2008"
"70167","1.0","731","[""MATH""]","0","""0/999""","[""AQR""]","","","[""Kristina Garrett""]","""0/999""","100","[""RNS 204""]","999","""Calculus I""","120","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1230-0200PM""]","","""Research""","2008"
"70168","1.0","738","[""MATH""]","8","""3/999""","","","","[""Kristina Garrett""]","""1/999""","200","[""RNS 204""]","999","""Multivariable Calc""","226","false","","4","""3/999""","""1/999""","""O""","20084","[""M-F 1000-1130""]","""Multivariable Calculus""","""Research""","2008"
"70220","1.0","479","[""FREN""]","0","""0/999""","","","","[""Amine R. Bekhechi""]","""0/999""","200","[""OM 026""]","999","""Intermed French I""","231","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 0800-0930""]","""Intermediate French I""","""Research""","2008"
"70221","1.0","480","[""FREN""]","0","""0/999""","[""FOL-F"", ""MCG""]","","","[""Amine R. Bekhechi""]","""0/999""","200","[""OM 026""]","999","""Intermed French II""","232","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1230-0200PM""]","""Intermediate French II""","""Research""","2008"
"70224","1.0","20161","[""MEDIA""]","7","""1/999""","[""ALS-A"", ""MCG""]","","""R""","[""Jon Eric Nelson""]","""3/999""","200","[""RNS 290""]","999","""World Cinema""","240","false","","4","""2/999""","""1/999""","""O""","20084","[""M-F 1230-0200PM""]","","""Research""","2008"
"70280","1.0","106","[""BIO""]","6","""3/999""","[""IST"", ""SED""]","106","","[""Sara E. Fruehling""]","""0/999""","100","[""RNS 310""]","999","""Cell Bio & Genetics""","125","false","","4","""0/999""","""3/999""","""O""","20084","[""M-F 1000-1130""]","""Cellular Biology and Genetics""","""Research""","2008"
"70281","0.0","107","[""BIO""]","6","""3/999""","","106","","[""Sara E. Fruehling""]","""0/999""","100","[""RNS 255""]","999","""Cell Bio & Genetics Lab""","125","false","","4","""0/999""","""3/999""","""O""","20084","[""TTh 0100-0400PM""]","","""Lab""","2008"
"70289","1.0","1402","[""STAT""]","0","""0/999""","[""AQR""]","","","[""Douglas D. Baumann""]","""0/999""","100","[""RNS 426""]","999","""Prin of Statistics""","110","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 1000-1130""]","""Principles of Statistics""","""Research""","2008"
"70385","0.5","1016","[""ESAC""]","0","""0/999""","[""SPM""]","","","[""Craig D. Stern""]","""0/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","4","""0/999""","""0/999""","""X""","20084","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2008"
"70410","0.5","153","[""BIO""]","1","""0/999""","","","","[""Charles Jr. Umbanhowar""]","""0/999""","200","","999","""Academic Internship""","294","true","","4","""1/999""","""0/999""","""O""","20084","","""Internship""","""Research""","2008"
"70518","1.0","175","[""BIO""]","1","""0/999""","","","","[""Steven Freedberg""]","""1/999""","300","","999","""IR/Molecular Ecology""","398","false","","4","""0/999""","""0/999""","""O""","20084","","""Independent Research""","""Research""","2008"
"70613","1.0","94","[""ASIAN""]","1","""0/999""","","","","[""Barbara Reed""]","""0/999""","200","","999","""IS/Buddhism and Death""","298","false","","4","""1/999""","""0/999""","""O""","20084","","""Independent Study""","""Research""","2008"
"70752","1.0","223","[""CHEM""]","1","""0/999""","","","","[""Douglas J. Beussman""]","""0/999""","300","","999","""IR/CE Forensic Method Dev""","398","false","","4","""1/999""","""0/999""","""O""","20084","","""Independent Research""","""Research""","2008"

