"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"16736","1.0","4","[""AMST""]","22","""7/999""","","[""James Farrell""]","""4/999""","100","[""CH 110""]","25","""Perspec Amer Culture""","100","false","","1","""4/999""","""10/999""","""O""","19951","[""MWF 1255-0150PM""]","""Research""","1995"
"16737","1.0","1492","[""AMST""]","19","""2/999""","","[""James Farrell""]","""3/999""","200","[""H 514""]","20","""Top: American 1960s""","203","false","","1","""5/999""","""10/999""","""O""","19951","[""MWF 0905-1000""]","""Topic""","1995"
"16738","0.5","19","[""ART""]","20","""12/11""","","[""Jil Evans""]","""2/3""","100","[""FH 42""]","20","""Found Perceptual Draw""","111","false","""A""","1","""2/2""","""5/8""","""C""","19951","[""MWF 1045-1140""]","""Research""","1995"
"16739","0.5","19","[""ART""]","16","""7/13""","","[""Jil Evans""]","""3/3""","100","[""FH 42""]","20","""Found Perceptual Draw""","111","false","""B""","1","""2/2""","""2/7""","""O""","19951","[""MWF 1150-1245PM""]","""Research""","1995"
"16740","0.5","20","[""ART""]","10","""6/13""","","[""Jan Shoger""]","""4/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","1","""1/1""","""5/10""","""O""","19951","[""MWF 0905-1000""]","""Research""","1995"
"16741","0.5","21","[""ART""]","20","""8/8""","","[""Wendell Arneson""]","""3/4""","100","[""FH AB""]","20","""Found Color Design""","113","false","""A""","1","""3/3""","""6/8""","""C""","19951","[""MWF 0905-1000""]","""Research""","1995"
"16742","0.5","21","[""ART""]","23","""6/10""","","[""Wendell Arneson""]","""2/4""","100","[""FH AB""]","20","""Found Color Design""","113","false","""B""","1","""3/3""","""6/9""","""C""","19951","[""MWF 1045-1140""]","""Research""","1995"
"16743","0.5","22","[""ART""]","12","""6/6""","","[""John Saurer""]","""3/7""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""A""","1","""0/3""","""6/9""","""O""","19951","[""TTh 0800-0925""]","""Research""","1995"
"16744","0.5","22","[""ART""]","10","""5/5""","","[""John Saurer""]","""5/5""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""B""","1","""2/3""","""5/5""","""O""","19951","[""TTh 0935-1100""]","""Research""","1995"
"16747","0.5","24","[""ART""]","9","""3/12""","","[""Ron Gallas""]","""2/5""","100","[""FH 19""]","20","""Found Ceramics: Hand""","116","false","""A""","1","""4/4""","""2/9""","""O""","19951","[""TTh 0800-0925""]","""Research""","1995"
"16748","0.5","24","[""ART""]","16","""5/5""","","[""Ron Gallas""]","""7/6""","100","[""FH 19""]","20","""Found Ceramics: Hand""","116","false","""B""","1","""3/4""","""5/5""","""O""","19951","[""TTh 0120-0245PM""]","""Research""","1995"
"16749","0.5","26","[""ART""]","16","""3/3""","","[""Ron Gallas""]","""4/4""","100","[""FH 19""]","15","""Found Ceramics: Throw""","119","false","","1","""3/3""","""5/5""","""C""","19951","[""TTh 0300-0430PM""]","""Research""","1995"
"16750","1.0","27","[""ART""]","12","""9/999""","","[""Jan Shoger""]","""0/999""","100","[""FH 42""]","999","""Honors Found Drawing""","120","false","","1","""0/999""","""0/999""","""O""","19951","[""MWF 1255-0255PM""]","""Research""","1995"
"16751","1.0","31","[""ART""]","36","""9/999""","","[""Katherine Smith-Abbott""]","""5/999""","100","[""FH 01""]","40","""Ancient--Medieval""","150","false","","1","""17/999""","""10/999""","""O""","19951","[""MWF 0905-1000""]","""Research""","1995"
"16752","1.0","33","[""ART""]","20","""0/999""","","[""Wendell Arneson""]","""5/999""","200","[""FH 40""]","20","""Oil/Acrylic Paintng""","231","false","","1","""7/999""","""8/999""","""C""","19951","[""MWF 1255-0255PM""]","""Research""","1995"
"16753","1.0","35","[""ART""]","4","""1/999""","","[""John Saurer""]","""2/999""","200","[""FH 18""]","8","""Sculpt: Metal Casting""","233","false","","1","""0/999""","""0/999""","""O""","19951","[""TTh 1145-0245PM""]","""Research""","1995"
"16754","1.0","37","[""ART""]","7","""0/999""","","[""Steven Edwins""]","""3/999""","200","[""FH AB""]","20","""Arch Drawing/Design I""","235","false","","1","""2/999""","""4/999""","""O""","19951","[""MWF 1255-0255PM""]","""Research""","1995"
"16755","1.0","38","[""ART""]","8","""1/999""","","[""Jan Shoger""]","""5/999""","200","[""FH 44""]","15","""Printmkg: Relief/Litho""","236","false","","1","""4/999""","""2/999""","""O""","19951","[""MWF 1045-1245PM""]","""Research""","1995"
"16756","1.0","45","[""ART""]","4","""0/999""","","[""Ron Gallas""]","""1/999""","200","[""FH 19""]","15","""Ceramics""","244","false","","1","""1/999""","""2/999""","""O""","19951","[""TTh 1145-0245PM""]","""Research""","1995"
"16760","1.0","1503","[""ART""]","35","""2/999""","","[""Matthew Rohn""]","""7/999""","200","[""FH 01""]","50","""Art Since 1945""","253","false","","1","""7/999""","""16/999""","""O""","19951","[""MWF 1045-1140""]","""Research""","1995"
"16761","1.0","53","[""ART""]","35","""0/999""","","[""Katherine Smith-Abbott""]","""12/999""","200","[""FH 01""]","30","""Italian Renaissance""","254","false","","1","""16/999""","""2/999""","""C""","19951","[""MWF 1150-1245PM""]","""Research""","1995"
"16762","1.0","59","[""ART""]","30","""5/999""","","[""A. Malcolm Gimse""]","""9/999""","200","[""FH 01""]","50","""Hist of Architecture""","261","false","","1","""9/999""","""6/999""","""O""","19951","[""TTh 0120-0245PM""]","""Research""","1995"
"16763","1.0","61","[""ART""]","23","""3/999""","","[""A. Malcolm Gimse""]","""7/999""","200","[""FH 01""]","50","""Art of India/SE Asia""","265","false","","1","""8/999""","""2/999""","""O""","19951","[""MWF 1255-0150PM""]","""Research""","1995"
"16764","1.0","64","[""ART""]","6","""2/999""","","[""Matthew Rohn""]","""0/1""","200","[""FH SEM""]","14","""Issues Art Criticism""","270","false","","1","""0/1""","""0/999""","""O""","19951","[""TTh 0120-0245PM""]","""Research""","1995"
"16765","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Pottery""","298","false","","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16766","1.0","69","[""ART""]","1","""0/999""","","[""Jil Evans""]","""0/999""","200","","999","""IS/Painting \""plus\""""","298","false","""A""","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16767","1.0","1512","[""ART""]","4","""0/999""","","[""Jil Evans""]","""1/999""","300","[""FH ANNEX""]","12","""Painting II""","331","false","","1","""3/999""","""0/999""","""O""","19951","[""MWF 1255-0255PM""]","""Research""","1995"
"16768","1.0","1513","[""ART""]","1","""0/999""","","[""John Saurer""]","""1/999""","300","[""FH 18""]","6","""Sculpture II""","333","false","","1","""1/999""","""0/999""","""O""","19951","[""TTh 1145-0245PM""]","""Research""","1995"
"16769","1.0","73","[""ART""]","1","""0/999""","","[""Matthew Rohn""]","""0/999""","300","","999","""Internship""","394","true","","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16770","1.0","75","[""ART""]","1","""0/999""","","[""Jil Evans"", ""Wendell Arneson""]","""0/999""","300","","999","""IR/Adv Painting""","398","false","","1","""2/999""","""0/999""","""O""","19951","","""Research""","1995"
"16771","1.0","75","[""ART""]","1","""0/999""","","[""Matthew Rohn""]","""0/999""","300","","999","""IR/Saxon Manuscript""","398","false","""A""","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16772","1.0","75","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","300","","999","""IR/Adv Watercolor""","398","false","""B""","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16773","1.0","75","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","300","","999","""IR/Oil Painting""","398","false","""C""","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16774","1.0","78","[""ASIAN""]","19","""9/999""","","[""Phyllis Hyland Larson""]","""0/999""","100","[""M 1""]","30","""Asian Cultures""","121","false","","1","""1/999""","""12/999""","""O""","19951","[""MWF 1255-0150PM""]","""Research""","1995"
"16776","1.0","94","[""ASIAN""]","1","""0/999""","","[""Jan Shoger""]","""0/999""","200","","999","""IS/Ukiyoe: Edo, Japan""","298","false","""A""","1","""0/999""","""0/999""","""O""","19951","","""Research""","1995"
"16777","1.0","98","[""ASIAN""]","6","""0/999""","","[""Xun Pomponio""]","""1/999""","300","[""SC 310""]","30","""Asia Seminar""","399","false","","1","""5/999""","""0/999""","""O""","19951","[""TTh 0935-1100""]","""Seminar""","1995"
"16778","1.0","102","[""BIO""]","93","""0/999""","","[""Theodore Johnson""]","""25/999""","100","[""SC 280""]","96","""Human Biology""","123","false","","1","""31/999""","""40/999""","""C""","19951","[""MWF 0905-1000""]","""Research""","1995"
"16779","0.0","103","[""BIO""]","23","""0/999""","","[""Staff""]","""8/999""","100","[""SC 253""]","24","""Human Biology/Lab""","123","false","""A""","1","""3/999""","""12/999""","""C""","19951","[""W 0200-0400PM""]","""Lab""","1995"
"16780","0.0","103","[""BIO""]","22","""0/999""","","[""Staff""]","""6/999""","100","[""SC 253""]","24","""Human Biology/Lab""","123","false","""B""","1","""5/999""","""13/999""","""C""","19951","[""Th 0800-1000""]","""Lab""","1995"
"16781","0.0","103","[""BIO""]","26","""0/999""","","[""Staff""]","""10/999""","100","[""SC 253""]","24","""Human Biology/Lab""","123","false","""C""","1","""3/999""","""12/999""","""C""","19951","[""Th 1145-0145PM""]","""Lab""","1995"
"16782","0.0","103","[""BIO""]","22","""0/999""","","[""Staff""]","""2/999""","100","[""SC 253""]","24","""Human Biology/Lab""","123","false","""D""","1","""4/999""","""18/999""","""O""","19951","[""Th 0300-0500PM""]","""Lab""","1995"
"16783","1.0","106","[""BIO""]","59","""31/999""","","[""Lauri Sammartano""]","""-1/999""","100","[""SC 278""]","56","""Cellular Bio & Genetics""","125","false","""A""","1","""9/999""","""27/999""","""C""","19951","[""MWF 0800-0855""]","""Research""","1995"
"16784","0.0","107","[""BIO""]","32","""10/999""","","[""Staff""]","""-1/999""","100","[""SC 273""]","28","""Cell Bio & Genetics/Lab""","125","false","""A""","1","""6/999""","""18/999""","""C""","19951","[""T 0300-0500PM""]","""Lab""","1995"
"16785","1.0","106","[""BIO""]","60","""48/999""","","[""Alice Burton""]","""1/999""","100","[""SC 278""]","56","""Cellular Bio & Genetics""","125","false","""B""","1","""2/999""","""14/999""","""C""","19951","[""MWF 0905-1000""]","""Research""","1995"
"16786","0.0","107","[""BIO""]","27","""16/999""","","[""Staff""]","""0/999""","100","[""SC 273""]","28","""Cell Bio & Genetics/Lab""","125","false","""B""","1","""3/999""","""9/999""","""O""","19951","[""W 1150-0150PM""]","""Lab""","1995"
"16787","1.0","106","[""BIO""]","71","""7/999""","","[""John Giannini""]","""12/999""","100","[""SC 278""]","72","""Cellular Bio & Genetics""","125","false","""C""","1","""4/999""","""56/999""","""C""","19951","[""MWF 1045-1140""]","""Research""","1995"
"16788","0.0","107","[""BIO""]","32","""27/999""","","[""Staff""]","""0/999""","100","[""SC 273""]","28","""Cell Bio & Benetics/Lab""","125","false","""C""","1","""0/999""","""8/999""","""C""","19951","[""T 1145-0145PM""]","""Lab""","1995"
"16789","1.0","106","[""BIO""]","78","""38/999""","","[""Eric Cole""]","""5/999""","100","[""SC 278""]","72","""Cellular Bio & Genetics""","125","false","""D""","1","""1/999""","""35/999""","""C""","19951","[""MWF 1150-1245PM""]","""Research""","1995"
"16790","0.0","107","[""BIO""]","28","""24/999""","","[""Staff""]","""1/999""","100","[""SC 273""]","28","""Cell Bio & Genetics/Lab""","125","false","""D""","1","""2/999""","""6/999""","""C""","19951","[""W 0230-0430PM""]","""Lab""","1995"
"16791","0.0","107","[""BIO""]","28","""2/999""","","[""Staff""]","""1/999""","100","[""SC 273""]","24","""Cell Bio & Genetics/Lab""","125","false","""E""","1","""0/999""","""23/999""","""C""","19951","[""Th 0800-1000""]","""Lab""","1995"
"16792","0.0","107","[""BIO""]","24","""2/999""","","[""Staff""]","""5/999""","100","[""SC 273""]","24","""Cell Bio & Genetics/Lab""","125","false","""F""","1","""3/999""","""16/999""","""C""","19951","[""Th 1145-0145PM""]","""Lab""","1995"
"16793","0.0","107","[""BIO""]","19","""3/999""","","[""Staff""]","""6/999""","100","[""SC 273""]","24","""Cell Bio & Genetics/Lab""","125","false","""G""","1","""2/999""","""13/999""","""C""","19951","[""F 1255-0255PM""]","""Lab""","1995"
"16794","0.0","107","[""BIO""]","24","""14/999""","","[""Staff""]","""2/999""","100","[""SC 273""]","24","""Cell Bio & Genetics/Lab""","125","false","""H""","1","""0/999""","""8/999""","""C""","19951","[""M 0200-0400PM""]","""Lab""","1995"
"16795","0.0","107","[""BIO""]","27","""16/999""","","[""Staff""]","""1/999""","100","[""SC 273""]","24","""Cell Bio & Genetics/Lab""","125","false","""I""","1","""0/999""","""12/999""","""C""","19951","[""T 0800-1000""]","""Lab""","1995"
"16796","0.0","107","[""BIO""]","27","""10/999""","","[""Staff""]","""2/999""","100","[""SC 273""]","24","""Cell Bio & Genetics/Lab""","125","false","""J""","1","""0/999""","""16/999""","""C""","19951","[""Th 0300-0500PM""]","""Lab""","1995"
"16797","1.0","122","[""BIO""]","60","""0/999""","","[""Paul Cabe""]","""56/999""","200","[""SC 280""]","72","""Intermediate Genetics""","233","false","","1","""14/999""","""2/999""","""C""","19951","[""MWF 1150-1245PM""]","""Research""","1995"
"16798","0.0","123","[""BIO""]","21","""0/999""","","[""Staff""]","""21/999""","200","[""SC 229""]","24","""Intermed Genetics/Lab""","233","false","""A""","1","""3/999""","""0/999""","""O""","19951","[""W 0200-0500PM""]","""Lab""","1995"
"16799","0.0","123","[""BIO""]","19","""0/999""","","[""Staff""]","""13/999""","200","[""SC 229""]","24","""Intermed Genetics/Lab""","233","false","""B""","1","""5/999""","""2/999""","""C""","19951","[""Th 0800-1100""]","""Lab""","1995"
"16800","0.0","123","[""BIO""]","20","""0/999""","","[""Staff""]","""18/999""","200","[""SC 229""]","24","""Intermed Genetics/Lab""","233","false","""C""","1","""6/999""","""0/999""","""O""","19951","[""Th 0120-0420PM""]","""Lab""","1995"
"16801","1.0","1535","[""BIO""]","19","""4/999""","","[""Anne Walter""]","""5/999""","200","[""SC 278""]","48","""Cell Physiology""","241","false","","1","""10/999""","""2/999""","""O""","19951","[""TTh 0935-1100""]","""Research""","1995"
"16802","0.0","1536","[""BIO""]","9","""3/999""","","[""Staff""]","""4/999""","200","[""SC 227""]","24","""Cell Physiology/Lab""","241","false","""A""","1","""4/999""","""0/999""","""O""","19951","[""T 0120-0420PM""]","""Lab""","1995"
"16803","0.0","1536","[""BIO""]","10","""1/999""","","[""Staff""]","""1/999""","200","[""SC 227""]","24","""Cell Physiology/Lab""","241","false","""B""","1","""6/999""","""2/999""","""O""","19951","[""W 1255-0355PM""]","""Lab""","1995"
"16804","1.0","126","[""BIO""]","79","""3/999""","","[""David Van Wylen""]","""12/999""","200","[""SC 280""]","72","""Human Anatomy & Physiol""","243","false","","1","""60/999""","""1/999""","""C""","19951","[""MWF 1045-1140""]","""Research""","1995"
"16805","0.0","127","[""BIO""]","25","""1/999""","","[""Staff""]","""5/999""","200","[""SC 253""]","24","""Human Anat & Phys/Lab""","243","false","""A""","1","""17/999""","""1/999""","""C""","19951","[""M 1255-0355PM""]","""Lab""","1995"
"16806","0.0","127","[""BIO""]","27","""1/999""","","[""Staff""]","""1/999""","200","[""SC 253""]","24","""Human Anat & Phys/Lab""","243","false","""B""","1","""23/999""","""0/999""","""C""","19951","[""T 0800-1100""]","""Lab""","1995"
"16807","0.0","127","[""BIO""]","27","""1/999""","","[""Staff""]","""4/999""","200","[""SC 253""]","24","""Human Anat & Phys/Lab""","243","false","""C""","1","""20/999""","""0/999""","""C""","19951","[""T 0120-0420PM""]","""Lab""","1995"
"16808","1.0","1537","[""BIO""]","13","""1/999""","","[""Zischke""]","""5/999""","200","[""SC 274""]","24","""Freshwater Ecology""","244","false","","1","""4/999""","""5/999""","""O""","19951","[""TTh 0935-1100""]","""Research""","1995"
"16809","0.0","1538","[""BIO""]","4","""0/999""","","[""Staff""]","""1/999""","200","[""SC 211""]","12","""Freshwater Ecolog/Lab""","244","false","""A""","1","""2/999""","""0/999""","""O""","19951","[""W 1255-0355PM""]","""Lab""","1995"
"16810","0.0","1538","[""BIO""]","9","""1/999""","","[""Staff""]","""4/999""","200","[""SC 211""]","12","""Freshwater Ecolog/Lab""","244","false","""B""","1","""2/999""","""5/999""","""O""","19951","[""Th 1145-0245PM""]","""Lab""","1995"
"16811","1.0","128","[""BIO""]","35","""2/999""","","[""Eugene Bakko""]","""17/999""","200","[""SC 278""]","36","""Animal Physiology""","247","false","","1","""17/999""","""2/999""","""O""","19951","[""TTh 0800-0925""]","""Research""","1995"
"16812","0.0","129","[""BIO""]","11","""0/999""","","[""Staff""]","""9/999""","200","[""SC 269""]","12","""Animal Physiology/Lab""","247","false","""A""","1","""3/999""","""0/999""","""O""","19951","[""T 0120-0420PM""]","""Lab""","1995"
"16813","0.0","129","[""BIO""]","10","""0/999""","","[""Staff""]","""1/999""","200","[""SC 269""]","12","""Animal Physiology/Lab""","247","false","""B""","1","""11/999""","""0/999""","""O""","19951","[""W 1255-0355PM""]","""Lab""","1995"
"16814","0.0","129","[""BIO""]","13","""2/999""","","[""Staff""]","""5/999""","200","[""SC 269""]","12","""Animal Physiology/Lab""","247","false","""C""","1","""3/999""","""2/999""","""C""","19951","[""Th 0120-0420PM""]","""Lab""","1995"
