"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"78812","0.25","16218","[""SOAN""]","7","""0/999""","","","","","[""Christopher L. Chiappari""]","""1/999""","200","","10","""FLC-Spanish""","237","false","","3","""1/999""","""5/999""","""O""","20113","","","""FLAC""","2011"
"78813","1.0","747","[""MATH""]","18","""4/999""","[""WRI""]","","","","[""Jill Dietz""]","""3/999""","200","[""TOH 184"", ""TOH 184""]","22","""Abstract Algebra I""","252","false","""A""","3","""1/999""","""10/999""","""C""","20113","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2011"
"78814","1.0","747","[""MATH""]","17","""3/999""","[""WRI""]","","","","[""Kay E. Smith""]","""6/999""","200","[""TOH 186""]","22","""Abstract Algebra I""","252","false","""B""","3","""1/999""","""7/999""","""O""","20113","[""MWF 0905-1000""]","","""Research""","2011"
"78816","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20113","","""Internship""","""Research""","2011"
"78817","1.0","68","[""ART""]","3","""0/999""","","","","","[""Irve Dell""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""3/999""","""0/999""","""C""","20113","","","""Research""","2011"
"78818","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20113","","","""Research""","2011"
"78819","1.0","93","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20113","","","""Research""","2011"
"78820","1.0","96","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20113","","","""Research""","2011"
"78821","1.0","153","[""BIO""]","1","""0/999""","","","","","[""Michael Swift""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""1/999""","""0/999""","""C""","20113","","""Internship""","""Research""","2011"
"78822","1.0","174","[""BIO""]","0","""0/999""","","","","","[""Cynthia Book""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20113","","""Internship""","""Research""","2011"
"78823","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20113","","""Internship""","""Research""","2011"
"78824","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20113","","""Internship""","""Research""","2011"
"78825","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20113","","","""Research""","2011"
"78826","1.0","235","[""CLASS""]","1","""0/999""","","","","","[""Timothy R. Howe""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""1/999""","""0/999""","""C""","20113","","","""Research""","2011"
"78827","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20113","","","""Research""","2011"
