"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"25069","1.0","196","[""CHEM""]","16","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","","4","""0/999""","""0/999""","""O""","19984","[""M-F 0800-0930""]","""Research""","1998"
"25070","0.25","199","[""CHEM""]","12","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","","4","""0/999""","""0/999""","""O""","19984","[""MT 0100-0400PM""]","""Lab""","1998"
"25071","0.0","341","[""EDUC""]","5","""0/999""","[""Staff""]","""0/999""","300","","1","""Human Relations""","382","true","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25072","1.0","411","[""ENGL""]","12","""0/999""","[""Joseph L. Mbele""]","""0/999""","200","[""L 520""]","999","""Post-Colonial Lit""","247","false","","4","""0/999""","""0/999""","""O""","19984","[""M-F 1000-1130""]","""Research""","1998"
"25073","1.0","418","[""ENGL""]","7","""0/999""","[""Staff""]","""0/999""","200","","999","""Creative Writing I""","257","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25074","1.0","438","[""ENGL""]","5","""0/999""","[""Joseph L. Mbele""]","""0/999""","300","[""L 520""]","999","""Post-Col/3rd Wld Lit""","347","false","","4","""0/999""","""0/999""","""O""","19984","[""M-F 1230-0200PM""]","""Topic""","1998"
"25075","1.0","1728","[""ENVST""]","9","""0/999""","[""Staff""]","""0/999""","100","","999","""Minn Natural History""","150","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25076","1.0","459","[""ENVST""]","7","""0/999""","[""Staff""]","""0/999""","200","","999","""Enviro Policy/Regulat""","232","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25077","1.0","1729","[""ENVST""]","10","""0/999""","[""Staff""]","""0/999""","200","","999","""Intro: Enviro Studies""","237","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25078","1.0","465","[""ENVST""]","1","""0/999""","[""Gary Deason""]","""0/999""","200","","999","""IS/Trail Erosion Stdy""","298","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25079","1.0","508","[""GERM""]","1","""0/999""","[""Lavern Rippley""]","""0/999""","200","","999","""Intermed German I""","231","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25080","1.0","1820","[""HIST""]","6","""0/999""","[""Staff""]","""0/999""","200","[""L 420""]","15","""U.S. Since 1865""","206","false","","4","""0/999""","""0/999""","""O""","19984","[""M-F 1230-0200PM""]","""Research""","1998"
"25081","1.0","617","[""HIST""]","6","""0/999""","[""Gary Deason""]","""0/999""","200","","999","""Amer Environmental""","246","false","","4","""0/999""","""0/999""","""O""","19984","","""Research""","1998"
"25082","1.0","649","[""FAMST""]","6","""0/999""","[""C. George Holt""]","""0/999""","200","[""H 209""]","999","""Family Relationships""","242","false","","4","""0/999""","""0/999""","""O""","19984","[""M-F 1000-1130""]","""Research""","1998"
"25083","1.0","651","[""FAMST""]","7","""0/999""","[""C. George Holt""]","""0/999""","200","[""H 209""]","999","""Human Sexuality""","253","false","","4","""0/999""","""0/999""","""O""","19984","[""M-F 0800-0930""]","""Research""","1998"
