"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"59014","1.0","406","[""ENGL""]","11","""0/999""","","[""Jan C. Hill""]","""8/999""","200","[""RML 515""]","999","""Children's Literature""","233","false","","4","""0/999""","""1/999""","""C""","20064","[""M-F 0230-0400PM""]","""Children's and Young Adult Literature""","""Research""","2006"
"59015","1.0","418","[""ENGL""]","6","""0/999""","","[""Eliot K. Wilson""]","""3/999""","200","[""RML 515""]","999","""Creat Wrtg: Fict/Poet""","257","false","","4","""0/999""","""2/999""","""O""","20064","[""M-F 1230-0200PM""]","""Creative Writing I""","""Research""","2006"
"59019","1.0","429","[""ENGL""]","7","""0/999""","","[""Mark Allister""]","""1/999""","200","[""RML 515""]","999","""Top: Serious Beach Read""","283","false","","4","""0/999""","""1/999""","""O""","20064","[""M-F 1000-1130""]","""Studies in Prose""","""Topic""","2006"
"59022","1.0","697","[""ID""]","10","""0/999""","","[""Edmund Santurri""]","""3/999""","200","[""RML 420""]","999","""War and Peace""","238","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59023","1.0","1289","[""SOAN""]","6","""0/999""","","[""Ryan R. Sheppard""]","""2/999""","100","[""HH 403""]","999","""Intro to Sociology""","121","false","","4","""0/999""","""3/999""","""O""","20064","[""M-F 0800-0930""]","""Introduction to Sociology""","""Research""","2006"
"59024","1.0","1310","[""SOAN""]","0","""0/999""","","[""Ryan R. Sheppard""]","""0/999""","200","[""HH 302""]","999","""Marriage & the Family""","260","false","","4","""0/999""","""0/999""","""X""","20064","[""M-F 1000-1130""]","""Marriage and the Family""","""Research""","2006"
"59025","1.0","31","[""ART""]","7","""0/999""","","[""Christine O'Malley""]","""1/999""","100","[""DC 204""]","999","""Intro/Art History I""","150","false","","4","""0/999""","""3/999""","""O""","20064","[""M-F 1000-1130""]","""Introduction to Art History I""","""Research""","2006"
"59026","1.0","371","[""DANCE""]","7","""0/999""","","[""Heather J. Klopchin""]","""3/999""","200","[""DC 204""]","999","""Dance in America""","246","false","","4","""0/999""","""1/999""","""O""","20064","[""M-F 1230-0200PM""]","","""Research""","2006"
"59027","1.0","673","[""IS""]","5","""0/999""","","[""Shahram Ahrar""]","""1/999""","200","[""SAC 112""]","999","""Top: Sport in Society""","202","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 1230-0200PM""]","""Top: Sports in Society""","""Topic""","2006"
"59028","0.5","1012","[""PEAC""]","8","""0/999""","","[""Christine Daymont""]","""4/999""","100","[""SAC 112""]","10","""Individual Fitness.50""","133","false","","4","""0/999""","""1/999""","""O""","20064","[""M-F 0645-0745""]","""Individual Fitness""","""Research""","2006"
