"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"73723","0.25","16222","[""HIST""]","6","""2/999""","","","","","[""Gwendolyn Barnes-Karol""]","""0/999""","200","","10","""FLC - Spanish""","242","false","","3","""0/999""","""4/999""","""O""","20103","","","""FLAC""","2010"
"73724","0.25","16218","[""SOAN""]","8","""4/999""","","","","","[""Christopher L. Chiappari""]","""0/999""","200","","15","""FLC-Spanish""","237","false","","3","""1/999""","""3/999""","""O""","20103","","","""FLAC""","2010"
"73725","1.0","747","[""MATH""]","19","""3/999""","[""WRI""]","","","","[""Adam H. Berliner""]","""10/999""","200","[""RNS 204""]","22","""Abstract Algebra I""","252","false","""A""","3","""0/999""","""6/999""","""C""","20103","[""MWF 1255-0150PM""]","","""Research""","2010"
"73726","1.0","747","[""MATH""]","24","""0/999""","[""WRI""]","","","","[""Kristina Garrett""]","""12/999""","200","[""TOH 184""]","26","""Abstract Algebra I""","252","false","""B""","3","""1/999""","""11/999""","""C""","20103","[""MWF 0905-1000""]","","""Research""","2010"
"73727","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73728","1.0","68","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73729","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73730","1.0","93","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73731","1.0","96","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73732","1.0","153","[""BIO""]","1","""0/999""","","","","","[""Diane K. Angell""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""1/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73733","1.0","174","[""BIO""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73734","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73735","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73736","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73737","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73738","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73739","1.0","251","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73740","1.0","276","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73741","1.0","284","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","","""Research""","2010"
"73742","1.0","299","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73743","1.0","306","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20103","","""Internship""","""Research""","2010"
"73744","0.5","313","[""EDUC""]","1","""0/999""","","","","","[""Robert W. McClure""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""1/999""","""0/999""","""C""","20103","","","""Research""","2010"
