"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"90748","1.0","16","[""AFAM""]","33","""1/999""","[""ALS-L"", ""MCG""]","","","","[""Abdulai Iddrisu""]","""10/999""","200","[""TOH 108"", ""TOH 108""]","25","""Sem: Africa/Americas""","231","false","","3","""9/999""","""13/999""","""C""","20133","[""T 0935-1100"", ""Th 0930-1050""]","""Africa and the Americas: The Diaspora Experience""","""Seminar""","2013"
"90749","1.0","615","[""HIST""]","14","""0/999""","[""WRI""]","","","","[""Steven C. Hahn""]","""9/999""","200","[""HH 515"", ""HH 515""]","15","""Sem: B Franklin's America""","270","false","","3","""2/999""","""3/999""","""C""","20133","[""T 0800-0925"", ""Th 0800-0920""]","""Major Seminar: American History""","""Seminar""","2013"
"90750","1.0","13","[""AMST""]","13","""0/0""","","","","","[""Mary Titus""]","""9/999""","300","[""RNS 124""]","15","""Sem: US Material Culture""","301","false","","3","""3/999""","""1/0""","""O""","20133","[""MWF 1150-1245PM""]","""Seminar""","""Seminar""","2013"
"90751","1.0","638","[""HIST""]","19","""0/0""","[""WRI""]","","","","[""Steven C. Hahn""]","""8/999""","300","[""RML 520"", ""RML 520""]","18","""Sem: American Rev""","370","false","","3","""11/999""","""0/999""","""C""","20133","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""American Seminar""","""Seminar""","2013"
"90753","1.0","1250","[""REL""]","11","""0/0""","","","","","[""James Hanson""]","""2/999""","300","[""OM 105"", ""OM 105""]","13","""Sem: Bible""","391","false","","3","""9/999""","""0/0""","""C""","20133","[""T 0935-1100"", ""Th 0930-1050""]","""Biblical Seminar""","""Seminar""","2013"
"90754","1.0","631","[""HIST""]","16","""0/999""","[""WRI""]","","","","[""Gary De Krey""]","""5/999""","300","[""DC 204"", ""DC 204""]","18","""Sem: Early Modern Europe""","315","false","","3","""10/999""","""1/999""","""C""","20133","[""T 0935-1100"", ""Th 0930-1050""]","""Seminar: Early Modern Europe""","""Seminar""","2013"
"90755","1.0","634","[""ASIAN"", ""HIST""]","19","""0/999""","[""WRI""]","","","","[""Robert Entenmann""]","""5/999""","300","[""HH 516"", ""HH 516""]","18","""Sem: East Asia""","345","false","","3","""13/999""","""1/999""","""C""","20133","[""T 0800-0925"", ""Th 0800-0920""]","""East Asia Seminar""","""Seminar""","2013"
"90757","1.0","468","[""ENVST""]","20","""0/0""","","","","","[""Charles Jr. Umbanhowar""]","""0/0""","300","[""RNS 400"", ""RNS 400""]","22","""Sem: Environ Studies""","399","false","","3","""20/999""","""0/0""","""O""","20133","[""M 1255-0255PM"", ""W 1255-0150PM""]","""Seminar in Environmental Studies""","""Seminar""","2013"
"90759","1.0","26503","[""WMGST""]","9","""0/999""","[""WRI""]","","","","[""Rebecca S. Richards""]","""1/999""","300","[""RML 421""]","13","""Sem:Transnation Feminisms""","399","false","","3","""8/999""","""0/999""","""O""","20133","[""MWF 0905-1000""]","""Advanced Topics in Women's and Gender Studies""","""Research""","2013"
"90760","1.0","641","[""HIST""]","8","""0/0""","[""WRI""]","","","","[""Jeane DeLaney""]","""2/999""","300","[""HH 319"", ""HH 319""]","18","""Sem: Hist Res Workshop""","397","false","","3","""6/999""","""0/0""","""O""","20133","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""History Research Workshop""","""Seminar""","2013"
"90761","1.0","1144","[""PSCI""]","17","""0/0""","[""WRI""]","","","","[""Anthony Lott""]","""4/0""","300","[""OM 110"", ""OM 110""]","15","""Sem: Intl Relations""","321","false","","3","""13/999""","""0/0""","""C""","20133","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Seminar in International Relations""","""Seminar""","2013"
"90762","1.0","452","[""ENGL""]","13","""0/0""","","","","","[""Emily K. Anderson""]","""5/999""","300","[""RML 420"", ""RML 420""]","15","""Sem: West African Lit""","399","false","","3","""8/999""","""0/0""","""C""","20133","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""The Major Seminar""","""Seminar""","2013"
"90763","0.25","22437","[""CHEM""]","0","""0/0""","","","","","[""Staff""]","""0/0""","300","[""RNS 316""]","10","""Sem: Lit of Chemistry""","390","true","","3","""0/10""","""0/0""","""O""","20133","[""M 0700-0900PM""]","""The Literature of Chemistry""","""Seminar""","2013"
"90764","1.0","762","[""MATH""]","11","""1/999""","","","","","[""Ryota Matsuura""]","""6/999""","300","[""TOH 184"", ""TOH 184""]","20","""Sem: Adv Number Theory""","382","false","","3","""3/18""","""1/999""","""O""","20133","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Topics in Mathematics""","""Seminar""","2013"
"90767","1.0","583","[""HIST""]","16","""1/999""","[""ALS-L"", ""HWC"", ""WRI""]","","","","[""Dolores Peters""]","""5/999""","200","[""HH 514"", ""HH 514""]","15","""Sem: France in WW II""","210","false","","3","""4/999""","""6/999""","""C""","20133","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Major Seminar: European History""","""Seminar""","2013"
"90773","1.0","22783","[""THEAT""]","15","""0/999""","","","","","[""Karen Wilson""]","""0/999""","300","[""TB 227""]","21","""Senior Capstone""","360","false","","3","""15/999""","""0/999""","""O""","20133","[""MWF 1255-0150PM""]","","""Seminar""","2013"
"90774","1.0","690","[""IS""]","0","""0/0""","","","","","[""Staff""]","""0/0""","300","","22","""Senior Project II""","392","false","","3","""0/999""","""0/0""","""C""","20133","","","""Research""","2013"
"90775","1.0","690","[""IS""]","1","""0/999""","","","","","[""Brian Bjorklund""]","""0/999""","300","","999","""Senior Project II""","392","false","""A""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
