"clbid","credits","crsid","departments","enrolled","firsties","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"22168","1.0","6","[""AMST""]","23","""4/999""","","","[""Mark Allister""]","""8/999""","200","[""L 420""]","25","""Masculinity in Amer""","206","false","","3","""10/999""","""2/999""","""O""","19973","[""MWF 0200-0255PM""]","""Research""","1997"
"22169","1.0","13","[""AMST""]","21","""0/999""","","","[""James Farrell""]","""5/999""","300","[""H 514""]","20","""Sem: Mall of America""","301","false","","3","""11/999""","""2/999""","""C""","19973","[""MWF 0905-1000""]","""Seminar""","1997"
"22170","1.0","18","[""ART""]","13","""6/999""","","","[""Mary Griep""]","""2/3""","100","[""FH 42""]","22","""Foundation Drawing""","110","false","","3","""2/2""","""1/9""","""O""","19973","[""MWF 1045-1245PM""]","""Research""","1997"
"22171","0.5","19","[""ART""]","15","""2/999""","","","[""Jil Evans""]","""1/3""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""B""","3","""2/2""","""1/10""","""O""","19973","[""TTh 0305-0430PM""]","""Research""","1997"
"22172","0.5","20","[""ART""]","22","""6/999""","","","[""Jil Evans""]","""3/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","3","""1/2""","""8/9""","""C""","19973","[""TTh 0935-1100""]","""Research""","1997"
"22173","0.5","21","[""ART""]","28","""10/999""","","","[""Wendell Arneson""]","""2/4""","100","[""FH AB""]","22","""Found Color Design""","113","false","""A""","3","""2/2""","""5/10""","""C""","19973","[""MWF 0905-1000""]","""Research""","1997"
"22174","0.5","21","[""ART""]","25","""11/999""","","","[""Wendell Arneson""]","""4/4""","100","[""FH AB""]","22","""Found Color Design""","113","false","""B""","3","""2/2""","""7/8""","""C""","19973","[""MWF 1045-1140""]","""Research""","1997"
"22175","0.5","22","[""ART""]","15","""6/999""","","","[""John Saurer""]","""0/3""","100","[""FH 18""]","17","""Foundation Sculpture""","114","false","""A""","3","""2/2""","""11/9""","""O""","19973","[""TTh 0300-0430PM""]","""Research""","1997"
"22176","0.5","22","[""ART""]","15","""6/999""","","","[""John Saurer""]","""2/3""","100","[""FH 18""]","17","""Foundation Sculpture""","114","false","""B""","3","""2/2""","""4/7""","""O""","19973","[""TTh 0800-0925""]","""Research""","1997"
"22177","0.5","23","[""ART""]","19","""2/999""","","","[""Margaret Ojala""]","""4/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","3","""4/4""","""10/7""","""O""","19973","[""TTh 0800-0925""]","""Research""","1997"
"22178","0.5","23","[""ART""]","19","""5/999""","","","[""Margaret Ojala""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","3","""4/4""","""7/6""","""O""","19973","[""TTh 0935-1100""]","""Research""","1997"
"22179","0.5","24","[""ART""]","15","""6/999""","","","[""Ron Gallas""]","""4/4""","100","[""FH 19""]","20","""Found Ceramics: Hand""","116","false","","3","""3/3""","""5/5""","""O""","19973","[""TTh 0935-1100""]","""Research""","1997"
