"clbid","credits","crsid","departments","enrolled","firsties","gereqs","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"7656","1.0","98","[""ASIAN""]","19","""1/999""","","","[""Robert Entenmann""]","""0/999""","300","[""HH 301"", ""HH 301""]","18","""Sem: Asia""","399","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Seminar""","2004"
"7657","0.25","99","[""BIO""]","8","""7/999""","","","[""Michael Swift""]","""0/999""","100","[""SC 229""]","18","""Suppl Inst Cell Biol""","110","true","","1","""0/999""","""0/999""","""C""","20041","[""MW 0200-0255PM""]","""Research""","2004"
"7658","1.0","102","[""BIO""]","19","""0/999""","","","[""Alan F. Ernst""]","""0/999""","100","[""SC 280"", ""SC 253""]","22","""Human Biology""","123","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000"", ""W 0300-0500PM""]","""Research""","2004"
"7659","1.0","102","[""BIO""]","23","""0/999""","","","[""Alan F. Ernst""]","""0/999""","100","[""SC 280"", ""SC 253""]","22","""Human Biology""","123","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000"", ""Th 0800-1000""]","""Research""","2004"
"7660","1.0","102","[""BIO""]","20","""0/999""","","","[""Alan F. Ernst""]","""0/999""","100","[""SC 280"", ""SC 253""]","22","""Human Biology""","123","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000"", ""Th 0215-0415PM""]","""Research""","2004"
"7661","1.0","106","[""BIO""]","24","""11/999""","","","[""Eric Cole""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0800-0855"", ""Th 0215-0445PM""]","""Research""","2004"
"7662","1.0","106","[""BIO""]","27","""11/999""","","","[""Eric Cole""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0800-0855"", ""Th 0800-1030""]","""Research""","2004"
"7663","1.0","106","[""BIO""]","23","""9/999""","","","[""John Giannini""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000"", ""T 0800-1030""]","""Research""","2004"
"7664","1.0","106","[""BIO""]","21","""11/999""","","","[""John Giannini""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""D""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000"", ""M 1200-0230PM""]","""Research""","2004"
"7665","1.0","106","[""BIO""]","25","""11/999""","","","[""John Giannini""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""E""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000"", ""M 0300-0530PM""]","""Research""","2004"
"7666","1.0","106","[""BIO""]","23","""11/999""","","","[""Kimberly A. Kandl""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""F""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140"", ""T 0300-0530PM""]","""Research""","2004"
"7667","1.0","106","[""BIO""]","26","""10/999""","","","[""Kimberly A. Kandl""]","""0/999""","100","[""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""G""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140"", ""T 1145-0215PM""]","""Research""","2004"
"7668","1.0","106","[""BIO""]","24","""12/999""","","","[""Nicole R. Hoft""]","""0/999""","100","[""SC 278"", ""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""H""","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050"", ""W 0300-0530PM""]","""Research""","2004"
"7669","1.0","106","[""BIO""]","25","""17/999""","","","[""Nicole R. Hoft""]","""0/999""","100","[""SC 278"", ""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""I""","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050"", ""F 0200-0430PM""]","""Research""","2004"
"7670","1.0","106","[""BIO""]","24","""18/999""","","","[""Nicole R. Hoft""]","""0/999""","100","[""SC 278"", ""SC 278"", ""SC 273""]","24","""Cell Bio & Genetics""","125","false","""J""","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050"", ""W 1150-0220PM""]","""Research""","2004"
"7671","1.0","122","[""BIO""]","21","""0/999""","","","[""Jean C. Porterfield""]","""0/999""","200","[""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140"", ""T 0800-1100""]","""Research""","2004"
"7672","1.0","122","[""BIO""]","19","""0/999""","","","[""Jean C. Porterfield""]","""0/999""","200","[""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140"", ""T 0120-0420PM""]","""Research""","2004"
"7673","1.0","122","[""BIO""]","19","""0/999""","","","[""Robert Rutherford""]","""0/999""","200","[""SC 280"", ""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""C""","1","""0/999""","""0/999""","""O""","20041","[""T 0935-1100"", ""Th 0930-1050"", ""W 1150-0250PM""]","""Research""","2004"
"7674","1.0","122","[""BIO""]","22","""0/999""","","","[""Robert Rutherford""]","""0/999""","200","[""SC 280"", ""SC 280"", ""SC 211""]","22","""Intermediate Genetics""","233","false","""D""","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050"", ""Th 0215-0515PM""]","""Research""","2004"
"7675","1.0","126","[""BIO""]","29","""0/999""","","","[""Louis Henry Kermott""]","""0/999""","200","[""SC 280"", ""SC 253""]","22","""Human Anatomy & Physiol""","243","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0800-0855"", ""M 1255-0355PM""]","""Research""","2004"
