"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"21937","1.0","153","[""BIO""]","1","""0/999""","[""Anne Walter""]","""0/999""","200","","999","""Academic Internship""","294","true","""E""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21938","1.0","154","[""BIO""]","1","""0/999""","[""Kathleen L. Shea""]","""0/999""","200","","999","""IS/Conservation Bio""","298","false","","2","""1/999""","""0/999""","""O""","19972","","""Research""","1997"
"21939","1.0","154","[""BIO""]","1","""0/999""","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Neuroimmunology""","298","false","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21940","1.0","154","[""BIO""]","1","""0/999""","[""Theodore Johnson""]","""0/999""","200","","1","""IS/Alzheimer's Care""","298","false","""B""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21941","1.0","172","[""BIO""]","14","""9/999""","[""Paul Cabe""]","""0/999""","300","[""SC 210"", ""SC 210"", ""SC 210""]","18","""Top: Evolution""","391","false","","2","""4/999""","""0/999""","""O""","19972","[""M-Th 0800-1000"", ""M-Th 1040-1240PM"", ""M-Th 0100-0300PM""]","""Topic""","1997"
"21942","1.0","174","[""BIO""]","1","""0/999""","[""Theodore Johnson""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","19972","","""Research""","1997"
"21943","1.0","174","[""BIO""]","1","""0/999""","[""Lauri Sammartano""]","""0/999""","300","","999","""Academic Internship""","394","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21944","1.0","189","[""CHEM""]","50","""1/999""","[""Robert Hanson""]","""9/999""","100","[""SC 378/310""]","999","""Chemical Structure""","123","false","","2","""3/999""","""41/999""","""O""","19972","[""M-F 0100-0300PM""]","""Research""","1997"
"21945","1.0","1552","[""CHEM""]","18","""7/999""","[""Beth Abdella"", ""Mary Walczak""]","""9/999""","100","[""SC 374"", ""SC 374""]","24","""Environmental Chem""","124","false","","2","""4/999""","""4/999""","""O""","19972","[""TTh 1040-1240PM"", ""MWF 1040-1150""]","""Research""","1997"
"21946","0.0","191","[""CHEM""]","17","""7/999""","[""Staff""]","""8/999""","100","[""SC 374/371""]","24","""Environ Chem/Lab""","124","false","","2","""4/999""","""4/999""","""O""","19972","[""MWF 1230-0330PM""]","""Lab""","1997"
