"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"23098","1.0","11","[""AMST""]","1","""0/999""","[""James Farrell""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23099","1.0","94","[""ASIAN""]","1","""0/999""","[""Pin Pin Wan""]","""0/999""","200","","999","""IS/Chinese Poetry""","298","false","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23100","1.0","102","[""BIO""]","19","""0/999""","[""Staff""]","""0/999""","100","","19","""Human Biology""","123","false","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23101","1.0","153","[""BIO""]","1","""0/999""","[""Paul Cabe""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23102","1.0","154","[""BIO""]","1","""0/999""","[""Eugene Bakko""]","""0/999""","200","","999","""IS/Natural History""","298","false","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23103","1.0","172","[""BIO""]","1","""0/999""","[""Anne Walter""]","""0/999""","300","","999","""Top: Stress Physiology""","391","false","","5","""0/999""","""0/999""","""O""","19975","","""Topic""","1997"
"23104","1.0","194","[""CHEM""]","5","""0/999""","[""Wesley Pearson""]","""0/999""","100","[""SC 378""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","19975","[""M-F 1000-1130""]","""Research""","1997"
"23105","0.0","195","[""CHEM""]","5","""0/999""","[""Wesley Pearson""]","""0/999""","100","[""SC 374""]","999","""Chem Reactions/Lab""","126","false","","5","""0/999""","""0/999""","""O""","19975","[""WTh 1000-1130""]","""Lab""","1997"
"23106","1.0","197","[""CHEM""]","6","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 374""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","19975","[""M-F 1000-1130""]","""Research""","1997"
"23107","0.25","200","[""CHEM""]","6","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","19975","","""Lab""","1997"
"23108","1.0","204","[""CHEM""]","2","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23109","1.0","276","[""ECON""]","1","""0/999""","[""Anthony Becker""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23111","1.0","276","[""ECON""]","3","""0/999""","[""Kathy C. Thomforde""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23112","1.0","276","[""ECON""]","3","""0/999""","[""Edward David Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
"23113","1.0","276","[""ECON""]","3","""0/999""","[""Mary Ann Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","5","""0/999""","""0/999""","""O""","19975","","""Research""","1997"
