"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"9181","1.0","100","[""BIO""]","23","""16/999""","","[""Diane M. Maher""]","""1/999""","100","[""SC 280"", ""SC 280"", ""SC 253""]","24","""Biological Science""","121","false","""C""","3","""3/999""","""5/999""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050"", ""W 1150-0150PM""]","","""Research""","2004"
"9182","1.0","100","[""BIO""]","27","""3/999""","","[""Diane M. Maher""]","""5/999""","100","[""SC 280"", ""SC 280"", ""SC 253""]","24","""Biological Science""","121","false","""D""","3","""0/999""","""17/999""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050"", ""W 0300-0500PM""]","","""Research""","2004"
"9183","1.0","108","[""BIO""]","6","""3/999""","","[""Kathleen L. Shea""]","""0/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""A""","3","""0/999""","""2/10""","""O""","20043","[""MWF 0905-1000"", ""W 1150-0220PM""]","","""Research""","2004"
"9184","1.0","108","[""BIO""]","20","""14/999""","","[""Kathleen L. Shea""]","""0/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""B""","3","""0/999""","""5/10""","""O""","20043","[""MWF 0905-1000"", ""W 0300-0530PM""]","","""Research""","2004"
"9185","1.0","108","[""BIO""]","18","""13/999""","","[""Kathleen L. Shea""]","""3/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""C""","3","""0/999""","""8/10""","""C""","20043","[""MWF 0905-1000"", ""T 0300-0530PM""]","","""Research""","2004"
"9186","1.0","108","[""BIO""]","22","""14/999""","","[""Jason D. Hill""]","""2/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""D""","3","""0/999""","""8/10""","""C""","20043","[""MWF 0800-0855"", ""Th 0800-1030""]","","""Research""","2004"
"9187","1.0","108","[""BIO""]","29","""14/999""","","[""Jason D. Hill""]","""0/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""E""","3","""0/999""","""10/10""","""C""","20043","[""MWF 0800-0855"", ""Th 0215-0445PM""]","","""Research""","2004"
"9188","1.0","108","[""BIO""]","20","""14/999""","","[""Jason D. Hill""]","""0/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""F""","3","""0/999""","""10/10""","""C""","20043","[""MWF 0800-0855"", ""F 0200-0430PM""]","","""Research""","2004"
"9189","1.0","108","[""BIO""]","25","""11/999""","","[""Mary C. Henry""]","""2/10""","100","[""SC 278"", ""SC 273""]","23","""Organismic Biology""","126","false","""G""","3","""0/999""","""10/10""","""C""","20043","[""MWF 1150-1245PM"", ""M 0120-0350PM""]","","""Research""","2004"
"9190","1.0","108","[""BIO""]","20","""12/999""","","[""Mary C. Henry""]","""2/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""H""","3","""0/999""","""5/10""","""O""","20043","[""MWF 1150-1245PM"", ""T 0800-1030""]","","""Research""","2004"
"9191","1.0","108","[""BIO""]","22","""16/999""","","[""Mary C. Henry""]","""0/10""","100","[""SC 278"", ""SC 273""]","24","""Organismic Biology""","126","false","""I""","3","""0/999""","""10/10""","""C""","20043","[""MWF 1150-1245PM"", ""T 1145-0215PM""]","","""Research""","2004"
"9192","1.0","119","[""BIO""]","18","""0/999""","","[""Theodore Johnson""]","""4/999""","200","[""SC 280"", ""SC 263""]","20","""Microbiology""","231","false","""A""","3","""7/999""","""0/999""","""C""","20043","[""MWF 1045-1140"", ""T 1145-0245PM""]","","""Research""","2004"
"9193","1.0","119","[""BIO""]","27","""0/999""","","[""Theodore Johnson""]","""0/999""","200","[""SC 280"", ""SC 263""]","20","""Microbiology""","231","false","""B""","3","""12/999""","""2/999""","""C""","20043","[""MWF 1045-1140"", ""W 0200-0500PM""]","","""Research""","2004"
"9194","1.0","119","[""BIO""]","19","""0/999""","","[""Theodore Johnson""]","""8/999""","200","[""SC 280"", ""SC 263""]","20","""Microbiology""","231","false","""C""","3","""2/999""","""9/999""","""C""","20043","[""MWF 1045-1140"", ""Th 1245-0345PM""]","","""Research""","2004"
"9195","1.0","122","[""BIO""]","17","""0/999""","","[""Kimberly A. Kandl""]","""5/999""","200","[""SC 278"", ""SC 211""]","24","""Intermediate Genetics""","233","false","""A""","3","""1/999""","""8/999""","""O""","20043","[""MWF 1045-1140"", ""M 1255-0355PM""]","","""Research""","2004"
"9196","1.0","122","[""BIO""]","24","""0/999""","","[""Kimberly A. Kandl""]","""13/999""","200","[""SC 278"", ""SC 211""]","24","""Intermediate Genetics""","233","false","""B""","3","""1/999""","""9/999""","""C""","20043","[""MWF 1045-1140"", ""T 0800-1100""]","","""Research""","2004"
"9197","1.0","122","[""BIO""]","21","""0/999""","","[""Kimberly A. Kandl""]","""10/999""","200","[""SC 278"", ""SC 211""]","24","""Intermediate Genetics""","233","false","""C""","3","""1/999""","""12/999""","""O""","20043","[""MWF 1045-1140"", ""T 0120-0420PM""]","","""Research""","2004"
"9198","1.0","124","[""BIO""]","19","""0/999""","","[""Eugene Bakko""]","""11/999""","200","[""SC 278"", ""SC 278"", ""SC 269""]","18","""Vertebrate Biology""","242","false","""A""","3","""7/999""","""0/999""","""C""","20043","[""T 0800-0925"", ""Th 0800-0920"", ""T 0120-0420PM""]","","""Research""","2004"
"9199","1.0","124","[""BIO""]","17","""0/999""","","[""Eugene Bakko""]","""6/999""","200","[""SC 278"", ""SC 278"", ""SC 269""]","18","""Vertebrate Biology""","242","false","""B""","3","""6/999""","""6/999""","""C""","20043","[""T 0800-0925"", ""Th 0800-0920"", ""Th 0120-0420PM""]","","""Research""","2004"
"9200","1.0","134","[""BIO""]","11","""0/999""","","[""John Giannini""]","""3/999""","200","[""SC 274"", ""SC 227""]","12","""Plant Physiology""","251","false","""A""","3","""4/999""","""1/999""","""O""","20043","[""MWF 1045-1140"", ""M 1255-0355PM""]","","""Research""","2004"
"9201","1.0","134","[""BIO""]","12","""0/999""","","[""John Giannini""]","""3/999""","200","[""SC 274"", ""SC 227""]","12","""Plant Physiology""","251","false","""B""","3","""9/999""","""0/999""","""C""","20043","[""MWF 1045-1140"", ""T 0120-0420PM""]","","""Research""","2004"
"9202","1.0","139","[""BIO""]","19","""0/999""","","[""Michael Swift""]","""8/999""","200","[""SC 280"", ""SC 248""]","18","""Ecological Principles""","261","false","""A""","3","""3/999""","""7/999""","""C""","20043","[""MWF 0800-0855"", ""Th 0800-1100""]","","""Research""","2004"
"9203","1.0","139","[""BIO""]","18","""1/999""","","[""Michael Swift""]","""12/999""","200","[""SC 280"", ""SC 248""]","18","""Ecological Principles""","261","false","""B""","3","""3/999""","""2/999""","""C""","20043","[""MWF 0800-0855"", ""W 0100-0400PM""]","","""Research""","2004"
"9204","1.0","139","[""BIO""]","20","""0/999""","","[""Michael Swift""]","""9/999""","200","[""SC 280"", ""SC 248""]","18","""Ecological Principles""","261","false","""C""","3","""9/999""","""0/999""","""C""","20043","[""MWF 0800-0855"", ""Th 0215-0515PM""]","","""Research""","2004"
"9205","0.25","152","[""BIO""]","0","""0/999""","","[""Anne Walter""]","""0/999""","200","","10","""Top: Bio in India""","291","false","""A""","3","""0/999""","""0/999""","""C""","20043","","","""Topic""","2004"
"9206","0.25","152","[""BIO""]","12","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","12","""Top: Peruvian Medicine""","291","false","""B""","3","""0/999""","""0/999""","""C""","20043","","","""Topic""","2004"
"9207","1.0","153","[""BIO""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9208","1.0","154","[""BIO""]","1","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Cancer/Immune Syst""","298","false","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9209","1.0","154","[""BIO""]","0","""0/999""","","[""Eugene Bakko""]","""0/999""","200","","999","""IS/Existential/Faith""","298","false","""A""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9210","1.0","154","[""BIO""]","1","""0/999""","","[""Diane K. Angell""]","""0/999""","200","","999","""IS/Environmental Educ""","298","false","""B""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9211","1.0","154","[""BIO""]","1","""0/999""","","[""Eric Cole""]","""0/999""","200","","999","""IS/Plant Development""","298","false","""C""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9212","1.0","159","[""BIO""]","8","""0/999""","","[""Robert Rutherford""]","""1/999""","300","[""SC 274"", ""SC 274"", ""SC 211""]","12","""Molecular Biology""","364","false","""A""","3","""5/999""","""0/999""","""O""","20043","[""T 0935-1100"", ""Th 0930-1050"", ""W 1255-0355PM""]","","""Research""","2004"
"9213","1.0","159","[""BIO""]","8","""0/999""","","[""Robert Rutherford""]","""3/999""","300","[""SC 274"", ""SC 274"", ""SC 211""]","12","""Molecular Biology""","364","false","""B""","3","""8/999""","""1/999""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050"", ""Th 0120-0420PM""]","","""Research""","2004"
"9214","1.0","164","[""BIO""]","6","""0/999""","","[""Eric Cole""]","""3/999""","300","[""SC 274"", ""SC 229""]","15","""Developmental Biology""","372","false","","3","""4/999""","""0/999""","""O""","20043","[""MWF 0905-1000"", ""T 0120-0420PM""]","","""Research""","2004"
"9215","1.0","171","[""BIO""]","14","""0/999""","","[""James Dickson Jr."", ""Louis Henry Kermott""]","""5/999""","300","[""SC 278"", ""SC 278"", ""SC 253""]","18","""Animal Behavior""","386","false","","3","""11/999""","""1/999""","""O""","20043","[""T 0935-1100"", ""Th 0930-1050"", ""T 0120-0420PM""]","","""Research""","2004"
"9216","1.0","174","[""BIO""]","0","""0/999""","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9217","1.0","175","[""BIO""]","3","""0/999""","","[""Eugene Bakko""]","""0/999""","300","","999","""IR/Wildlife Research""","398","false","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9218","1.0","175","[""BIO""]","1","""0/999""","","[""Jean C. Porterfield""]","""0/999""","300","","999","""IR/Fish Introgression""","398","false","""A""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9219","1.0","175","[""BIO""]","1","""0/999""","","[""Robert Rutherford""]","""0/999""","300","","999","""IR/Genetic Ed Res""","398","false","""B""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9220","1.0","175","[""BIO""]","1","""0/999""","","[""Louis Henry Kermott""]","""0/999""","300","","999","""IR/Wren Ethology""","398","false","""C""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9221","1.0","175","[""BIO""]","1","""0/999""","","[""Eric Cole""]","""0/999""","300","","999","""IR/Tetrahymena""","398","false","""D""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9222","1.0","177","[""AMCON""]","23","""0/999""","","[""Mary Titus""]","""0/999""","100","[""RML 515""]","24","""Dem Vistas: 1800-1900""","102","false","""A""","3","""0/999""","""0/999""","""C""","20043","[""MWF 0200-0255PM""]","","""Research""","2004"
"9223","1.0","177","[""AMCON""]","23","""0/999""","","[""Eric J. Fure-Slocum""]","""0/999""","100","[""RML 577""]","24","""Dem Vistas: 1800-1900""","102","false","""B""","3","""0/999""","""0/999""","""C""","20043","[""MWF 0200-0255PM""]","","""Research""","2004"
"9224","1.0","179","[""AMCON""]","10","""0/999""","","[""Matthew Rohn""]","""0/999""","200","[""DC 204""]","24","""Pur/Happiness: 1920-00""","202","false","""A""","3","""0/999""","""0/999""","""C""","20043","[""MWF 1255-0150PM""]","","""Research""","2004"
"9225","1.0","179","[""AMCON""]","12","""0/999""","","[""William A. Gorton""]","""0/999""","200","[""DC 204""]","24","""Pur/Happiness: 1920-00""","202","false","""B""","3","""0/999""","""0/999""","""C""","20043","[""MWF 1255-0150PM""]","","""Research""","2004"
"9226","1.0","180","[""CHEM""]","61","""19/999""","","[""Douglas J. Beussman""]","""8/999""","100","[""SC 282""]","60","""Forensic Science""","106","false","","3","""20/999""","""14/999""","""C""","20043","[""MWF 1045-1140""]","","""Research""","2004"
"9227","1.0","181","[""CHEM""]","27","""3/999""","","[""Douglas J. Beussman""]","""7/999""","100","[""SC 282"", ""SC 371""]","27","""Forensic Sci With Lab""","107","false","","3","""5/999""","""12/999""","""C""","20043","[""MWF 1045-1140"", ""M 0200-0500PM""]","","""Lab""","2004"
"9228","1.0","182","[""CHEM""]","25","""3/999""","","[""Gregory W. Muth""]","""0/999""","100","[""SC 378"", ""SC 378"", ""SC 371""]","26","""Chemistry & the World""","111","false","","3","""1/999""","""2/999""","""C""","20043","[""T 0935-1100"", ""Th 0930-1050"", ""W 0200-0500PM""]","","""Research""","2004"
"9229","1.0","194","[""CHEM""]","49","""30/999""","","[""Patrick N. Riley""]","""6/999""","100","[""SC 378""]","60","""Chemical Reactions""","126","false","""A""","3","""2/999""","""21/999""","""C""","20043","[""MWF 0800-0855""]","","""Research""","2004"
"9230","0.0","195","[""CHEM""]","0","""14/999""","","[""Patrick N. Riley""]","""2/999""","100","[""SC 374/363""]","28","""Chem Reactions/Lab""","126","false","""A""","3","""0/999""","""13/999""","""C""","20043","[""M 0200-0500PM""]","","""Lab""","2004"
"9231","1.0","194","[""CHEM""]","52","""51/999""","","[""Robert Hanson""]","""2/999""","100","[""SC 378""]","60","""Chemical Reactions""","126","false","""B""","3","""0/999""","""5/999""","""C""","20043","[""MWF 0905-1000""]","","""Research""","2004"
"9232","0.0","195","[""CHEM""]","0","""20/999""","","[""Beth Abdella""]","""4/999""","100","[""SC 374/363""]","28","""Chem Reactions/Lab""","126","false","""B""","3","""0/999""","""5/999""","""C""","20043","[""T 0800-1100""]","","""Lab""","2004"
"9233","1.0","194","[""CHEM""]","53","""47/999""","","[""Anthony T. Watson""]","""5/999""","100","[""SC 378""]","55","""Chemical Reactions""","126","false","""C""","3","""1/999""","""4/999""","""C""","20043","[""MWF 1045-1140""]","","""Research""","2004"
"9234","0.0","195","[""CHEM""]","0","""21/999""","","[""Anthony T. Watson""]","""3/999""","100","[""SC 374/363""]","28","""Chem Reactions/Lab""","126","false","""C""","3","""1/999""","""5/999""","""C""","20043","[""T 1145-0245PM""]","","""Lab""","2004"
