"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"24232","1.0","13","[""AMST""]","20","""0/999""","","[""James Farrell""]","""7/999""","300","[""H 514""]","20","""Sem: Disney's America""","301","false","","3","""11/999""","""2/999""","""C""","19983","[""MWF 0905-1000""]","""Seminar""","1998"
"24233","1.0","16","[""AFAM""]","50","""0/999""","","[""Joseph L. Mbele""]","""11/999""","200","[""SC 170""]","35","""Africa & the Americas""","231","false","","3","""4/999""","""20/999""","""C""","19983","[""TTh 0935-1100""]","""Seminar""","1998"
"24236","0.5","20","[""ART""]","22","""9/999""","","[""Jan Shoger""]","""2/2""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","3","""4/3""","""7/8""","""C""","19983","[""MWF 0905-1000""]","""Research""","1998"
"24237","0.5","21","[""ART""]","28","""9/999""","","[""Wendell Arneson""]","""3/3""","100","[""FH AB""]","22","""Found Color Design""","113","false","""A""","3","""3/3""","""4/8""","""C""","19983","[""MWF 0905-1000""]","""Research""","1998"
"24238","0.5","21","[""ART""]","27","""10/999""","","[""Wendell Arneson""]","""3/3""","100","[""FH AB""]","22","""Found Color Design""","113","false","""B""","3","""3/3""","""6/8""","""C""","19983","[""MWF 1045-1140""]","""Research""","1998"
"24239","0.5","22","[""ART""]","15","""5/6""","","[""John Saurer""]","""3/5""","100","[""FH 18""]","17","""Foundation Sculpture""","114","false","""A""","3","""1/3""","""7/7""","""O""","19983","[""TTh 0800-0925""]","""Research""","1998"
"24240","0.5","22","[""ART""]","16","""6/999""","","[""John Saurer""]","""3/5""","100","[""FH 18""]","17","""Foundation Sculpture""","114","false","""B""","3","""1/3""","""4/7""","""O""","19983","[""TTh 0300-0430PM""]","""Research""","1998"
"24241","0.5","23","[""ART""]","21","""5/5""","","[""Margaret Ojala""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","3","""5/5""","""5/5""","""C""","19983","[""TTh 0800-0925""]","""Research""","1998"
"24242","0.5","23","[""ART""]","24","""4/999""","","[""Margaret Ojala""]","""4/4""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","3","""6/5""","""6/5""","""C""","19983","[""TTh 0935-1100""]","""Research""","1998"
"24243","0.5","26","[""ART""]","16","""6/6""","","[""Ron Gallas""]","""2/2""","100","[""FH 19""]","17","""Found Ceramics: Wheel""","119","false","","3","""4/3""","""5/5""","""O""","19983","[""TTh 0935-1100""]","""Research""","1998"
"24244","1.0","32","[""ART""]","59","""0/999""","","[""Perette Michelli""]","""12/999""","100","[""FH 01""]","50","""Renaissance--Present""","151","false","","3","""13/999""","""25/999""","""C""","19983","[""MWF 0200-0255PM""]","""Research""","1998"
"24245","1.0","34","[""ART""]","30","""0/999""","","[""Wendell Arneson""]","""10/999""","200","[""FH AB""]","22","""Watercolor Painting""","232","false","","3","""6/999""","""6/999""","""C""","19983","[""MWF 1255-0255PM""]","""Research""","1998"
"24246","1.0","36","[""ART""]","14","""0/999""","","[""Irve Dell""]","""5/999""","200","[""FH 18""]","10","""Sculpt: Direct Metal""","234","false","","3","""2/999""","""3/999""","""C""","19983","[""TTh 1145-0245PM""]","""Research""","1998"
"24247","1.0","39","[""ART""]","16","""0/999""","","[""Jan Shoger""]","""7/999""","200","[""FH 44""]","15","""Printmkg: Intaglio/Mono""","237","false","","3","""5/999""","""3/999""","""C""","19983","[""MWF 1045-1245PM""]","""Research""","1998"
"24248","1.0","42","[""ART""]","12","""0/999""","","[""Staff""]","""10/999""","200","[""FH 21""]","13","""Motion Graphics""","240","false","","3","""3/999""","""0/999""","""C""","19983","[""MW 0700-1000PM""]","""Research""","1998"
"24249","1.0","43","[""ART""]","15","""0/999""","","[""John Saurer""]","""12/999""","200","[""FH 40""]","15","""Figure Drawing""","242","false","","3","""3/999""","""0/999""","""C""","19983","[""MWF 0800-1000""]","""Research""","1998"
"24250","1.0","45","[""ART""]","12","""1/999""","","[""Ron Gallas""]","""1/999""","200","[""FH 19""]","12","""Ceramics""","244","false","","3","""3/999""","""4/999""","""C""","19983","[""TTh 1145-0245PM""]","""Research""","1998"
"24251","1.0","52","[""ART""]","37","""0/999""","","[""Matthew Rohn""]","""13/999""","200","[""FH 01""]","50","""Art Since 1945""","253","false","","3","""9/999""","""28/999""","""C""","19983","[""MWF 1045-1140""]","""Research""","1998"
"24252","1.0","60","[""ART""]","21","""7/999""","","[""Perette Michelli""]","""7/999""","200","[""FH 01""]","40","""Romanesque--Gothic""","263","false","","3","""3/999""","""9/999""","""O""","19983","[""TTh 1145-0110PM""]","""Research""","1998"
"24254","1.0","66","[""ART""]","3","""0/999""","","[""Matthew Rohn""]","""3/999""","200","[""FH SEM""]","10","""Topics in Art History""","275","false","","3","""1/999""","""0/999""","""O""","19983","[""TTh 0120-0245PM""]","""Topic""","1998"
"24255","1.0","69","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""3/999""","200","","999","""IS/Color and Portrait""","298","false","","3","""1/999""","""0/999""","""O""","19983","","""Research""","1998"
"24256","1.0","69","[""ART""]","1","""0/999""","","[""Thomas Jacobsen""]","""0/999""","200","","999","""IS/Computer Animation""","298","false","""A""","3","""0/999""","""0/999""","""O""","19983","","""Research""","1998"
"24257","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Salt Fired Ceramic""","298","false","""B""","3","""0/999""","""0/999""","""O""","19983","","""Research""","1998"
