"clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year"
"8704","1.0","11","['AMST']","","['James Farrell']","200","","Academic Internship","294","True","False","","2","O","20042","","Research","2004"
"8705","1.0","11","['AMST']","","['William A. Gorton']","200","","Academic Internship","294","True","False","A","2","O","20042","","Research","2004"
"8706","1.0","28","['ART']","","['Irve Dell']","100","['DC 106', 'DC 106', 'DC 106']","Foundation Sculpture","122","False","False","","2","C","20042","['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research","2004"
"8707","1.0","44","['ART']","","['Wendell Arneson']","200","['DC 216', 'DC 216', 'DC 216']","Advanced Drawing","233","False","False","","2","O","20042","['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research","2004"
"8708","1.0","48","['ART']","","['Ron Gallas']","200","","Manhattan Art Interim","246","False","False","","2","C","20042","","Research","2004"
"8709","1.0","52","['ART']","","['Matthew Rohn']","200","['DC 305']","Art Since 1950","253","False","False","","2","C","20042","['M-F 0100-0300PM']","Research","2004"
"8710","1.0","65","['ART']","","['Nancy M. Thompson']","200","['DC 305']","Gothic Art","271","False","False","","2","O","20042","['M-F 1040-1240PM']","Research","2004"
"8711","1.0","68","['ART']","","['Staff']","200","","Academic Internship","294","True","False","","2","O","20042","","Research","2004"
"8712","1.0","69","['ART']","","['Wendell Arneson']","200","","IS/Adv Painting","298","False","False","","2","O","20042","","Research","2004"
"8713","1.0","69","['ART']","","['Wendell Arneson']","200","","IS/Oil/Acrylic","298","False","False","A","2","O","20042","","Research","2004"
"8714","1.0","69","['ART']","","['Irve Dell']","200","","IS/Bronze & Wood Sculpt","298","False","False","B","2","O","20042","","Research","2004"
"8715","1.0","69","['ART']","","['John Saurer']","200","","IS/Alt Firing Methods","298","False","False","C","2","O","20042","","Research","2004"
"8716","1.0","69","['ART']","","['Heather M. Brooks-Shirey']","200","","IS/Art/Culture Brazil","298","False","False","D","2","O","20042","","Research","2004"
"8717","1.0","69","['ART']","","['Wendell Arneson']","200","","IS/Mixed Media Draw","298","False","False","E","2","O","20042","","Research","2004"
"8718","1.0","69","['ART']","","['Wendell Arneson']","200","","IS/Jpn/Us Media Study","298","False","False","F","2","O","20042","","Research","2004"
"8719","1.0","69","['ART']","","['John Saurer']","200","","IS/Chicago Art Educ","298","False","False","G","2","O","20042","","Research","2004"
"8720","1.0","73","['ART']","","['Staff']","300","","Academic Internship","394","True","False","","2","O","20042","","Research","2004"
"8721","1.0","75","['ART']","","['Wendell Arneson']","300","","IR/Advanced Painting","398","False","False","","2","O","20042","","Research","2004"
"8722","1.0","79","['ASIAN']","","['Phyllis Hyland Larson']","100","['HH 501', 'HH 501']","Intro Japanese Film","124","False","False","","2","C","20042","['M-Th 1040-1240PM', 'M-Th 0100-0300PM']","Research","2004"
"8723","1.0","85","['ASIAN']","","['Rika Ito']","200","","Nat ID/China & Japan","212","False","False","","2","C","20042","","Research","2004"
