"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"26980","1.0","102","[""BIO""]","20","""0/999""","[""Staff""]","""0/999""","100","","20","""Human Biology""","123","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26981","1.0","153","[""BIO""]","2","""0/999""","[""Eugene Bakko""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26983","1.0","153","[""BIO""]","1","""0/999""","[""Louis Henry Kermott""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26984","1.0","153","[""BIO""]","2","""0/999""","[""Kathleen L. Shea""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26985","1.0","197","[""CHEM""]","28","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 0800-0930""]","""Research""","1999"
"26986","0.25","200","[""CHEM""]","25","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","19995","[""MT 0100-0400PM""]","""Lab""","1999"
"26987","1.0","204","[""CHEM""]","1","""0/999""","[""Staff""]","""0/999""","200","","1","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26988","1.0","256","[""ECON""]","9","""0/999""","[""Steve Soderlind""]","""0/999""","100","","999","""Capitalism: Struggles""","113","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26989","1.0","276","[""ECON""]","2","""0/999""","[""Steve Soderlind""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26991","1.0","276","[""ECON""]","1","""0/999""","[""Bruce Dalgaard""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26992","1.0","276","[""ECON""]","1","""0/999""","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26993","1.0","283","[""ECON""]","1","""0/999""","[""Steve Soderlind""]","""0/999""","300","","999","""Senior Project""","389","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26994","1.0","314","[""EDUC""]","1","""0/999""","[""Mark Schelske""]","""0/999""","200","","999","""IS/School Counseling""","298","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26995","1.0","407","[""ENGL""]","16","""0/999""","[""Melanie Richards""]","""0/999""","200","[""L 520""]","999","""50's Beat Generation""","238","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 1230-0200PM""]","""Topic""","1999"
"26996","1.0","442","[""ENGL""]","1","""0/999""","[""Olivia Frey""]","""0/999""","300","","999","""Adv Creative Nonfict""","373","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26997","1.0","451","[""ENGL""]","1","""0/999""","[""Richard DuRocher""]","""0/999""","300","","999","""IR/Milton & Theology""","398","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26998","1.0","451","[""ENGL""]","1","""0/999""","[""Melanie Richards""]","""0/999""","300","","999","""IR/Beat Lit/Fem Role""","398","false","""A""","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"26999","1.0","505","[""GERM""]","3","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German II""","112","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27000","1.0","509","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","200","","999","""Intermed German II""","232","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27001","1.0","529","[""GERM""]","1","""0/999""","[""Lavern Rippley""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27002","1.0","640","[""HIST""]","1","""0/999""","[""Dolores Peters""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27003","1.0","751","[""MATH""]","1","""0/999""","[""Judith Cederberg""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27004","1.0","784","[""MGMT""]","2","""0/999""","[""Kathy C. Thomforde""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27005","0.25","800","[""MUSIC""]","4","""0/999""","[""Charles Forsberg""]","""0/999""","100","[""CHM 224""]","999","""Ear/Keyboard II""","112","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 0800-0930""]","""Research""","1999"
"27006","0.75","802","[""MUSIC""]","5","""0/999""","[""Charles Forsberg""]","""0/999""","100","[""CHM 224""]","999","""Theory II""","114","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 1000-1130""]","""Research""","1999"
"27007","1.0","803","[""MUSIC""]","4","""0/999""","[""Charles Forsberg""]","""0/999""","100","[""CHM 224""]","999","""The Music Spectrum""","130","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 1230-0200PM""]","""Research""","1999"
"27008","0.5","820","[""MUSIC""]","1","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Instrumentation""","221","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27009","1.0","822","[""MUSIC""]","2","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Composition I""","223","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27010","1.0","922","[""NORW""]","2","""0/999""","[""Nancy Aarsvold""]","""0/999""","100","[""L 421""]","999","""Begin Norwegian II""","112","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 1230-0200PM""]","""Research""","1999"
"27011","1.0","926","[""NORW""]","3","""0/999""","[""Nancy Aarsvold""]","""0/999""","200","[""L 421""]","999","""Intermed Norwegian I""","231","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 1000-1130""]","""Research""","1999"
"27013","1.0","986","[""PHIL""]","1","""0/999""","[""Charles Taliaferro""]","""0/999""","200","","999","""IS/The Enlightenment""","298","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27014","1.0","993","[""PHIL""]","1","""0/999""","[""Gordon D. Marino""]","""0/999""","300","","999","""IR/Christian-Existent""","398","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27015","0.25","2185","[""PEAC""]","10","""0/999""","[""William Sean Goldsworthy""]","""0/999""","100","","999","""Individual Fitness""","132","false","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27016","1.0","1100","[""PHYS""]","1","""0/999""","[""Robert Jacobel""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27017","1.0","1139","[""PSCI""]","2","""0/999""","[""Daniel Hofrenning""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27018","1.0","1154","[""PSYCH""]","1","""0/999""","[""Staff""]","""0/999""","100","","999","""Principles: Psych""","121","false","","5","""0/999""","""0/999""","""C""","19995","","""Research""","1999"
"27019","1.0","1178","[""PSYCH""]","1","""0/999""","[""Mary Ellen Ross""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27020","1.0","1178","[""PSYCH""]","1","""0/999""","[""McMillan Donna K.""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","19995","","""Research""","1999"
"27021","1.0","1194","[""REL""]","8","""0/999""","[""Mark A. Granquist""]","""0/999""","200","[""L 577""]","999","""The Greats""","203","false","","5","""0/999""","""0/999""","""O""","19995","[""M-F 1000-1130""]","""Research""","1999"
