"clbid","credits","crsid","departments","enrolled","firsties","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"18910","1.0","4","[""AMST""]","27","""4/999""","","","[""James Farrell""]","""9/999""","100","[""CH 110""]","25","""Perspec Amer Culture""","100","false","","1","""5/999""","""8/999""","""C""","19961","[""MWF 1255-0150PM""]","""Research""","1996"
"18911","1.0","15","[""AMST""]","1","""0/999""","","","[""James Farrell""]","""0/999""","300","","999","""IR/Wendell Berry""","398","false","","1","""0/999""","""0/999""","""O""","19961","","""Research""","1996"
"18912","1.0","18","[""ART""]","19","""12/15""","","","[""Mary Griep""]","""0/6""","100","[""FH 42""]","22","""Foundation Drawing""","110","false","","1","""1/3""","""4/13""","""O""","19961","[""MWF 1045-1245PM""]","""Research""","1996"
"18913","0.5","19","[""ART""]","21","""9/10""","","","[""Mary Griep""]","""4/4""","100","[""FH AB""]","22","""Found Perceptual Draw""","111","false","""A""","1","""3/3""","""5/7""","""O""","19961","[""MWF 0905-1000""]","""Research""","1996"
"18914","0.5","19","[""ART""]","19","""13/14""","","","[""John Saurer""]","""2/6""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""B""","1","""1/3""","""5/11""","""O""","19961","[""TTh 0120-0245PM""]","""Research""","1996"
"18915","0.5","20","[""ART""]","19","""9/15""","","","[""Jan Shoger""]","""4/6""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","1","""0/2""","""3/11""","""O""","19961","[""MWF 0200-0255PM""]","""Research""","1996"
"18916","0.5","21","[""ART""]","22","""5/6""","","","[""Wendell Arneson""]","""3/5""","100","[""FH AB""]","22","""Found Color Design""","113","false","""A""","1","""4/4""","""9/9""","""C""","19961","[""MWF 1045-1140""]","""Research""","1996"
"18917","0.5","21","[""ART""]","22","""6/9""","","","[""Wendell Arneson""]","""2/5""","100","[""FH AB""]","22","""Found Color Design""","113","false","""B""","1","""4/4""","""7/10""","""C""","19961","[""MWF 1150-1245PM""]","""Research""","1996"
"18918","0.5","22","[""ART""]","14","""7/7""","","","[""John Saurer""]","""3/5""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""A""","1","""1/3""","""4/7""","""O""","19961","[""TTh 0800-0925""]","""Research""","1996"
"18919","0.5","22","[""ART""]","13","""8/5""","","","[""Irve Dell""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""B""","1","""3/3""","""4/5""","""O""","19961","[""TTh 0305-0400PM""]","""Research""","1996"
"18920","0.5","23","[""ART""]","15","""4/4""","","","[""Margaret Ojala""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","1","""4/4""","""7/7""","""O""","19961","[""TTh 0800-0925""]","""Research""","1996"
"18921","0.5","23","[""ART""]","15","""3/4""","","","[""Margaret Ojala""]","""4/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","1","""4/4""","""8/8""","""O""","19961","[""TTh 0935-1100""]","""Research""","1996"
"18922","0.5","24","[""ART""]","15","""3/10""","","","[""Ron Gallas""]","""5/6""","100","[""FH 19""]","20","""Found Ceramics: Hand""","116","false","","1","""3/4""","""2/7""","""O""","19961","[""TTh 0935-1100""]","""Research""","1996"
"18923","0.5","26","[""ART""]","12","""3/3""","","","[""Ron Gallas""]","""4/4""","100","[""FH 19""]","16","""Found Ceramics: Throw""","119","false","""A""","1","""3/3""","""7/6""","""O""","19961","[""TTh 0300-0430PM""]","""Research""","1996"
"18924","0.5","26","[""ART""]","10","""6/999""","","","[""Ron Gallas""]","""0/999""","100","[""FH 19""]","7","""Found Ceramics: Throw""","119","false","""B""","1","""0/999""","""0/999""","""C""","19961","[""TTh 0120-0245PM""]","""Research""","1996"
"18925","1.0","27","[""ART""]","10","""9/15""","","","[""Jan Shoger""]","""0/999""","100","[""FH 42""]","15","""Honors Found Drawing""","120","false","","1","""0/999""","""0/999""","""O""","19961","[""MWF 0800-1000""]","""Research""","1996"
"18926","1.0","31","[""ART""]","33","""5/30""","","","[""Perette Michelli""]","""8/17""","100","[""FH 01""]","60","""Ancient--Medieval""","150","false","","1","""8/10""","""17/24""","""O""","19961","[""MWF 0200-0255PM""]","""Research""","1996"
"18927","1.0","33","[""ART""]","21","""0/999""","","","[""Wendell Arneson""]","""6/9""","200","[""FH 40""]","20","""Oil/Acrylic Paintng""","231","false","","1","""7/8""","""6/7""","""C""","19961","[""MWF 1255-0255PM""]","""Research""","1996"
"18928","1.0","35","[""ART""]","10","""0/999""","","","[""Irve Dell""]","""2/6""","200","[""FH 18""]","10","""Sculpt: Metal Casting""","233","false","","1","""4/6""","""2/999""","""C""","19961","[""TTh 1145-0245PM""]","""Research""","1996"
"18929","1.0","37","[""ART""]","7","""0/999""","","","[""Steven Edwins""]","""3/10""","200","[""FH AB""]","20","""Arch Drawing/Design I""","235","false","","1","""4/6""","""0/13""","""O""","19961","[""MWF 1255-0255PM""]","""Research""","1996"
"18930","1.0","38","[""ART""]","15","""0/999""","","","[""Jan Shoger""]","""5/6""","200","[""FH 44""]","15","""Printmkg: Relief/Litho""","236","false","","1","""6/6""","""3/4""","""C""","19961","[""MWF 1045-1245PM""]","""Research""","1996"
"18931","1.0","45","[""ART""]","5","""1/999""","","","[""Ron Gallas""]","""2/12""","200","[""FH 19""]","15","""Ceramics""","244","false","","1","""0/6""","""2/13""","""O""","19961","[""TTh 1145-0245PM""]","""Research""","1996"
"18933","1.0","46","[""ART""]","9","""2/999""","","","[""Margaret Ojala""]","""4/8""","200","[""FH 2""]","12","""Photography""","248","false","","1","""1/4""","""2/7""","""O""","19961","[""TTh 1145-0245PM""]","""Research""","1996"
"18934","1.0","51","[""ART""]","18","""1/999""","","","[""Matthew Rohn""]","""2/21""","200","[""FH 01""]","50","""High Modernism""","252","false","","1","""9/10""","""3/39""","""O""","19961","[""MWF 1045-1140""]","""Research""","1996"
"18935","1.0","53","[""ART""]","21","""1/999""","","","[""Perette Michelli""]","""5/26""","200","[""FH 01""]","40","""Italian Renaissance""","254","false","","1","""4/10""","""7/31""","""O""","19961","[""MWF 0905-1000""]","""Research""","1996"
"18937","1.0","57","[""ART""]","15","""2/999""","","","[""A. Malcolm Gimse""]","""5/999""","200","[""FH 01""]","50","""Art of China/Japan""","259","false","","1","""5/999""","""2/999""","""O""","19961","[""MWF 1255-0150PM""]","""Research""","1996"
"18938","1.0","59","[""ART""]","23","""1/999""","","","[""A. Malcolm Gimse""]","""2/15""","200","[""FH 01""]","50","""Hist of Architecture""","261","false","","1","""10/10""","""1/33""","""O""","19961","[""TTh 0120-0245PM""]","""Research""","1996"
"18939","1.0","64","[""ART""]","9","""0/999""","","","[""Matthew Rohn""]","""5/9""","200","[""FH SEM""]","14","""Issues Art Criticism""","270","false","","1","""5/8""","""0/999""","""O""","19961","[""TTh 0120-0245PM""]","""Research""","1996"
"18940","1.0","69","[""ART""]","1","""0/999""","","","[""Irve Dell""]","""0/999""","200","","999","""IS/Functnl Sculpture""","298","false","","1","""0/999""","""0/999""","""O""","19961","","""Research""","1996"
"18941","1.0","69","[""ART""]","1","""0/999""","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramics""","298","false","""A""","1","""0/999""","""0/999""","""O""","19961","","""Research""","1996"
"18942","1.0","1512","[""ART""]","6","""0/999""","","","[""Mary Griep""]","""2/8""","300","[""FH 40""]","12","""Painting II""","331","false","","1","""4/8""","""0/999""","""O""","19961","[""MWF 1255-0255PM""]","""Research""","1996"
"18944","1.0","75","[""ART""]","1","""0/999""","","","[""Mary Griep""]","""0/999""","300","","999","""IR/Adv Oil Painting""","398","false","","1","""0/999""","""0/999""","""O""","19961","","""Research""","1996"
