"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"15730","1.0","1491","[""AMST""]","18","""0/999""","","[""Staff""]","""3/999""","200","[""H 515""]","20","""Topics: American Media""","202","false","","3","""10/999""","""7/999""","""C""","19943","[""MWF 1255-0150PM""]","""Topic""","1994"
"15731","1.0","1495","[""AMST""]","6","""0/999""","","[""Staff""]","""2/999""","300","[""YH 130""]","20","""Sem: Envrmt'l Politics""","399","false","","3","""4/999""","""0/999""","""O""","19943","[""TTh 0935-1100""]","""Seminar""","1994"
"15732","0.5","19","[""ART""]","16","""1/11""","","[""Staff""]","""5/5""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""A""","3","""1/1""","""5/8""","""O""","19943","[""TTh 0800-0925""]","""Research""","1994"
"15733","0.5","19","[""ART""]","19","""10/12""","","[""Staff""]","""2/5""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""B""","3","""1/1""","""7/11""","""C""","19943","[""TTh 0935-1100""]","""Research""","1994"
"15734","0.5","20","[""ART""]","15","""0/13""","","[""Staff""]","""3/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","""A""","3","""1/1""","""5/8""","""O""","19943","[""MWF 0800-0855""]","""Research""","1994"
"15735","0.5","20","[""ART""]","18","""10/14""","","[""Staff""]","""3/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","""B""","3","""1/1""","""4/8""","""C""","19943","[""MWF 0905-1000""]","""Research""","1994"
"15736","0.5","21","[""ART""]","11","""4/16""","","[""Staff""]","""1/4""","100","[""FHAB""]","22","""Found Color Design""","113","false","""A""","3","""2/2""","""3/10""","""O""","19943","[""MWF 0905-1000""]","""Research""","1994"
"15737","0.5","21","[""ART""]","24","""7/9""","","[""Staff""]","""3/4""","100","[""FHAB""]","22","""Found Color Design""","113","false","""B""","3","""2/2""","""8/8""","""C""","19943","[""MWF 1045-1140""]","""Research""","1994"
"15738","0.5","22","[""ART""]","12","""5/5""","","[""Staff""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""A""","3","""2/2""","""5/5""","""C""","19943","[""TTh 0800-0925""]","""Research""","1994"
"15739","0.5","22","[""ART""]","14","""5/5""","","[""Staff""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""B""","3","""2/2""","""5/5""","""C""","19943","[""TTh 0935-1100""]","""Research""","1994"
"15740","0.5","23","[""ART""]","15","""5/5""","","[""Staff""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","3","""3/3""","""7/7""","""C""","19943","[""TTh 0800-0925""]","""Research""","1994"
"15741","0.5","23","[""ART""]","15","""5/5""","","[""Staff""]","""4/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","3","""3/3""","""8/8""","""C""","19943","[""TTh 0935-1100""]","""Research""","1994"
"15742","0.5","24","[""ART""]","13","""7/7""","","[""Staff""]","""3/3""","100","[""FH 19""]","18","""Found Ceramics: Hand""","116","false","""A""","3","""2/2""","""6/6""","""C""","19943","[""TTh 0935-1100""]","""Research""","1994"
"15743","0.5","24","[""ART""]","16","""7/7""","","[""Staff""]","""3/3""","100","[""FH 19""]","18","""Found Ceramics: Hand""","116","false","""B""","3","""2/2""","""6/6""","""C""","19943","[""TTh 1145-0110PM""]","""Research""","1994"
"15744","1.0","34","[""ART""]","24","""0/999""","","[""Staff""]","""14/999""","200","[""FH 40""]","20","""Watercolor Painting""","232","false","","3","""6/999""","""0/999""","""C""","19943","[""MWF 1255-0255PM""]","""Research""","1994"
"15745","1.0","36","[""ART""]","10","""0/999""","","[""Staff""]","""3/999""","200","[""FH 18""]","8","""Sculpt: Direct Metal""","234","false","","3","""2/999""","""3/999""","""C""","19943","[""TTh 1145-0245PM""]","""Research""","1994"
"15746","1.0","39","[""ART""]","14","""0/999""","","[""Staff""]","""4/999""","200","[""FH 44""]","15","""Printmkg Intaglio/Mono""","237","false","","3","""2/999""","""4/999""","""O""","19943","[""MWF 1045-1245PM""]","""Research""","1994"
"15747","1.0","42","[""ART""]","13","""3/999""","","[""Staff""]","""2/999""","200","[""FH 21""]","13","""Motion Graphics I""","240","false","","3","""5/999""","""3/999""","""C""","19943","[""TTh 1145-0245PM""]","""Research""","1994"
"15748","1.0","51","[""ART""]","32","""0/999""","","[""Staff""]","""13/999""","200","[""FH 01""]","30","""The 19th Century""","252","false","","3","""4/999""","""13/999""","""C""","19943","[""TTh 0935-1100""]","""Research""","1994"
"15749","1.0","1503","[""ART""]","52","""11/999""","","[""Staff""]","""11/999""","200","[""FH 01""]","60","""The 20th Century""","253","false","","3","""12/999""","""13/999""","""O""","19943","[""MWF 1045-1140""]","""Research""","1994"
"15750","1.0","1507","[""ART""]","25","""5/999""","","[""Staff""]","""4/999""","200","[""FH 01""]","30","""Baroque and Rococo""","258","false","","3","""10/999""","""9/999""","""O""","19943","[""TTh 1145-0110PM""]","""Research""","1994"
"15751","1.0","57","[""ART""]","31","""4/999""","","[""Staff""]","""5/999""","200","[""FH 01""]","50","""East Asian Art""","259","false","","3","""8/999""","""8/999""","""O""","19943","[""MWF 1255-0150PM""]","""Research""","1994"
"15752","1.0","59","[""ART""]","52","""0/999""","","[""Staff""]","""14/999""","200","[""FH 01""]","50","""Hist of Architecture""","261","false","","3","""33/999""","""3/999""","""C""","19943","[""MWF 0905-1000""]","""Research""","1994"
"15753","1.0","68","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""Internship""","294","true","","3","""0/999""","""0/999""","""O""","19943","","""Research""","1994"
"15754","1.0","69","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS/Major Film Movemnt""","298","false","","3","""0/999""","""0/999""","""O""","19943","","""Research""","1994"
"15755","1.0","69","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS/Video-Performance""","298","false","""A""","3","""0/999""","""0/999""","""O""","19943","","""Research""","1994"
"15756","1.0","69","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS/Steel Design""","298","false","""B""","3","""0/999""","""0/999""","""O""","19943","","""Research""","1994"
"15757","1.0","69","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS/Interactive Art""","298","false","""C""","3","""0/999""","""0/999""","""O""","19943","","""Research""","1994"
"15758","1.0","1512","[""ART""]","6","""0/999""","","[""Staff""]","""4/999""","300","[""FH 40""]","8","""Painting II""","331","false","","3","""1/999""","""1/999""","""O""","19943","[""TTh 1145-0245PM""]","""Research""","1994"
"15759","1.0","1513","[""ART""]","1","""0/999""","","[""Staff""]","""0/999""","300","[""FH 18""]","6","""Advanced Sculpture""","333","false","","3","""1/999""","""0/999""","""O""","19943","[""TTh 1145-0245PM""]","""Research""","1994"
"15760","1.0","71","[""ART""]","28","""0/999""","","[""Staff""]","""2/999""","300","[""FH 01""]","35","""Senior Studies-Studio""","393","false","","3","""25/999""","""0/999""","""O""","19943","[""Th 0700-0900PM""]","""Research""","1994"
"15761","1.0","74","[""ART""]","13","""0/999""","","[""Staff""]","""2/999""","300","[""FHSEM""]","20","""Sr Studies-Art Hist""","395","false","","3","""16/999""","""0/999""","""O""","19943","[""TTh 0120-0245PM""]","""Research""","1994"
"15762","1.0","78","[""ASIAN""]","22","""9/9""","","[""Staff""]","""6/999""","100","[""CH 101""]","30","""Asian Cultures""","121","false","","3","""4/999""","""3/999""","""O""","19943","[""TTh 1145-0110PM""]","""Research""","1994"
"15763","1.0","100","[""BIO""]","95","""0/999""","","[""Staff""]","""38/999""","100","[""SC 280""]","96","""Biological Science""","121","false","","3","""18/999""","""40/999""","""C""","19943","[""MWF 0905-1000""]","""Research""","1994"
"15764","0.0","101","[""BIO""]","23","""0/999""","","[""Staff""]","""6/999""","100","[""SC 273""]","24","""Biological Sci/Lab""","121","false","""A""","3","""5/999""","""12/999""","""C""","19943","[""W 1255-0255PM""]","""Lab""","1994"
"15765","0.0","101","[""BIO""]","21","""0/999""","","[""Staff""]","""9/999""","100","[""SC 273""]","24","""Biological Sci/Lab""","121","false","""B""","3","""2/999""","""13/999""","""C""","19943","[""Th 0800-1000""]","""Lab""","1994"
"15766","0.0","101","[""BIO""]","24","""0/999""","","[""Staff""]","""11/999""","100","[""SC 273""]","24","""Biological Sci/Lab""","121","false","""C""","3","""6/999""","""7/999""","""C""","19943","[""Th 1145-0145PM""]","""Lab""","1994"
"15767","0.0","101","[""BIO""]","27","""0/999""","","[""Staff""]","""12/999""","100","[""SC 273""]","24","""Biological Sci/Lab""","121","false","""D""","3","""5/999""","""8/999""","""C""","19943","[""Th 0300-0500PM""]","""Lab""","1994"
"15768","1.0","108","[""BIO""]","33","""20/999""","","[""Staff""]","""1/999""","100","[""SC 278""]","48","""Organismic Biology""","126","false","""A""","3","""1/999""","""15/999""","""O""","19943","[""MWF 0800-0855""]","""Research""","1994"
"15769","0.0","109","[""BIO""]","19","""7/999""","","[""Staff""]","""0/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""A""","3","""1/999""","""12/999""","""O""","19943","[""T 1145-0215PM""]","""Lab""","1994"
"15770","1.0","108","[""BIO""]","44","""0/999""","","[""Staff""]","""8/999""","100","[""SC 278""]","48","""Organismic Biology""","126","false","""B""","3","""0/999""","""43/999""","""C""","19943","[""MWF 1045-1140""]","""Research""","1994"
"15771","0.0","109","[""BIO""]","16","""10/999""","","[""Staff""]","""1/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""B""","3","""0/999""","""5/999""","""O""","19943","[""Th 0800-1030""]","""Lab""","1994"
"15772","1.0","108","[""BIO""]","69","""25/999""","","[""Staff""]","""5/999""","100","[""SC 278""]","72","""Organismic Biology""","126","false","""C""","3","""1/999""","""40/999""","""C""","19943","[""MWF 1150-1245PM""]","""Research""","1994"
"15773","0.0","109","[""BIO""]","24","""0/999""","","[""Staff""]","""5/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""C""","3","""0/999""","""22/999""","""C""","19943","[""T 0300-0530PM""]","""Lab""","1994"
"15774","0.0","109","[""BIO""]","15","""1/999""","","[""Staff""]","""3/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""D""","3","""0/999""","""16/999""","""C""","19943","[""W 1255-0325PM""]","""Lab""","1994"
"15775","0.0","109","[""BIO""]","22","""9/999""","","[""Staff""]","""1/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""E""","3","""0/999""","""15/999""","""O""","19943","[""T 0800-1030""]","""Lab""","1994"
"15776","0.0","109","[""BIO""]","27","""11/999""","","[""Staff""]","""1/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""F""","3","""1/999""","""12/999""","""C""","19943","[""Th 1145-0215PM""]","""Lab""","1994"
"15777","0.0","109","[""BIO""]","23","""6/999""","","[""Staff""]","""3/999""","100","[""SC 211""]","24","""Organismic Biol/Lab""","126","false","""G""","3","""0/999""","""16/999""","""C""","19943","[""Th 0300-0530PM""]","""Lab""","1994"
"15778","1.0","119","[""BIO""]","95","""0/999""","","[""Staff""]","""27/999""","200","[""SC 280""]","72","""Microbiology""","231","false","","3","""45/999""","""4/999""","""C""","19943","[""MWF 1045-1140""]","""Research""","1994"
"15779","0.0","120","[""BIO""]","33","""0/999""","","[""Staff""]","""7/999""","200","[""SC 263""]","24","""Microbiology/Lab""","231","false","""A""","3","""17/999""","""2/999""","""C""","19943","[""T 1145-0245PM""]","""Lab""","1994"
"15780","0.0","120","[""BIO""]","31","""0/999""","","[""Staff""]","""8/999""","200","[""SC 263""]","24","""Microbiology/Lab""","231","false","""B""","3","""16/999""","""0/999""","""C""","19943","[""W 1255-0355PM""]","""Lab""","1994"
"15781","0.0","120","[""BIO""]","31","""0/999""","","[""Staff""]","""12/999""","200","[""SC 263""]","24","""Microbiology/Lab""","231","false","""C""","3","""12/999""","""2/999""","""C""","19943","[""Th 0120-0420PM""]","""Lab""","1994"
"15782","1.0","122","[""BIO""]","51","""0/999""","","[""Staff""]","""23/999""","200","[""SC 280""]","48","""Intermediate Genetics""","233","false","","3","""16/999""","""9/999""","""C""","19943","[""MWF 0800-0855""]","""Research""","1994"
"15783","0.0","123","[""BIO""]","25","""0/999""","","[""Staff""]","""9/999""","200","[""SC 229""]","24","""Intermed Genetics/Lab""","233","false","""A""","3","""6/999""","""9/999""","""C""","19943","[""T 0800-1100""]","""Lab""","1994"
"15784","0.0","123","[""BIO""]","26","""0/999""","","[""Staff""]","""14/999""","200","[""SC 229""]","24","""Intermed Genetics/Lab""","233","false","""B""","3","""10/999""","""0/999""","""C""","19943","[""T 0120-0420PM""]","""Lab""","1994"
"15785","1.0","1535","[""BIO""]","28","""0/999""","","[""Staff""]","""16/999""","200","[""SC 274""]","36","""Cell Biology""","241","false","","3","""12/999""","""7/999""","""O""","19943","[""MWF 1045-1140""]","""Research""","1994"
"15786","0.0","1536","[""BIO""]","8","""0/999""","","[""Staff""]","""8/999""","200","[""SC 227""]","12","""Cell Biology/Lab""","241","false","""A""","3","""3/999""","""2/999""","""C""","19943","[""T 0120-0420PM""]","""Lab""","1994"
"15787","0.0","1536","[""BIO""]","8","""0/999""","","[""Staff""]","""4/999""","200","[""SC 227""]","12","""Cell Biology/Lab""","241","false","""B""","3","""3/999""","""2/999""","""O""","19943","[""W 1255-0355PM""]","""Lab""","1994"
"15788","0.0","1536","[""BIO""]","12","""0/999""","","[""Staff""]","""4/999""","200","[""SC 227""]","12","""Cell Biology/Lab""","241","false","""C""","3","""6/999""","""2/999""","""C""","19943","[""Th 1145-0245PM""]","""Lab""","1994"
"15789","1.0","124","[""BIO""]","35","""0/999""","","[""Staff""]","""12/999""","200","[""SC 278""]","32","""Vertebrate Biology""","242","false","","3","""18/999""","""2/999""","""C""","19943","[""TTh 0800-0925""]","""Research""","1994"
"15790","0.0","125","[""BIO""]","18","""0/999""","","[""Staff""]","""5/999""","200","[""SC 269""]","16","""Vertebrate Biol/Lab""","242","false","""A""","3","""9/999""","""1/999""","""C""","19943","[""W 1255-0355PM""]","""Lab""","1994"
