"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"107904","1.0","747","[""MATH""]","0","""0/999""","[""WRI""]","","","","[""Jill Dietz""]","""0/999""","200","[""TOH 186""]","24","""Abstract Algebra I""","252","false","""A""","3","""0/999""","""0/999""","""C""","20163","[""MWF 1255-0150PM""]","","""Research""","2016"
"107906","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107907","1.0","68","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107908","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107909","1.0","93","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107910","1.0","96","[""ASIAN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","18","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107911","0.5","153","[""BIO""]","0","""0/999""","","","","","[""Jean C. Porterfield""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107912","1.0","174","[""BIO""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107913","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107914","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107915","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107916","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107917","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107918","1.0","251","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107919","1.0","276","[""ECON""]","0","""0/999""","","","","","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107920","1.0","284","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107921","1.0","299","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107922","1.0","306","[""CSCI""]","0","""0/999""","","","","","[""Richard Brown""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107923","0.5","313","[""EDUC""]","0","""0/999""","","","","","[""Heather Campbell""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107924","1.0","344","[""EDUC""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107925","1.0","374","[""DANCE""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","""Internship""","""Research""","2016"
"107926","1.0","377","[""DANCE""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107927","1.0","433","[""ENGL""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107928","1.0","449","[""ENGL""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107929","1.0","464","[""ENVST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107930","1.0","466","[""ENVST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107931","1.0","490","[""FREN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107932","1.0","494","[""FREN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
"107933","1.0","522","[""GERM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""C""","20163","","","""Research""","2016"
