"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"20936","1.0","153","[""BIO""]","1","""0/999""","[""Anne Walter""]","""0/999""","200","","999","""Academic Internship""","294","true","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20937","1.0","192","[""CHEM""]","9","""0/999""","[""Wesley Pearson""]","""0/999""","100","[""SC 374""]","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""0/999""","""O""","19964","[""M-F 1000-1130""]","""Research""","1996"
"20938","0.0","193","[""CHEM""]","9","""0/999""","[""Staff""]","""0/999""","100","","999","""Struct Chem & Equ/Lab""","125","false","","4","""0/999""","""0/999""","""O""","19964","","""Lab""","1996"
"20939","1.0","196","[""CHEM""]","9","""0/999""","[""Gary O. Spessard""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","","4","""0/999""","""0/999""","""O""","19964","[""M-F 1000-1130""]","""Research""","1996"
"20940","0.25","199","[""CHEM""]","9","""0/999""","[""Gary O. Spessard""]","""0/999""","200","","999","""Synthesis Lab""","253","true","","4","""0/999""","""0/999""","""O""","19964","","""Lab""","1996"
"20941","0.25","1554","[""CHEM""]","1","""0/999""","[""George L. Hardgrove""]","""0/999""","200","","1","""Physical Lab""","257","true","","4","""0/999""","""0/999""","""C""","19964","","""Lab""","1996"
"20942","1.0","204","[""CHEM""]","1","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Academic Internship""","294","true","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20943","1.0","223","[""CHEM""]","1","""0/999""","[""Gary Miessler""]","""0/999""","300","","999","""IR/Avanced Inorganic""","398","false","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20944","1.0","276","[""ECON""]","1","""0/999""","[""Anthony Becker""]","""0/999""","200","","999","""Academic Internship""","294","true","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20945","1.0","276","[""ECON""]","1","""0/999""","[""Mary Ann Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20946","1.0","314","[""EDUC""]","2","""0/999""","[""Mark Schelske""]","""0/999""","200","","999","""IS/Exceptional Child""","298","false","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20947","1.0","345","[""EDUC""]","1","""0/999""","[""Mark Schelske""]","""0/999""","300","","999","""IR/Exceptional Child""","398","false","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
"20948","1.0","382","[""ENGL""]","1","""0/999""","[""Joseph L. Mbele""]","""0/999""","100","[""L 520""]","999","""Hero/Trickstr 3rd Wld""","108","false","","4","""0/999""","""0/999""","""O""","19964","[""M-F 1230-0200PM""]","""Research""","1996"
"20949","1.0","1698","[""ENGL""]","4","""0/999""","[""Staff""]","""0/999""","200","[""L 520""]","999","""Amer Lit Since 1945""","244","false","","4","""0/999""","""0/999""","""O""","19964","[""M-F 0800-0930""]","""Research""","1996"
"20950","1.0","413","[""ENGL""]","1","""0/999""","[""Staff""]","""0/999""","200","[""L 520""]","999","""Expository Writing""","251","false","","4","""0/999""","""0/999""","""O""","19964","[""M-F 1000-1130""]","""Research""","1996"
"20951","1.0","418","[""ENGL""]","6","""0/999""","[""Staff""]","""0/999""","200","","999","""Creative Writing I""","257","false","","4","""0/999""","""0/999""","""O""","19964","","""Research""","1996"
