"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"99306","1.0","26217","[""HIST""]","12","""3/999""","","","","[""Timothy R. Howe""]","""1/999""","200","","999","""Archaeological Methods""","202","false","""H""","5","""1/999""","""7/999""","""O""","20145","","""Mediterranean Archaeology Field School""","""Research""","2014"
"102564","1.0","194","[""CHEM""]","2","""2/999""","[""SED""]","194","","[""Patrick N. Riley""]","""0/999""","100","[""RNS 310""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","20145","[""M-F 1000-1130""]","""Energies and Rates of Chemical Reactions""","""Research""","2014"
"102565","0.0","195","[""CHEM""]","2","""2/999""","","194","","[""Patrick N. Riley""]","""0/999""","100","[""RNS 355""]","999","""Chemical Reactions Lab""","126","false","","5","""0/999""","""0/999""","""O""","20145","[""MW 0100-0400PM""]","","""Lab""","2014"
"102566","1.0","197","[""CHEM""]","32","""14/999""","","","","[""Daniel A. Everson""]","""7/999""","200","[""RNS 390""]","48","""Organic Chemistry II""","248","false","","5","""8/999""","""3/999""","""O""","20145","[""M-F 1000-1130""]","","""Research""","2014"
"102567","0.25","200","[""CHEM""]","14","""6/999""","","","","[""Daniel A. Everson""]","""3/999""","200","[""RNS 340""]","24","""Synthesis Lab II""","254","true","""A""","5","""3/999""","""2/999""","""C""","20145","[""MW 1230-0330PM""]","""Synthesis Laboratory II""","""Lab""","2014"
"102568","1.0","27679","[""PHIL""]","0","""0/999""","[""EIN""]","","""R""","[""Charles H. III. Watson""]","""0/999""","200","[""TOH 212""]","999","""Race and Social Justice""","255","false","","5","""0/999""","""0/999""","""X""","20145","[""M-F 1000-1130""]","","""Research""","2014"
"102572","1.0","1074","[""PHYS""]","7","""1/999""","[""SED""]","1074","","[""Jason J. Engbrecht""]","""3/999""","100","[""RNS 208""]","999","""Principles Physics II""","125","false","","5","""1/999""","""2/999""","""O""","20145","[""M-Th 1000-1200PM""]","""Principles of Physics II""","""Research""","2014"
"102573","0.0","1075","[""PHYS""]","7","""1/999""","","1074","","[""Jason J. Engbrecht""]","""3/999""","100","[""RNS 292""]","999","""Principles Physics II Lab""","125","false","","5","""1/999""","""2/999""","""O""","20145","[""MW 0100-0330PM""]","","""Lab""","2014"
"102577","1.0","499","[""ID""]","6","""0/999""","[""HBS"", ""MCG""]","","","[""Robert W. McClure""]","""4/999""","200","[""TOH 212""]","999","""Human Geography""","234","false","","5","""0/999""","""2/999""","""O""","20145","[""M-F 1230-0200PM""]","""Human Geography of the Middle East""","""Research""","2014"
"102640","1.0","21392","[""ENGL""]","6","""1/999""","[""ALS-L"", ""MCG""]","","""R""","[""Joseph L. Mbele""]","""4/999""","200","[""TOH 314""]","999","""Top: African Literature""","206","false","","5","""1/999""","""0/999""","""O""","20145","[""M-F 1230-0200PM""]","""African Literature""","""Topic""","2014"
"102675","1.0","27950","[""MUSIC""]","0","""0/999""","[""ALS-A""]","","""R""","[""David R. Castro""]","""0/999""","100","[""CHM 239""]","999","""Rock Music: Style/Context""","134","false","","5","""0/999""","""0/999""","""O""","20145","[""M-F 1230-0200PM""]","""Rock Music: Style and Context""","""Research""","2014"
"102699","1.0","20060","[""REL""]","12","""4/999""","[""BTS-T"", ""WRI""]","","""R""","[""Gregory A. Walter""]","""5/999""","200","[""OM 110""]","999","""Quest of Ring/Grail/Cross""","238","false","","5","""0/999""","""3/999""","""O""","20145","[""M-F 0800-0930""]","""Quest of the Ring, the Grail, and the Cross""","""Research""","2014"
"102700","1.0","1237","[""REL""]","5","""1/999""","[""EIN"", ""WRI""]","","","[""Gregory A. Walter""]","""2/999""","200","[""OM 110""]","999","""Rel Pluralsm/Communit""","293","false","","5","""0/999""","""2/999""","""O""","20145","[""M-F 1000-1130""]","""Religious Pluralism and the Nature of Community""","""Research""","2014"
"102708","0.5","1012","[""ESAC""]","7","""1/999""","[""SPM""]","","","[""Michael M. Ludwig""]","""4/999""","100","[""SAC Wt Rm""]","999","""Individual Fitness .50""","133","false","","5","""1/999""","""1/999""","""O""","20145","[""M-F 0230-0400PM""]","""Individual Fitness""","""Research""","2014"
"102726","1.0","1327","[""SPAN""]","5","""2/999""","[""FOL-S"", ""MCD""]","","","[""Kris A. Cropsey""]","""2/999""","200","[""TOH 314""]","999","""Intermed Spanish II""","232","false","","5","""1/999""","""0/999""","""O""","20145","[""M-F 1000-1130""]","""Intermediate Spanish II""","""Research""","2014"
"103099","1.0","1130","[""PSCI""]","0","""0/999""","[""HWC""]","","","[""Joshua Anderson""]","""0/999""","200","[""TOH 312""]","999","""History of Modern Political Thought""","260","false","","5","""0/999""","""0/999""","""X""","20145","[""M-F 1000-1130""]","","""Research""","2014"
"103100","1.0","24283","[""PSCI""]","5","""1/999""","[""HBS"", ""MCD""]","","""R""","[""Joshua Anderson""]","""2/999""","200","[""OM 105""]","999","""Race and Politics""","244","false","","5","""0/999""","""2/999""","""O""","20145","[""M-F 1230-0200PM""]","""Race and American Politics""","""Research""","2014"
"103289","0.25","313","[""EDUC""]","2","""1/999""","","","","[""Heather Campbell""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""C""","20145","","","""Research""","2014"
