"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"17873","1.0","1493","[""AMST""]","9","""2/999""","","[""Christopher D. Grasso""]","""1/999""","200","[""L 525""]","25","""Top: American Frontier""","204","false","","3","""1/999""","""3/999""","""O""","19953","[""TTh 0120-0245PM""]","""Topic""","1995"
"17874","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Rereading America""","298","false","","3","""0/999""","""0/999""","""O""","19953","","""Research""","1995"
"17875","1.0","12","[""AMST""]","1","""0/999""","","[""Frieda Knobloch""]","""0/999""","200","","999","""IS/Ecology & Culture""","298","false","""A""","3","""0/999""","""0/999""","""O""","19953","","""Research""","1995"
"17876","1.0","13","[""AMST""]","10","""0/999""","","[""Frieda Knobloch""]","""4/999""","300","[""SC 210""]","15","""Sem: American Cultures""","301","false","","3","""4/999""","""2/999""","""O""","19953","[""TTh 1145-0110PM""]","""Seminar""","1995"
"17877","0.5","19","[""ART""]","12","""6/11""","","[""Mary Griep""]","""3/3""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""A""","3","""2/2""","""6/8""","""O""","19953","[""MWF 1255-0150PM""]","""Research""","1995"
"17878","0.5","19","[""ART""]","12","""8/17""","","[""John Saurer""]","""3/3""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""B""","3","""2/2""","""0/8""","""O""","19953","[""TTh 1145-0110PM""]","""Research""","1995"
"17879","0.5","19","[""ART""]","4","""1/16""","","[""Mary Griep""]","""2/3""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""C""","3","""2/2""","""2/9""","""O""","19953","[""MWF 1045-1140""]","""Research""","1995"
"17880","0.5","20","[""ART""]","9","""4/17""","","[""Jan Shoger""]","""0/3""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","""A""","3","""2/2""","""3/12""","""O""","19953","[""MWF 0905-1000""]","""Research""","1995"
"17881","0.5","20","[""ART""]","8","""5/16""","","[""Jan Shoger""]","""3/3""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","""B""","3","""2/2""","""1/9""","""O""","19953","[""MWF 0200-0255PM""]","""Research""","1995"
"17882","0.5","21","[""ART""]","15","""7/15""","","[""Wendell Arneson""]","""1/5""","100","[""FH AB""]","22","""Found Color Design""","113","false","""A""","3","""3/3""","""3/12""","""O""","19953","[""MWF 0905-1000""]","""Research""","1995"
"17883","0.5","21","[""ART""]","16","""4/13""","","[""Wendell Arneson""]","""3/5""","100","[""FH AB""]","22","""Found Color Design""","113","false","""B""","3","""3/3""","""3/10""","""O""","19953","[""MWF 1045-1140""]","""Research""","1995"
"17884","0.5","22","[""ART""]","10","""1/8""","","[""John Saurer""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""A""","3","""1/1""","""3/6""","""O""","19953","[""TTh 0800-0925""]","""Research""","1995"
"17885","0.5","22","[""ART""]","12","""8/8""","","[""John Saurer""]","""3/3""","100","[""FH 18""]","15","""Foundation Sculpture""","114","false","""B""","3","""1/1""","""3/6""","""O""","19953","[""TTh 0935-1100""]","""Research""","1995"
"17888","0.5","24","[""ART""]","18","""6/6""","","[""Ron Gallas""]","""3/3""","100","[""FH 19""]","18","""Found Ceramics: Hand""","116","false","""A""","3","""2/2""","""7/7""","""C""","19953","[""TTh 0935-1100""]","""Research""","1995"
"17889","0.5","24","[""ART""]","19","""6/6""","","[""Ron Gallas""]","""3/3""","100","[""FH 19""]","18","""Found Ceramics: Hand""","116","false","""B""","3","""2/2""","""7/7""","""C""","19953","[""TTh 1145-0110PM""]","""Research""","1995"
"17890","1.0","32","[""ART""]","74","""29/999""","","[""Katherine Smith-Abbott""]","""10/999""","100","[""FH 01""]","999","""Renaissance--Present""","151","false","","3","""25/999""","""21/999""","""C""","19953","[""MWF 0905-1000""]","""Research""","1995"
"17891","1.0","34","[""ART""]","24","""0/999""","","[""Wendell Arneson""]","""10/999""","200","[""FH AB""]","20","""Watercolor Painting""","232","false","","3","""4/999""","""6/999""","""C""","19953","[""MWF 1255-0255PM""]","""Research""","1995"
"17892","1.0","39","[""ART""]","10","""1/999""","","[""Jan Shoger""]","""3/999""","200","[""FH 44""]","15","""Printmkg: Intaglio/Mono""","237","false","","3","""2/999""","""2/999""","""O""","19953","[""MWF 1045-1245PM""]","""Research""","1995"
"17894","1.0","43","[""ART""]","19","""2/999""","","[""Mary Griep""]","""9/999""","200","[""FH 40""]","999","""Figure Drawing""","242","false","","3","""8/999""","""4/999""","""C""","19953","[""MWF 0800-1000""]","""Research""","1995"
"17895","1.0","1503","[""ART""]","38","""4/999""","","[""Matthew Rohn""]","""16/999""","200","[""FH 01""]","60","""20th Century Survey""","253","false","","3","""6/999""","""11/999""","""O""","19953","[""MWF 1045-1140""]","""Research""","1995"
