"clbid","credits","crsid","departments","enrolled","firsties","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"21086","1.0","4","[""AMST""]","26","""12/999""","","","[""James Farrell""]","""5/999""","100","[""CH 110""]","25","""Perspec Amer Culture""","100","false","","1","""3/999""","""7/999""","""C""","19971","[""MWF 1255-0150PM""]","""Research""","1997"
"21087","1.0","12","[""AMST""]","1","""0/999""","","","[""James Farrell""]","""0/999""","200","","999","""IS/Pop Music/Am Cult""","298","false","","1","""0/999""","""0/999""","""O""","19971","","""Research""","1997"
"21088","1.0","18","[""ART""]","19","""10/14""","","","[""Mary Griep""]","""2/7""","100","[""FH 42""]","22","""Foundation Drawing""","110","false","""A""","1","""1/3""","""5/11""","""O""","19971","[""MWF 1045-1245PM""]","""Research""","1997"
"21089","0.5","19","[""ART""]","18","""9/8""","","","[""Jil Evans""]","""0/5""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""A""","1","""3/3""","""7/10""","""O""","19971","[""TTh 0120-0245PM""]","""Research""","1997"
"21090","0.5","19","[""ART""]","16","""8/14""","","","[""Jil Evans""]","""3/5""","100","[""FH 42""]","22","""Found Perceptual Draw""","111","false","""B""","1","""3/3""","""3/8""","""O""","19971","[""TTh 0305-0430PM""]","""Research""","1997"
"21091","0.5","20","[""ART""]","16","""4/10""","","","[""Jil Evans""]","""4/4""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","1","""2/2""","""6/10""","""O""","19971","[""TTh 0935-1100""]","""Research""","1997"
"21092","0.5","21","[""ART""]","25","""2/2""","","","[""Wendell Arneson""]","""4/4""","100","[""FH AB""]","22","""Found Color Design""","113","false","""A""","1","""3/3""","""13/9""","""C""","19971","[""MWF 0905-1000""]","""Research""","1997"
"21093","0.5","21","[""ART""]","21","""7/9""","","","[""Wendell Arneson""]","""4/6""","100","[""FH AB""]","22","""Found Color Design""","113","false","""B""","1","""1/3""","""8/11""","""O""","19971","[""MWF 1045-1140""]","""Research""","1997"
"21094","0.5","22","[""ART""]","17","""8/9""","","","[""John Saurer""]","""1/3""","100","[""FH 18""]","17","""Foundation Sculpture""","114","false","""A""","1","""2/2""","""5/9""","""C""","19971","[""TTh 0800-0925""]","""Research""","1997"
"21095","0.5","22","[""ART""]","12","""6/5""","","","[""John Saurer""]","""1/3""","100","[""FH 18""]","17","""Foundation Sculpture""","114","false","""B""","1","""2/2""","""9/9""","""O""","19971","[""TTh 0305-0430PM""]","""Research""","1997"
"21096","0.5","24","[""ART""]","19","""5/5""","","","[""Ron Gallas""]","""5/5""","100","[""FH 19""]","20","""Found Ceramics: Hand""","116","false","","1","""4/4""","""6/5""","""O""","19971","[""TTh 0935-1100""]","""Research""","1997"
"21097","0.5","26","[""ART""]","12","""0/2""","","","[""Ron Gallas""]","""5/5""","100","[""FH 19""]","16","""Found Ceramics: Throw""","119","false","""A""","1","""2/2""","""6/5""","""C""","19971","[""TTh 1145-0110PM""]","""Research""","1997"
"21098","0.5","26","[""ART""]","13","""0/4""","","","[""Ron Gallas""]","""5/5""","100","[""FH 19""]","16","""Found Ceramics: Throw""","119","false","""B""","1","""2/2""","""6/5""","""C""","19971","[""TTh 0120-0245PM""]","""Research""","1997"
"21099","1.0","27","[""ART""]","10","""9/14""","","","[""Mary Griep""]","""0/0""","100","[""FH 42""]","15","""Honors Found Drawing""","120","false","","1","""0/0""","""1/0""","""O""","19971","[""MWF 0800-1000""]","""Research""","1997"
"21100","1.0","29","[""ART""]","21","""1/1""","","","[""Margaret Ojala""]","""5/7""","100","[""FH 2""]","20","""Intro to Photography""","124","false","","1","""3/3""","""11/10""","""C""","19971","[""TTh 0800-1100""]","""Research""","1997"
