"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5660","1.0","33","[""ART""]","19","""0/999""","","[""Wendell Arneson""]","""2/999""","200","[""DC 214""]","22","""Oil/Acrylic Painting""","221","false","","1","""0/999""","""3/999""","""O""","20031","[""MWF 1255-0255PM""]","""Research""","2003"
"5661","1.0","37","[""ART""]","11","""0/999""","","[""Steven Edwins""]","""3/999""","200","[""DC 116""]","16","""Arch Drawing/Design I""","225","false","","1","""2/999""","""3/999""","""O""","20031","[""MWF 1255-0255PM""]","""Research""","2003"
"5662","1.0","39","[""ART""]","12","""0/999""","","[""John Saurer""]","""3/999""","200","[""DC 212""]","16","""Printmkg: Intaglio/Mono""","227","false","","1","""2/999""","""0/999""","""C""","20031","[""MWF 1045-1245PM""]","""Research""","2003"
"5663","1.0","46","[""ART""]","2","""0/999""","","[""Margaret Ojala""]","""1/999""","200","[""DC 102""]","15","""Photography""","238","false","","1","""-1/999""","""0/999""","""O""","20031","[""MWF 1045-1245PM""]","""Research""","2003"
"5664","1.0","47","[""ART""]","13","""0/999""","","[""David E. Ryan""]","""3/999""","200","[""DC 101"", ""DC 101""]","15","""Video Art Production""","239","false","","1","""8/999""","""0/999""","""C""","20031","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Research""","2003"
"5665","1.0","51","[""ART""]","30","""0/0""","","[""Matthew Rohn""]","""7/6""","200","[""DC 305""]","30","""Art 1880-1950""","252","false","","1","""4/4""","""0/0""","""C""","20031","[""MWF 0905-1000""]","""Research""","2003"
"5666","1.0","57","[""ART""]","27","""4/999""","","[""Karil J. Kucera""]","""8/999""","200","[""DC 305""]","30","""Arts of China""","259","false","","1","""4/999""","""7/999""","""O""","20031","[""MWF 0200-0255PM""]","""Research""","2003"
"5667","1.0","66","[""ART""]","23","""3/999""","","[""Heather M. Brooks-Shirey""]","""1/999""","200","[""DC 305"", ""DC 305""]","20","""Topics in Art History""","275","false","","1","""2/999""","""1/999""","""C""","20031","[""T 0935-1100"", ""Th 0930-1050""]","""Topic""","2003"
"5668","1.0","69","[""ART""]","4","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Advanced Painting""","298","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5669","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Clay Expression""","298","false","""A""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
