"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"768","1.0","11","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"769","1.0","15","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","300","","999","""IR/Urbanism /Housing""","398","false","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"770","1.0","18","[""ART""]","23","""16/16""","","[""John Saurer""]","""0/999""","100","[""FH 42"", ""FH 42""]","20","""Foundation Drawing""","110","false","","2","""4/999""","""0/999""","""C""","20002","[""M-F 0900-1000"", ""M-F 1040-1210PM""]","""Research""","2000"
"771","1.0","29","[""ART""]","21","""16/16""","","[""Margaret Ojala""]","""1/999""","100","[""FH 2"", ""FH 2""]","20","""Found Photography""","124","false","","2","""3/999""","""0/999""","""C""","20002","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Research""","2000"
"772","1.0","40","[""ART""]","13","""0/999""","","[""Patrick T. Kelley""]","""4/999""","200","[""FH 21"", ""FH 21""]","14","""Comp-Generatd Imagery""","238","false","","2","""8/999""","""0/999""","""C""","20002","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2000"
"773","1.0","50","[""ART""]","29","""0/999""","","[""Kristi Holden""]","""3/999""","200","[""FH 01"", ""FH 01""]","30","""Origins of Modernism""","251","false","","2","""7/999""","""17/999""","""O""","20002","[""M 1230-0330PM"", ""TWF 0100-0300PM""]","""Research""","2000"
"774","1.0","48","[""ART""]","18","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""Manhattan Art Interim""","262","false","","2","""1/999""","""0/999""","""C""","20002","","""Research""","2000"
"775","1.0","68","[""ART""]","2","""0/999""","","[""Wendell Arneson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"776","1.0","68","[""ART""]","1","""0/999""","","[""Nancy M. Thompson""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"777","1.0","69","[""ART""]","1","""0/999""","","[""John Saurer""]","""0/999""","200","","999","""IS/Explor in Drawing""","298","false","","2","""0/999""","""1/999""","""O""","20002","","""Research""","2000"
"778","1.0","69","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Oil Painting""","298","false","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"779","1.0","79","[""ASIAN""]","37","""15/15""","","[""Phyllis Hyland Larson""]","""0/0""","100","[""VIKING THTR"", ""VIKING THTR""]","25","""Intro Japanese Film""","124","false","","2","""4/3""","""4/0""","""C""","20002","[""MW 1040-0100PM"", ""TTh 1040-1240PM""]","""Research""","2000"
"780","1.0","85","[""ASIAN""]","21","""0/999""","","[""Barbara Reed""]","""0/999""","200","","20","""Nat ID/China & Japan""","212","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"781","1.0","88","[""ASIAN""]","19","""3/5""","","[""Pin Pin Wan""]","""4/8""","200","[""M 30""]","25","""Chinese Literature""","236","false","","2","""7/10""","""8/10""","""C""","20002","[""M-F 1040-1240PM""]","""Research""","2000"
"782","1.0","94","[""ASIAN""]","1","""0/999""","","[""Robert Entenmann""]","""0/999""","200","","999","""IS/Singapore""","298","false","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"783","1.0","94","[""ASIAN""]","1","""0/999""","","[""Robert Entenmann""]","""0/999""","200","","999","""IS/Three Gorges Dam""","298","false","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"784","1.0","104","[""BIO""]","35","""6/6""","","[""Mary C. Henry""]","""7/7""","100","[""SC 188"", ""SC 182""]","28","""The Biology of Women""","124","false","","2","""4/4""","""6/6""","""C""","20002","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Research""","2000"
"785","1.0","106","[""BIO""]","29","""20/20""","","[""Anne Walter""]","""0/0""","100","[""SC 273"", ""SC 273"", ""SC 274""]","24","""Cellular Bio & Genetics""","125","false","","2","""1/0""","""2/2""","""C""","20002","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2000"
"786","1.0","114","[""BIO""]","17","""9/9""","","[""John Giannini""]","""0/0""","100","[""SC 227"", ""SC 227""]","18","""Thinking & Doing Bio""","135","false","","2","""0/0""","""9/9""","""C""","20002","[""M-F 0900-1000"", ""M-F 1040-0100PM""]","""Research""","2000"
"787","1.0","117","[""BIO""]","39","""8/8""","","[""Jon Hallberg""]","""6/6""","100","[""SC 274"", ""VIKING THTR""]","40","""Epidemic""","137","false","","2","""6/6""","""16/16""","""C""","20002","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2000"
"788","1.0","150","[""BIO""]","16","""0/999""","","[""Eric Cole""]","""0/999""","200","","999","""Island Bio in Bahamas""","287","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"789","1.0","151","[""BIO""]","22","""0/999""","","[""Kathleen L. Shea""]","""0/999""","200","","999","""Equatorial Biology""","288","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"790","1.0","153","[""BIO""]","9","""0/999""","","[""Theodore Johnson""]","""2/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""1/999""","""O""","20002","","""Research""","2000"
"791","1.0","153","[""BIO""]","1","""0/999""","","[""Louis Henry Kermott""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"792","1.0","153","[""BIO""]","1","""0/999""","","[""Daniel Meinhardt""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"793","1.0","153","[""BIO""]","3","""0/999""","","[""Anne Walter""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"794","1.0","153","[""BIO""]","2","""0/999""","","[""Eugene Bakko""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"795","1.0","153","[""BIO""]","2","""0/999""","","[""Kimberly A. Kandl""]","""0/999""","200","","999","""Academic Internship""","294","true","""E""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"796","1.0","154","[""BIO""]","1","""0/999""","","[""Diane K. Angell""]","""0/999""","200","","999","""IS/Botany""","298","false","","2","""2/999""","""2/999""","""O""","20002","","""Research""","2000"
"797","1.0","154","[""BIO""]","1","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Health Cooper Inst""","298","false","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"798","1.0","154","[""BIO""]","1","""0/999""","","[""Diane K. Angell""]","""0/999""","200","","999","""IS/Neonatal Research""","298","false","""B""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"799","1.0","154","[""BIO""]","1","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Epidemeology of Ms""","298","false","""C""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"800","1.0","154","[""BIO""]","1","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Research At Utah""","298","false","""D""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"801","1.0","154","[""BIO""]","1","""0/999""","","[""Diane K. Angell""]","""0/999""","200","","999","""IS/Whale Conservation""","298","false","""E""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"802","1.0","169","[""BIO""]","17","""0/999""","","[""Daniel Meinhardt""]","""8/999""","300","[""SC 210"", ""SC 210"", ""SC 210""]","18","""Evolution""","383","false","","2","""10/999""","""0/999""","""C""","20002","[""M-Th 0900-1000"", ""M-Th 1040-1240PM"", ""M-Th 0100-0300PM""]","""Research""","2000"
"803","1.0","174","[""BIO""]","1","""0/999""","","[""Eugene Bakko""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"804","1.0","185","[""CHEM""]","10","""7/8""","","[""Jeffrey Dahlseid""]","""1/10""","100","[""SC 274"", ""SC 363""]","24","""Chem-Life's Beginning""","120","false","","2","""1/6""","""1/15""","""O""","20002","[""M-F 0800-1000"", ""MTTh 1230-0330PM""]","""Research""","2000"
"805","1.0","189","[""CHEM""]","37","""23/999""","","[""Paul Fischer""]","""2/999""","100","[""SC 378""]","999","""Chemical Structure""","123","false","","2","""1/999""","""11/999""","""O""","20002","[""M-F 1040-1240PM""]","""Research""","2000"
"806","1.0","1552","[""CHEM""]","9","""2/7""","","[""Paul T. Jackson""]","""2/13""","100","[""SC 374"", ""SC 371/374""]","24","""Environmental Chem""","124","false","","2","""1/9""","""3/18""","""O""","20002","[""M-F 0800-1000"", ""MTTh 1230-0330PM""]","""Research""","2000"
"807","1.0","198","[""CHEM""]","8","""0/999""","","[""Gary Miessler""]","""3/999""","200","[""SC 310""]","999","""Organometallic Chem""","252","false","","2","""1/999""","""7/999""","""O""","20002","[""M-F 1040-1240PM""]","""Research""","2000"
"808","1.0","204","[""CHEM""]","1","""0/999""","","[""Wesley Pearson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20002","","""Research""","2000"
"809","1.0","204","[""CHEM""]","1","""0/999""","","[""Jeffrey Dahlseid""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"810","1.0","215","[""CHEM""]","4","""0/999""","","[""Robert Hanson""]","""0/999""","300","[""SC 310"", ""SC 310"", ""SC 311""]","999","""Organic Analys/Theory""","380","false","","2","""3/999""","""0/999""","""O""","20002","[""M-F 0800-1000"", ""M-F 1240-0330PM"", ""M-F 1040-0330PM""]","""Research""","2000"
"811","1.0","223","[""CHEM""]","1","""0/999""","","[""Jeffrey Dahlseid""]","""1/999""","300","","999","""IR/Rna Decay in Yeast""","398","false","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"812","1.0","227","[""CLASS""]","36","""30/999""","","[""Jon Gregory""]","""0/999""","100","[""M 31""]","30","""Fall of Roman Empire""","128","false","","2","""1/999""","""2/999""","""C""","20002","[""M-F 1040-1240PM""]","""Research""","2000"
"813","1.0","232","[""CLASS""]","30","""0/999""","","[""Anne Groton""]","""0/999""","200","","30","""Class Studies Greece""","251","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"814","1.0","253","[""ECON""]","24","""20/999""","","[""Anthony Becker""]","""0/999""","100","[""H 302"", ""H 302""]","25","""Econ Thru Experiments""","110","false","","2","""1/999""","""0/999""","""C""","20002","[""MWTh 1040-1200PM"", ""MWTh 0100-0300PM""]","""Research""","2000"
"815","1.0","254","[""ECON""]","28","""28/999""","","[""Xun Pomponio""]","""1/999""","100","[""H 317""]","30","""Transition Economies""","111","false","","2","""0/999""","""2/999""","""C""","20002","[""M-F 0800-1000""]","""Research""","2000"
"816","1.0","276","[""ECON""]","2","""0/999""","","[""Steve Soderlind""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""1/999""","""O""","20002","","""Research""","2000"
"817","1.0","276","[""ECON""]","2","""0/999""","","[""Bruce Dalgaard""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"818","1.0","276","[""ECON""]","2","""0/999""","","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"819","1.0","277","[""ECON""]","1","""0/999""","","[""Paul Wojick""]","""0/999""","200","","999","""IS/Economic Thought""","298","false","","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"820","1.0","1618","[""CSCI""]","11","""0/999""","","[""Richard Brown""]","""5/999""","300","[""SC 182"", ""SC 182""]","999","""Sem: Comp Operating Sy""","378","false","","2","""5/999""","""0/999""","""O""","20002","[""M-F 0830-1000"", ""M-F 0100-0300PM""]","""Seminar""","2000"
"821","1.0","310","[""EDUC""]","22","""0/999""","","[""Maria L. Kelly""]","""0/999""","200","","25","""Perspectives On Tchg""","260","true","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"822","1.0","338","[""EDUC""]","26","""0/999""","","[""Myron L. Solid""]","""0/999""","300","","25","""Multi-Cult Ed Hawaii""","378","true","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"823","1.0","339","[""EDUC""]","38","""0/999""","","[""Larry Zimmerman""]","""1/999""","300","","999","""Urban Ed Practicum""","379","true","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"824","1.0","344","[""EDUC""]","1","""0/999""","","[""Mark Schelske""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","20002","","""Research""","2000"
"825","1.0","1646","[""DNCTH""]","","","","[""Susan Bauer""]","","100","[""CHM 140"", ""CHM 140""]","","""Creative Dance/Child""","120","false","","2","","","""C""","20002","[""M-Th 0900-1000"", ""M-Th 1045-1200PM""]","""Research""","2000"
"826","1.0","386","[""ENGL""]","25","""24/999""","","[""Colin Wells""]","""0/999""","100","[""L 525""]","25","""The Comic Novel""","131","false","","2","""0/999""","""0/999""","""C""","20002","[""M-F 0100-0300PM""]","""Research""","2000"
"827","1.0","387","[""ENGL""]","25","""24/999""","","[""Mary Steen""]","""0/999""","100","[""L 525""]","25","""Reading for Life""","132","false","","2","""-1/999""","""0/999""","""C""","20002","[""M-F 1040-1240PM""]","""Research""","2000"
"828","1.0","388","[""ENGL""]","25","""23/999""","","[""Mary Titus""]","""-1/999""","100","[""L 515""]","25","""Southern Women Writrs""","135","false","","2","""0/999""","""0/999""","""C""","20002","[""M-Th 0100-0300PM""]","""Research""","2000"
"829","1.0","393","[""ENGL""]","18","""1/999""","","[""Diana Postlethwaite""]","""6/999""","200","[""L 420""]","20","""Personal Essay""","200","false","","2","""5/999""","""8/999""","""C""","20002","[""M-F 1040-1240PM""]","""Research""","2000"
"830","1.0","407","[""ENGL""]","29","""1/999""","","[""Carol Holly""]","""11/11""","200","[""L 515""]","35","""19th-C Am Lit""","238","false","","2","""8/9""","""13/13""","""C""","20002","[""M-F 1040-1240PM""]","""Topic""","2000"
"831","1.0","415","[""ENGL""]","29","""0/999""","","[""David Wee""]","""0/999""","200","","25","""The Moral Vision""","253","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"832","1.0","419","[""ENGL""]","30","""0/999""","","[""Richard Buckstead""]","""0/999""","200","","30","""Hemingway in Cuba""","259","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"833","1.0","421","[""ENGL""]","22","""0/999""","","[""Jonathan Hill""]","""0/999""","200","","25","""Lit Eastern Caribbean""","270","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"834","1.0","422","[""ENGL""]","10","""0/999""","","[""Richard DuRocher""]","""4/999""","200","[""L 420""]","35","""Utopias""","272","false","","2","""1/10""","""2/999""","""O""","20002","[""M-F 0100-0300PM""]","""Research""","2000"
"835","1.0","430","[""ENGL""]","15","""0/999""","","[""Joan Hepburn""]","""0/999""","200","","15","""Performing Arts in NY""","284","false","","2","""0/999""","""0/999""","""C""","20002","","""Research""","2000"
"836","1.0","434","[""ENGL""]","1","""0/999""","","[""Diana Postlethwaite""]","""0/999""","200","","999","""IS/Critical Reviews""","298","false","","2","""1/999""","""0/999""","""O""","20002","","""Research""","2000"
"837","1.0","451","[""ENGL""]","1","""0/999""","","[""Colin Wells""]","""0/999""","300","","999","""IR/Poetry of Song: U2""","398","false","","2","""1/999""","""0/999""","""O""","20002","","""Research""","2000"
"838","1.0","451","[""ENGL""]","1","""0/999""","","[""Olivia Frey""]","""0/999""","300","","999","""IR/Creative Writing""","398","false","""A""","2","""0/999""","""0/999""","""O""","20002","","""Research""","2000"
"839","1.0","452","[""ENGL""]","14","""0/999""","","[""Karen Cherewatuk""]","""2/999""","300","[""L 520""]","15","""Major Seminar""","399","false","","2","""12/999""","""0/999""","""O""","20002","[""M-F 1040-1240PM""]","""Seminar""","2000"
"840","1.0","455","[""ENVST""]","12","""6/6""","","[""Louis Henry Kermott""]","""4/6""","100","[""SC 248"", ""SC 248"", ""SC 248""]","24","""Intro: Enviro Studies""","137","false","""A""","2","""4/4""","""1/999""","""O""","20002","[""M-Th 0900-1000"", ""M-Th 1040-1200PM"", ""M-Th 0100-0300PM""]","""Research""","2000"
