"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"17668","1.0","189","[""CHEM""]","41","""37/999""","[""Robert Hanson""]","""4/999""","100","999","""Chemical Structure""","123","false","","2","""2/999""","""0/999""","""O""","19952","""Research""","1995"
"17671","1.0","1552","[""CHEM""]","30","""10/999""","[""Donald A. Tarr""]","""13/999""","100","40","""Environmental Chem""","124","false","""B""","2","""6/999""","""0/999""","""O""","19952","""Research""","1995"
"17672","0.0","191","[""CHEM""]","19","""9/999""","[""Donald A. Tarr""]","""4/999""","100","20","""Environ Chem/Lab""","124","false","""B""","2","""7/999""","""0/999""","""O""","19952","""Lab""","1995"
"17673","0.0","191","[""CHEM""]","11","""1/999""","[""Donald A. Tarr""]","""9/999""","100","20","""Environ Chem/Lab""","124","false","""C""","2","""-1/999""","""0/999""","""O""","19952","""Lab""","1995"
"17674","1.0","198","[""CHEM""]","13","""0/999""","[""Gary O. Spessard""]","""9/999""","200","25","""Organometallic Chem""","252","false","","2","""3/999""","""0/999""","""O""","19952","""Research""","1995"
"17675","1.0","204","[""CHEM""]","1","""0/999""","[""Gary O. Spessard""]","""0/999""","200","999","""Internship""","294","true","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17676","1.0","215","[""CHEM""]","5","""0/999""","[""Wesley Pearson""]","""1/999""","300","999","""Organic Analys/Theory""","380","false","","2","""3/999""","""0/999""","""O""","19952","""Research""","1995"
"17677","1.0","225","[""CLASS""]","17","""18/999""","[""Anne Groton""]","""6/999""","100","30","""Ancient Comedy-Tr""","126","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17678","1.0","232","[""CLASS""]","22","""1/999""","[""Steve T. Reece""]","""11/999""","200","30","""Class Studies Greece""","251","false","","2","""6/999""","""2/999""","""C""","19952","""Research""","1995"
"17679","1.0","254","[""ECON""]","30","""30/999""","[""Mark Pernecky""]","""0/999""","100","30","""Capitalism: Struggles""","111","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17680","1.0","261","[""ECON""]","13","""2/999""","[""Xun Pomponio""]","""6/999""","200","999","""Econ Progress China""","218","false","","2","""2/999""","""0/999""","""C""","19952","""Research""","1995"
"17681","1.0","1580","[""ECON""]","7","""1/999""","[""Kathy C. Thomforde""]","""0/999""","200","30","""Arts Management""","229","false","","2","""5/999""","""0/999""","""O""","19952","""Research""","1995"
"17682","1.0","1581","[""ECON""]","16","""1/999""","[""Richard Goedde""]","""5/999""","200","20","""Computer Applications""","230","false","","2","""11/999""","""0/999""","""O""","19952","""Research""","1995"
"17683","1.0","1582","[""ECON""]","18","""7/999""","[""Mary Ann Emery""]","""3/999""","200","40","""Personal Finance""","231","false","","2","""5/999""","""0/999""","""O""","19952","""Research""","1995"
"17684","1.0","273","[""ECON""]","17","""1/999""","[""Bruce Dalgaard""]","""7/999""","200","999","""Britain in Transition""","253","false","","2","""8/999""","""0/999""","""C""","19952","""Research""","1995"
"17685","1.0","276","[""ECON""]","3","""0/999""","[""Paul Wojick""]","""0/999""","200","999","""Internship""","294","true","","2","""3/999""","""0/999""","""O""","19952","""Research""","1995"
"17687","1.0","276","[""ECON""]","1","""0/999""","[""Kathy C. Thomforde""]","""0/999""","200","999","""Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17690","1.0","284","[""ECON""]","1","""0/999""","[""John M. Ophaug""]","""0/999""","300","999","""Internship""","394","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17691","1.0","285","[""ECON""]","1","""0/999""","[""William L. Carlson""]","""0/999""","300","999","""IR/Computer Networkng""","398","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17692","1.0","1617","[""CSCI""]","18","""2/999""","[""Richard Brown""]","""8/999""","200","30","""Computer Organization""","274","false","","2","""7/999""","""0/999""","""O""","19952","""Research""","1995"
"17693","1.0","310","[""EDUC""]","10","""1/999""","[""Myron L. Solid""]","""5/999""","200","30","""Perspectives On Tchg""","260","true","","2","""3/999""","""0/999""","""C""","19952","""Research""","1995"
"17694","1.0","313","[""EDUC""]","1","""0/999""","[""Gloria J. Kiester""]","""0/999""","200","999","""Internship""","294","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17695","1.0","338","[""EDUC""]","24","""1/999""","[""Mark Schelske""]","""12/999""","300","22","""Edu Cross-Cult Hawaii""","378","true","","2","""6/999""","""1/999""","""C""","19952","""Research""","1995"
"17696","1.0","339","[""EDUC""]","10","""2/999""","[""Larry Zimmerman""]","""4/999""","300","15","""Urban Alternative Ed""","379","true","","2","""5/999""","""0/999""","""C""","19952","""Research""","1995"
