"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"25952","1.0","28","[""ART""]","17","""8/999""","","[""John Saurer""]","""10/999""","100","[""FH 18"", ""FH 18""]","20","""Foundation Sculpture""","122","false","","2","""2/999""","""0/999""","""C""","19992","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Research""","1999"
"25953","1.0","40","[""ART""]","14","""5/999""","","[""Janet C. Cameron""]","""1/999""","200","[""FH 21"", ""FH 21""]","13","""Comp-Generatd Imagery""","238","false","","2","""7/999""","""0/999""","""C""","19992","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25954","1.0","44","[""ART""]","18","""7/999""","","[""Jan Shoger""]","""7/999""","200","[""FH 40"", ""FH 40"", ""FH 40""]","20","""Advanced Drawing""","243","false","","2","""3/999""","""3/999""","""C""","19992","[""M-F 0900-1000"", ""M-F 1040-1210PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25955","1.0","50","[""ART""]","23","""12/999""","","[""Kristi Holden""]","""9/999""","200","[""FH 01""]","30","""Origins of Modernism""","251","false","","2","""5/999""","""4/999""","""C""","19992","[""M-F 0100-0300PM""]","""Research""","1999"
"25956","1.0","54","[""ART""]","29","""0/999""","","[""A. Malcolm Gimse""]","""1/999""","200","","15","""Italian Hill Cities""","255","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25957","1.0","48","[""ART""]","17","""0/999""","","[""Ron Gallas""]","""0/999""","200","","15","""Manhattan Art Interim""","262","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25958","1.0","68","[""ART""]","1","""0/999""","","[""Matthew Rohn""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25960","1.0","69","[""ART""]","1","""0/999""","","[""Jan Shoger""]","""0/999""","200","","999","""IS/Biological Illustr""","298","false","""A""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25961","1.0","69","[""ART""]","1","""0/999""","","[""Janet C. Cameron""]","""0/999""","200","","999","""IS/3d and Web Design""","298","false","""B""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25962","1.0","69","[""ART""]","1","""0/999""","","[""A. Malcolm Gimse""]","""0/999""","200","","999","""IS/Sketches of Taipei""","298","false","""C""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25963","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas"", ""John Saurer""]","""0/999""","200","","999","""IS/Ceramic Forms""","298","false","""D""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25964","1.0","69","[""ART""]","1","""0/999""","","[""John Saurer""]","""0/999""","200","","999","""IS/Adv Wood Sculpture""","298","false","""E""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25965","1.0","85","[""ASIAN""]","12","""0/999""","","[""Richard Bodman""]","""0/999""","200","","999","""Nat ID/China & Japan""","212","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25966","1.0","104","[""BIO""]","34","""7/7""","","[""Amy Jessen-Marshall""]","""7/7""","100","[""SC 278"", ""SC 278""]","28","""The Biology of Women""","124","false","","2","""7/7""","""7/7""","""C""","19992","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Research""","1999"
"25967","1.0","106","[""BIO""]","27","""9/999""","","[""Anne Walter""]","""5/999""","100","[""SC 273"", ""SC 273"", ""SC 274""]","24","""Cellular Bio & Genetics""","125","false","","2","""1/999""","""9/999""","""C""","19992","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25968","1.0","110","[""BIO""]","18","""0/6""","","[""Heidi Chial""]","""6/17""","100","[""SC 274"", ""SC 229""]","24","""Genetics/Evolut/Soc""","127","false","","2","""1/12""","""18/17""","""C""","19992","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25969","1.0","111","[""BIO""]","21","""6/6""","","[""Joel Olfelt""]","""6/6""","100","[""SC 211"", ""SC 211""]","24","""Plants and People""","129","false","","2","""6/6""","""6/6""","""C""","19992","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25970","1.0","114","[""BIO""]","17","""2/4""","","[""John Giannini""]","""6/5""","100","[""SC 227""]","18","""Thinking & Doing Bio""","135","false","","2","""6/6""","""4/4""","""C""","19992","[""M-F 0900-0100PM""]","""Research""","1999"
"25971","1.0","116","[""BIO""]","32","""5/6""","","[""Theodore Johnson""]","""6/7""","100","[""SC 129"", ""SC 110""]","24","""Hlth Care: Global Pers""","136","false","","2","""6/7""","""7/7""","""C""","19992","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25972","1.0","133","[""BIO""]","8","""0/999""","","[""David Van Wylen""]","""0/999""","200","","999","""Cardiac Physiology""","250","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25973","1.0","146","[""BIO""]","16","""0/999""","","[""Eugene Bakko""]","""0/999""","200","[""OF INTERIM"", ""OF INTERIM""]","999","""Winter Ecology""","281","false","","2","""0/999""","""0/999""","""C""","19992","[""TW 0800-1000"", ""TW 1040-1200PM""]","""Research""","1999"
"25974","1.0","147","[""BIO""]","12","""0/999""","","[""Louis Henry Kermott""]","""0/999""","200","","999","""Desert Ecology""","282","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25975","1.0","149","[""BIO""]","8","""5/999""","","[""Michael Swift""]","""0/999""","200","[""SC 110"", ""SC 110"", ""SC 253""]","24","""Water Resource Mgmt""","285","false","","2","""3/999""","""0/999""","""O""","19992","[""M-F 0800-1000"", ""M-F 1040-1240PM"", ""M-F 0100-0300PM""]","""Research""","1999"
"25976","1.0","153","[""BIO""]","2","""3/999""","","[""Eugene Bakko""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""1/999""","""O""","19992","","""Research""","1999"
"25977","1.0","153","[""BIO""]","2","""0/999""","","[""Paul Cabe""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25978","1.0","153","[""BIO""]","1","""0/999""","","[""Heidi Chial""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25979","1.0","153","[""BIO""]","2","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25980","1.0","153","[""BIO""]","4","""0/999""","","[""Louis Henry Kermott""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25981","1.0","153","[""BIO""]","1","""0/999""","","[""Charles Jr. Umbanhowar""]","""0/999""","200","","999","""Academic Internship""","294","true","""E""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25982","1.0","153","[""BIO""]","1","""0/999""","","[""Amy Jessen-Marshall""]","""0/999""","200","","999","""Academic Internship""","294","true","""F""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25983","1.0","154","[""BIO""]","1","""1/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Hmong Health Care""","298","false","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25984","1.0","154","[""BIO""]","1","""0/999""","","[""Michael Swift""]","""0/999""","200","","999","""IS/Exotic Species Is""","298","false","""A""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25985","1.0","154","[""BIO""]","1","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Hepatitis C Study""","298","false","""B""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25986","1.0","169","[""BIO""]","11","""3/999""","","[""Paul Cabe""]","""0/999""","300","[""SC 210"", ""SC 210"", ""SC 210""]","18","""Evolution""","383","false","","2","""9/999""","""0/999""","""C""","19992","[""M-Th 0900-1000"", ""M-Th 1040-1240PM"", ""M-Th 0100-0300PM""]","""Research""","1999"
"25987","1.0","175","[""BIO""]","1","""0/999""","","[""Michael Swift""]","""0/999""","300","","999","""IR/Aquatic Invertebra""","398","false","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"25988","1.0","189","[""CHEM""]","48","""1/999""","","[""Paul Fischer""]","""7/999""","100","[""SC 378""]","999","""Chemical Structure""","123","false","","2","""1/999""","""40/999""","""O""","19992","[""M-F 1040-1240PM""]","""Research""","1999"
"25989","1.0","1552","[""CHEM""]","23","""3/6""","","[""Gary Miessler""]","""7/12""","100","[""SC 374""]","24","""Environmental Chem""","124","false","","2","""3/9""","""4/11""","""O""","19992","[""M-F 1040-1200PM""]","""Research""","1999"
"25990","0.0","191","[""CHEM""]","22","""1/6""","","[""Jamie Schneider""]","""0/17""","100","[""SC 371/SC374""]","24","""Envir Chem/Lab""","124","false","","2","""0/11""","""16/23""","""O""","19992","[""MTTh 1230-0330PM""]","""Lab""","1999"
"25991","1.0","198","[""CHEM""]","8","""4/999""","","[""Gary O. Spessard""]","""2/999""","200","[""SC 310""]","999","""Organometallic Chem""","252","false","","2","""1/999""","""0/999""","""O""","19992","[""M-F 1040-1240PM""]","""Research""","1999"
"25992","1.0","215","[""CHEM""]","9","""4/999""","","[""Wesley Pearson""]","""0/999""","300","[""SC 310"", ""SC 310""]","999","""Organic Analys/Theory""","380","false","","2","""6/999""","""0/999""","""O""","19992","[""M-F 0800-1000"", ""M-F 1240-0330PM""]","""Research""","1999"
"25993","0.0","216","[""CHEM""]","7","""3/999""","","[""Wesley Pearson""]","""0/999""","300","[""SC 311""]","999","""Org Analys Th/Lab""","380","false","","2","""5/999""","""0/999""","""O""","19992","[""M-F 1040-0330PM""]","""Lab""","1999"
"25994","1.0","1560","[""CLASS""]","21","""4/7""","","[""Steve T. Reece""]","""4/10""","100","[""M 31""]","25","""Singers of Tales-Tr""","130","false","","2","""1/7""","""18/999""","""C""","19992","[""M-F 1040-1240PM""]","""Research""","1999"
"25995","1.0","232","[""CLASS""]","29","""0/999""","","[""James May""]","""0/999""","200","","30","""Class Studies Greece""","251","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25996","1.0","254","[""ECON""]","26","""4/999""","","[""Steve Soderlind""]","""3/999""","100","[""H 403""]","30","""Capitalism: Struggles""","111","false","","2","""4/999""","""15/999""","""C""","19992","[""M-F 0830-1000""]","""Research""","1999"
"25997","1.0","261","[""ECON""]","14","""0/999""","","[""Xun Pomponio""]","""0/999""","200","","30","""Econ Progress China""","218","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"25998","1.0","1582","[""ECON""]","27","""3/999""","","[""Edward David Emery""]","""1/999""","200","[""H 302"", ""H 302"", ""H 302""]","25","""Personal Finance""","231","false","","2","""10/999""","""6/999""","""C""","19992","[""MWF 0900-1000"", ""MWF 1045-1145"", ""MWF 0115-0230PM""]","""Research""","1999"
"25999","1.0","273","[""ECON""]","17","""0/999""","","[""William L. Carlson""]","""0/999""","200","","19","""Britain in Transition""","253","false","","2","""0/999""","""0/999""","""C""","19992","","""Research""","1999"
"26000","1.0","276","[""ECON""]","2","""0/999""","","[""Steve Soderlind""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"26001","1.0","276","[""ECON""]","1","""0/999""","","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"26002","1.0","284","[""ECON""]","1","""0/999""","","[""Paul Wojick""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"26003","1.0","299","[""CSCI""]","1","""0/999""","","[""Steven McKelvey""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"26004","1.0","1618","[""CSCI""]","12","""9/999""","","[""Richard Brown""]","""0/999""","300","[""SC 184"", ""SC 184""]","18","""Seminar Computer Sci""","378","false","","2","""5/999""","""2/999""","""O""","19992","[""M-F 0830-1000"", ""M-F 0100-0300PM""]","""Seminar""","1999"
"26005","1.0","306","[""CSCI""]","1","""0/999""","","[""Matthew Richey""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"26006","1.0","310","[""EDUC""]","18","""0/999""","","[""Mark Schelske""]","""0/999""","200","","999","""Perspectives On Tchg""","260","true","","2","""1/999""","""0/0""","""C""","19992","","""Research""","1999"
"26008","1.0","339","[""EDUC""]","34","""1/999""","","[""Larry Zimmerman""]","""0/0""","300","","35","""Urban Alternative Ed""","379","true","","2","""1/999""","""0/0""","""C""","19992","","""Research""","1999"
"26009","1.0","345","[""EDUC""]","1","""1/999""","","[""Rosemary A. Pfarr-Baker""]","""0/999""","300","","999","""IR/Teaching of Relig""","398","false","","2","""0/999""","""0/999""","""O""","19992","","""Research""","1999"
"26010","1.0","1646","[""DNCTH""]","","","","[""Judith Nelson""]","","100","[""CHM 140""]","","""Creative Dance/Child""","120","false","","2","","","""C""","19992","[""M-Th 0900-1200PM""]","""Research""","1999"
"26011","1.0","367","[""DNCTH""]","","","","[""Anne von Bibra""]","","100","[""CHM 233"", ""CTR ST""]","","""World Dance Tradit'ns""","124","false","","2","","","""C""","19992","[""MTThF 1040-1210PM"", ""MTThF 0115-0300PM""]","""Research""","1999"
