"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"26948","1.0","68","[""ART""]","1","""0/999""","[""Steven Edwins""]","""0/999""","200","","999","""Academic Internship""","294","true","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26949","1.0","172","[""BIO""]","1","""0/999""","[""Eugene Bakko""]","""0/999""","300","","999","""Top: Museum Prep""","391","false","4","""0/999""","""0/999""","""C""","19994","","""Topic""","1999"
"26950","1.0","196","[""CHEM""]","25","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 0800-0930""]","""Research""","1999"
"26951","0.25","199","[""CHEM""]","23","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","24","""Synthesis Lab""","253","true","4","""0/999""","""0/999""","""O""","19994","[""MT 0100-0400PM""]","""Lab""","1999"
"26952","1.0","259","[""ECON""]","7","""0/999""","[""Steve Soderlind""]","""0/999""","100","[""H 403""]","999","""Principles of Econ""","121","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 0800-0930""]","""Research""","1999"
"26953","1.0","272","[""ECON""]","3","""0/999""","[""Steve Soderlind""]","""0/999""","200","[""H 403""]","999","""Urban Economics""","249","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1000-1130""]","""Research""","1999"
"26954","1.0","410","[""ENGL""]","4","""0/999""","[""Joan Hepburn""]","""0/999""","200","[""L 420""]","999","""Amer Racial/Multi Lit""","245","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1230-0200PM""]","""Research""","1999"
"26955","1.0","411","[""ENGL""]","8","""0/999""","[""Joseph L. Mbele""]","""0/999""","200","[""L 421""]","999","""Post-Colonial Lit""","247","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1000-1130""]","""Research""","1999"
"26956","1.0","437","[""ENGL""]","3","""0/999""","[""Joan Hepburn""]","""0/999""","300","[""L 420""]","999","""African Amer Wmn/Lit""","345","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1230-0200PM""]","""Topic""","1999"
"26957","1.0","438","[""ENGL""]","5","""0/999""","[""Joseph L. Mbele""]","""0/999""","300","[""L 421""]","999","""Post-Col/3rd Wld Lit""","347","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1000-1130""]","""Topic""","1999"
"26958","1.0","464","[""ENVST""]","3","""0/999""","[""Staff""]","""0/999""","200","","3","""Academic Internship""","294","true","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26959","1.0","465","[""ENVST""]","0","""0/999""","[""Staff""]","""0/999""","200","","1","""IS/Env Sustainability""","298","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26960","1.0","504","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German I""","111","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26961","1.0","505","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German II""","112","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26962","1.0","508","[""GERM""]","2","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","200","","999","""Intermed German I""","231","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26964","1.0","649","[""FAMST""]","5","""0/999""","[""C. George Holt""]","""0/999""","200","[""M 4""]","999","""Family Relationships""","242","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1000-1130""]","""Research""","1999"
"26965","1.0","651","[""FAMST""]","9","""0/999""","[""C. George Holt""]","""0/999""","200","[""M 4""]","999","""Human Sexuality""","253","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 0800-0930""]","""Research""","1999"
"26966","1.0","733","[""MATH""]","4","""0/999""","[""Peder Bolstad""]","""0/999""","100","","999","""Calculus II""","126","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26967","1.0","736","[""MATH""]","3","""0/999""","[""Kenneth Alberts""]","""0/999""","200","","999","""Elem Linear Algebra""","220","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26968","1.0","738","[""MATH""]","5","""0/999""","[""Kenneth Alberts""]","""0/999""","200","","999","""Multivariable Calc""","226","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26969","0.25","799","[""MUSIC""]","2","""0/999""","[""Charles Forsberg""]","""0/999""","100","[""CHM 224""]","999","""Ear/Keyboard I""","111","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 0800-0930""]","""Research""","1999"
"26970","0.75","801","[""MUSIC""]","5","""0/999""","[""Charles Forsberg""]","""0/999""","100","[""CHM 224""]","999","""Theory I""","113","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1000-1130""]","""Research""","1999"
"26971","1.0","803","[""MUSIC""]","3","""0/999""","[""Charles Forsberg""]","""0/999""","100","[""CHM 224""]","999","""The Music Spectrum""","130","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1230-0200PM""]","""Research""","1999"
"26972","1.0","821","[""MUSIC""]","4","""0/999""","[""Charles Forsberg""]","""0/999""","200","","999","""Counterpoint""","222","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26973","1.0","979","[""PHIL""]","4","""0/999""","[""Corliss Swain""]","""0/999""","200","[""L 515""]","999","""Ethics/The Good Life""","252","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1230-0200PM""]","""Research""","1999"
"26974","1.0","983","[""PHIL""]","12","""0/999""","[""Gordon D. Marino""]","""0/999""","200","[""L 520""]","999","""Vices and Virtues""","258","false","4","""0/999""","""0/999""","""O""","19994","[""M-Th 1000-1130""]","""Research""","1999"
"26975","0.25","2185","[""PEAC""]","5","""0/999""","[""Christine Daymont""]","""0/999""","100","","999","""Individual Fitness""","132","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26976","0.25","1016","[""PEAC""]","10","""0/999""","[""Christine Daymont""]","""0/999""","100","","999","""Wt Training Co-Ed .25""","140","false","4","""0/999""","""0/999""","""O""","19994","","""Research""","1999"
"26977","1.0","1072","[""PHYS""]","15","""0/999""","[""Dahl David A.""]","""0/999""","100","[""SC 170"", ""SC 111""]","999","""Principles Physics I""","124","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1000-1130"", ""WTh 0100-0300PM""]","""Research""","1999"
"26978","1.0","1195","[""REL""]","7","""0/999""","[""Daniel Malotky""]","""0/999""","200","[""L 577""]","999","""Chri Theol/Moral Life""","207","false","4","""0/999""","""0/999""","""O""","19994","[""M-F 1230-0200PM""]","""Research""","1999"
