"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"93676","1.0","26217","[""HIST""]","19","""4/999""","","","","[""Timothy R. Howe""]","""3/999""","200","","999","""Archaeological Methods""","202","false","""H""","5","""4/999""","""8/999""","""O""","20135","","""Mediterranean Archaeology Field School""","""Research""","2013"
"96745","1.0","20060","[""REL""]","8","""0/999""","[""BTS-T"", ""WRI""]","","""R""","[""Gregory A. Walter""]","""0/999""","200","[""OM 110""]","999","""Quest of Ring/Grail/Cross""","238","false","","5","""1/999""","""7/999""","""O""","20135","[""M-F 0800-0930""]","""Quest of the Ring, the Grail, and the Cross""","""Research""","2013"
"96746","1.0","1237","[""REL""]","4","""0/999""","[""EIN"", ""WRI""]","","","[""Gregory A. Walter""]","""0/999""","200","[""OM 110""]","999","""Rel Pluralsm/Communit""","293","false","","5","""2/999""","""2/999""","""O""","20135","[""M-F 1000-1130""]","""Religious Pluralism and the Nature of Community""","""Research""","2013"
"96750","0.5","1012","[""ESAC""]","0","""0/999""","[""SPM""]","","","[""Andrea J. Gelle""]","""0/999""","100","[""SAC 112""]","999","""Individual Fitness.50""","133","false","","5","""0/999""","""0/999""","""X""","20135","[""M-F 0800-0930""]","""Individual Fitness""","""Research""","2013"
"96751","0.5","1016","[""ESAC""]","4","""0/999""","[""SPM""]","","","[""Michael M. Ludwig""]","""1/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","5","""0/999""","""3/999""","""O""","20135","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2013"
"96781","1.0","499","[""ID""]","14","""0/999""","[""HBS"", ""MCG""]","","","[""Robert W. McClure""]","""7/999""","200","[""TOH 212""]","999","""Human Geography""","234","false","","5","""0/999""","""7/999""","""O""","20135","[""M-F 1230-0200PM""]","""Human Geography of the Middle East""","""Research""","2013"
"96786","1.0","18778","[""ENVST""]","0","""0/999""","","","","[""Mark Allister""]","""0/999""","200","","999","""Top: Food: Soil to Plate""","281","false","","5","""0/999""","""0/999""","""X""","20135","[""M-F 1230-0200PM""]","""Topics in Environmental Studies""","""Topic""","2013"
"96809","1.0","1325","[""SPAN""]","0","""0/999""","","","","[""Kris A. Cropsey""]","""0/999""","100","[""TOH 310""]","999","""Beginning Spanish II""","112","false","","5","""0/999""","""0/999""","""O""","20135","[""M-F 1000-1130""]","","""Research""","2013"
"96955","1.0","194","[""CHEM""]","10","""4/999""","[""SED""]","194","","[""Patrick N. Riley""]","""0/999""","100","[""RNS 310""]","999","""Chemical Reactions""","126","false","","5","""2/999""","""4/999""","""O""","20135","[""M-F 1000-1130""]","""Energies and Rates of Chemical Reactions""","""Research""","2013"
"96956","0.0","195","[""CHEM""]","10","""4/999""","","194","","[""Patrick N. Riley""]","""0/999""","100","[""RNS 355""]","999","""Chemical Reactions Lab""","126","false","","5","""2/999""","""4/999""","""O""","20135","[""MW 0100-0400PM""]","","""Lab""","2013"
"96986","1.0","25856","[""ENGL""]","5","""0/999""","[""ALS-L""]","","""R""","[""Mark Allister""]","""1/999""","200","[""RML 420""]","999","""Romanticism & Rock Music""","266","false","","5","""1/999""","""3/999""","""O""","20135","[""M-F 1000-1130""]","""Romanticism and Rock Music""","""Research""","2013"
"96990","1.0","197","[""CHEM""]","34","""3/999""","","","","[""Wesley Pearson""]","""7/999""","200","[""RNS 310""]","999","""Organic Chemistry II""","248","false","","5","""5/999""","""19/999""","""O""","20135","[""M-F 0800-0930""]","","""Research""","2013"
"96991","0.25","200","[""CHEM""]","16","""1/999""","","","","[""Marc D. Scholten""]","""7/999""","200","[""RNS 340""]","999","""Synthesis Lab II""","254","true","""A""","5","""0/999""","""8/999""","""C""","20135","[""MW 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2013"
"96992","0.25","200","[""CHEM""]","15","""2/999""","","","","[""Marc D. Scholten""]","""0/999""","200","[""RNS 340""]","999","""Synthesis Lab II""","254","true","""B""","5","""4/999""","""9/999""","""O""","20135","[""TTh 0100-0400PM""]","""Synthesis Laboratory II""","""Lab""","2013"
"97052","1.0","1074","[""PHYS""]","7","""0/999""","[""SED""]","1074","","[""Stanley Trout""]","""1/999""","100","[""RNS 210""]","999","""Principles Physics II""","125","false","","5","""2/999""","""4/999""","""O""","20135","[""M-F 1000-1200PM""]","""Principles of Physics II""","""Research""","2013"
"97053","0.0","1075","[""PHYS""]","7","""0/999""","","1074","","[""Stanley Trout""]","""1/999""","100","[""RNS 292""]","999","""Principles Physics II Lab""","125","false","","5","""2/999""","""4/999""","""O""","20135","[""MW 0100-0330PM""]","","""Lab""","2013"
"97055","1.0","805","[""MUSIC""]","0","""0/999""","[""ALS-A"", ""ORC""]","","","[""David Carter""]","""0/999""","100","[""CHM 232""]","999","""Orchestral Music""","132","false","","5","""0/999""","""0/999""","""X""","20135","[""M-F 0800-0930""]","","""Research""","2013"
"97081","1.0","24283","[""PSCI""]","8","""0/999""","[""HBS"", ""MCD""]","","""R""","[""Joshua Anderson""]","""4/999""","200","[""RNS 284""]","999","""Race and Politics""","244","false","","5","""0/999""","""4/999""","""O""","20135","[""M-F 1000-1130""]","""Race and American Politics""","""Research""","2013"
