"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"4711","1.0","9","[""AMST""]","29","""0/999""","","[""Judy Kutulas""]","""0/999""","200","[""HH 413"", ""HH 413""]","25","""Top: Amer Adolescence""","209","false","","3","""15/999""","""0/999""","""C""","20023","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Topic""","2002"
"4712","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Habits of My Heart""","298","false","","3","""0/999""","""0/999""","""O""","20023","","""Research""","2002"
"4713","1.0","13","[""AMST""]","21","""0/999""","","[""James Farrell""]","""1/999""","300","[""HH 514""]","18","""Sem: Consumer Culture""","301","false","","3","""8/999""","""0/999""","""C""","20023","[""MWF 1255-0150PM""]","""Seminar""","2002"
"4714","0.5","19","[""ART""]","23","""6/4""","","[""Jil Evans""]","""3/3""","100","[""DC 216"", ""DC 216""]","22","""Found Perceptual Draw""","111","false","""A""","3","""3/3""","""6/7""","""C""","20023","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2002"
"4715","0.5","19","[""ART""]","18","""6/4""","","[""John Saurer""]","""3/3""","100","[""DC 216""]","22","""Found Perceptual Draw""","111","false","""B""","3","""3/3""","""4/6""","""C""","20023","[""MWF 1045-1140""]","""Research""","2002"
"4716","0.5","20","[""ART""]","24","""6/4""","","[""Jil Evans""]","""2/2""","100","[""DC 216"", ""DC 216""]","22","""Found Conceptual Draw""","112","false","","3","""2/2""","""3/3""","""C""","20023","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2002"
"4717","0.5","21","[""ART""]","22","""6/4""","","[""Jil Evans""]","""2/2""","100","[""DC 116"", ""DC 116""]","22","""Found Color Design""","113","false","""A""","3","""2/2""","""6/7""","""C""","20023","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2002"
"4718","0.5","21","[""ART""]","27","""6/2""","","[""Wendell Arneson""]","""2/1""","100","[""DC 116""]","22","""Found Color Design""","113","false","""B""","3","""3/3""","""3/2""","""C""","20023","[""MWF 0905-1000""]","""Research""","2002"
"4719","0.5","22","[""ART""]","16","""1/1""","","[""Irve Dell""]","""3/1""","100","[""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","114","false","","3","""2/2""","""2/1""","""C""","20023","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2002"
"4720","0.5","23","[""ART""]","18","""4/4""","","[""Justin Newhall""]","""2/2""","100","[""DC 102""]","20","""Found Photography""","115","false","""A""","3","""2/2""","""6/5""","""C""","20023","[""MWF 0800-0855""]","""Research""","2002"
"4721","0.5","23","[""ART""]","16","""3/3""","","[""Justin Newhall""]","""2/2""","100","[""DC 102""]","20","""Found Photography""","115","false","""B""","3","""3/3""","""2/2""","""C""","20023","[""MWF 0905-1000""]","""Research""","2002"
"4722","0.5","25","[""ART""]","13","""4/4""","","[""David E. Ryan""]","""0/0""","100","[""DC 100"", ""DC 100""]","15","""Foundn Digital Media""","117","false","","3","""1/1""","""1/2""","""C""","20023","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2002"
"4723","0.5","26","[""ART""]","17","""4/4""","","[""Monica Rudquist""]","""4/4""","100","[""DC 115E"", ""DC 115E""]","20","""Found Ceramics: Wheel""","119","false","""A""","3","""3/3""","""2/2""","""C""","20023","[""T 0300-0430PM"", ""Th 0400-0530PM""]","""Research""","2002"
"4724","0.5","26","[""ART""]","6","""0/0""","","[""Monica Rudquist""]","""0/0""","100","[""DC 115E"", ""DC 115E""]","10","""Found Ceramics: Wheel""","119","false","""B""","3","""2/2""","""0/0""","""C""","20023","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2002"
"4725","1.0","32","[""ART""]","39","""19/14""","","[""Heather M. Brooks-Shirey""]","""3/3""","100","[""DC 305"", ""DC 305""]","40","""Renaissance--Present""","151","false","","3","""2/2""","""8/4""","""C""","20023","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2002"
"4726","1.0","34","[""ART""]","22","""1/999""","","[""Wendell Arneson""]","""6/999""","200","[""DC 116""]","22","""Watercolor Painting""","222","false","","3","""5/999""","""2/999""","""C""","20023","[""MWF 1255-0255PM""]","""Research""","2002"
"4727","1.0","36","[""ART""]","12","""1/999""","","[""Irve Dell""]","""1/999""","200","[""DC 105"", ""DC 105""]","15","""Sculpt: Metal Direct""","224","false","","3","""0/999""","""2/999""","""O""","20023","[""T 1145-0245PM"", ""Th 1245-0335PM""]","""Research""","2002"
"4728","1.0","38","[""ART""]","13","""0/999""","","[""Jan Shoger""]","""4/999""","200","[""DC 212""]","16","""Printmkg: Relief/Litho""","226","false","","3","""1/999""","""2/999""","""O""","20023","[""MWF 1045-1245PM""]","""Research""","2002"
"4729","1.0","43","[""ART""]","21","""0/999""","","[""John Saurer""]","""4/999""","200","[""DC 216""]","20","""Figure Drawing""","232","false","","3","""2/999""","""1/999""","""C""","20023","[""MWF 0800-1000""]","""Research""","2002"
"4730","1.0","45","[""ART""]","12","""2/999""","","[""Monica Rudquist""]","""2/999""","200","[""DC 115C"", ""DC 115C""]","10","""Ceramics""","234","false","","3","""3/999""","""1/999""","""C""","20023","[""T 1145-0245PM"", ""Th 1245-0335PM""]","""Research""","2002"
