"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"6401","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/Sustain/Community""","298","false","","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6402","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/WTO/Globalization""","298","false","""A""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6403","1.0","28","[""ART""]","19","""8/999""","","[""Mollie Rabiner""]","""0/999""","100","[""DC 106"", ""DC 106"", ""DC 106""]","18","""Foundation Sculpture""","122","false","","2","""0/999""","""1/999""","""C""","20032","[""M-F 0900-1000"", ""M-F 1040-1210PM"", ""M-F 0100-0300PM""]","""Research""","2003"
"6404","1.0","44","[""ART""]","8","""1/999""","","[""Kristen Lowe""]","""0/999""","200","[""DC 216"", ""DC 216"", ""DC 216""]","20","""Advanced Drawing""","233","false","","2","""1/999""","""0/999""","""O""","20032","[""M-F 0900-1000"", ""M-F 1040-1210PM"", ""M-F 0100-0300PM""]","""Research""","2003"
"6405","1.0","48","[""ART""]","17","""0/999""","","[""John Saurer""]","""0/999""","200","","15","""Manhattan Art Interim""","246","false","","2","""0/999""","""0/999""","""C""","20032","","""Research""","2003"
"6406","1.0","52","[""ART""]","35","""7/999""","","[""Matthew Rohn""]","""7/999""","200","[""DC 305""]","40","""Art Since 1950""","253","false","","2","""6/999""","""7/999""","""C""","20032","[""M-F 0100-0300PM""]","""Research""","2003"
"6407","1.0","54","[""ART""]","20","""1/999""","","[""Nancy M. Thompson""]","""0/999""","200","","15","""Ital Art in Context""","255","false","","2","""0/999""","""0/999""","""C""","20032","","""Research""","2003"
"6408","1.0","68","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6409","1.0","68","[""ART""]","1","""0/999""","","[""Heather M. Brooks-Shirey""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6410","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""2/999""","200","","999","""IS/Ceramics Hand""","298","false","","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6411","1.0","69","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Adv Painting""","298","false","""A""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6412","1.0","69","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Pre-Sr Studies""","298","false","""B""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6413","1.0","75","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","300","","999","""IR/Drawing-Vis Poetry""","398","false","","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6414","1.0","75","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","300","","999","""IR/Adv Drawing II""","398","false","""A""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6415","1.0","75","[""ART""]","1","""0/999""","","[""Margaret Ojala""]","""0/999""","300","","999","""IR/Photography India""","398","false","""B""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6416","1.0","79","[""ASIAN""]","28","""13/13""","","[""Phyllis Hyland Larson""]","""5/4""","100","[""HH 501"", ""HH 501""]","35","""Intro Japnese Film-Tr""","124","false","","2","""4/4""","""9/999""","""O""","20032","[""M-Th 1040-1240PM"", ""M-Th 0100-0300PM""]","""Research""","2003"
"6417","1.0","81","[""ASIAN""]","8","""4/999""","","[""Shannon Cannella""]","""1/999""","100","[""OM 002"", ""OM 002""]","25","""Cont Chinese Women Wr""","151","false","","2","""3/999""","""0/999""","""O""","20032","[""M-Th 1040-1240PM"", ""M-Th 0200-0300PM""]","""Research""","2003"
"6418","1.0","85","[""ASIAN""]","21","""0/999""","","[""Pin Pin Wan""]","""0/999""","200","","20","""Nat ID/China & Japan""","212","false","","2","""0/999""","""0/999""","""C""","20032","","""Research""","2003"
"6419","1.0","90","[""ASIAN""]","6","""0/0""","","[""Katherine S. Tegtmeyer Pak""]","""3/999""","200","[""OM 015""]","20","""Intl Politics Ne Asia""","245","false","","2","""1/999""","""1/999""","""O""","20032","[""M-F 0100-0300PM""]","""Research""","2003"
"6420","1.0","94","[""ASIAN""]","1","""1/999""","","[""Pin Pin Wan""]","""0/999""","200","","999","""IS/China's Education""","298","false","","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6421","1.0","94","[""ASIAN""]","1","""0/999""","","[""Barbara Reed""]","""0/999""","200","","999","""IS/Cao-Dai Religion""","298","false","""A""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6422","1.0","104","[""BIO""]","25","""6/6""","","[""Mary C. Henry""]","""6/6""","100","[""SC 130"", ""SC 130""]","24","""The Biology of Women""","124","false","""A""","2","""6/6""","""6/6""","""C""","20032","[""M-F 1040-1240PM"", ""M-F 0200-0300PM""]","""Research""","2003"
"6423","1.0","104","[""BIO""]","26","""6/6""","","[""Diane M. Maher""]","""2/6""","100","[""SC 274"", ""SC 278""]","24","""The Biology of Women""","124","false","""B""","2","""6/6""","""9/9""","""C""","20032","[""MTThF 1040-1200PM"", ""MTThF 0100-0300PM""]","""Research""","2003"
"6424","1.0","106","[""BIO""]","23","""23/999""","","[""Jason D. Hill""]","""0/999""","100","[""SC 273"", ""SC 273"", ""SC 274""]","24","""Cellular Bio & Genetics""","125","false","","2","""0/999""","""2/999""","""C""","20032","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2003"
"6425","1.0","110","[""BIO""]","24","""6/6""","","[""Jean C. Porterfield""]","""4/8""","100","[""SC 278"", ""SC 211""]","24","""Genetics/Evolut/Soc""","127","false","","2","""2/7""","""11/12""","""C""","20032","[""M-F 1040-1200PM"", ""TWTh 0100-0300PM""]","""Research""","2003"
"6426","1.0","114","[""BIO""]","24","""6/6""","","[""John Giannini""]","""7/7""","100","[""SC 227"", ""SC 227""]","24","""Thinking & Doing Bio""","135","false","","2","""5/6""","""6/6""","""C""","20032","[""M-F 0900-1000"", ""M-F 1040-0100PM""]","""Research""","2003"
"6427","1.0","133","[""BIO""]","8","""0/999""","","[""David Van Wylen""]","""0/999""","200","","15","""Cardiac Physiology""","250","false","","2","""0/999""","""0/999""","""C""","20032","","""Research""","2003"
"6428","1.0","138","[""BIO""]","12","""0/999""","","[""Eric Cole""]","""0/999""","200","","15","""Island Biol/Polynesia""","258","false","","2","""0/999""","""1/999""","""C""","20032","","""Research""","2003"
"6429","1.0","146","[""BIO""]","10","""0/999""","","[""Charles Jr. Umbanhowar""]","""0/999""","200","","15","""Winter Ecology""","281","false","","2","""0/999""","""0/999""","""C""","20032","","""Research""","2003"
"6430","1.0","147","[""BIO""]","12","""0/999""","","[""Kimberly A. Kandl""]","""0/999""","200","","15","""Desert Biology""","282","false","","2","""0/999""","""0/999""","""C""","20032","","""Research""","2003"
"6431","1.0","149","[""BIO""]","4","""0/0""","","[""Michael Swift""]","""0/999""","200","[""SC 248"", ""SC 248"", ""SC 248""]","24","""Water Resource Mgmt""","285","false","","2","""3/999""","""0/999""","""O""","20032","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Research""","2003"
"6432","1.0","153","[""BIO""]","3","""0/999""","","[""Diane K. Angell""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""O""","20032","","""Research""","2003"
"6433","1.0","153","[""BIO""]","2","""0/999""","","[""Eugene Bakko""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6434","1.0","153","[""BIO""]","2","""0/999""","","[""John Giannini""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6435","1.0","153","[""BIO""]","1","""0/999""","","[""Paul T. Jackson""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6436","1.0","153","[""BIO""]","2","""0/999""","","[""Theodore Johnson""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6437","1.0","153","[""BIO""]","1","""0/999""","","[""Kimberly A. Kandl""]","""0/999""","200","","999","""Academic Internship""","294","true","""E""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6438","1.0","153","[""BIO""]","6","""0/999""","","[""Louis Henry Kermott""]","""0/999""","200","","999","""Academic Internship""","294","true","""F""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6439","1.0","153","[""BIO""]","2","""0/999""","","[""Jean C. Porterfield""]","""0/999""","200","","999","""Academic Internship""","294","true","""G""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6440","1.0","153","[""BIO""]","1","""0/999""","","[""Michael Swift""]","""0/999""","200","","999","""Academic Internship""","294","true","""H""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
"6441","1.0","153","[""BIO""]","2","""0/999""","","[""David Van Wylen""]","""0/999""","200","","999","""Academic Internship""","294","true","""I""","2","""0/999""","""0/999""","""O""","20032","","""Research""","2003"
