"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"10178","1.0","1119","[""PSCI""]","0","""0/999""","","[""D Christopher Brooks""]","""0/999""","200","[""RML 421""]","999","""Distributive Justice""","249","false","4","""0/999""","""0/999""","""X""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10179","1.0","1209","[""REL""]","18","""0/999""","","[""Edmund Santurri""]","""0/999""","200","[""RML 420""]","999","""God & Human Suffering""","225","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10180","1.0","1308","[""SOAN""]","6","""0/999""","","[""Michael Leming""]","""0/999""","200","[""HH 515""]","999","""Dying,Death,Bereave""","248","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 0800-0930""]","""Research""","2004"
"10181","1.0","1317","[""SOAN""]","0","""0/999""","","[""Michael Leming""]","""0/999""","300","[""HH 515""]","999","""Found Soc Sci Resrch""","371","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10182","1.0","1324","[""SPAN""]","0","""0/999""","","[""Joseph McClanahan""]","""0/999""","100","[""OM 021""]","999","""Beginning Spanish I""","111","false","4","""0/999""","""0/999""","""X""","20044","[""M-F 1000-1130""]","""Research""","2004"
"47422","1.0","337","[""EDUC""]","1","""0/0""","","[""Mark Schelske""]","""0/0""","300","","0","""The Exceptional Child""","376","false","4","""0/0""","""0/0""","""C""","20044","","""Research""","2004"
"47438","1.0","1236","[""REL""]","0","""0/0""","","[""Douglas Schuurman""]","""0/0""","200","","0","""Academic Internship""","294","true","4","""0/0""","""0/0""","""O""","20044","","""Research""","2004"
"47499","1.0","956","[""NURS""]","11","""0/0""","","[""Rita Glazebrook""]","""0/0""","300","","0","""Health Care-America""","372","false","4","""0/0""","""0/0""","""C""","20044","","""Research""","2004"
"47729","1.0","1374","[""THEAT""]","0","""0/0""","","[""Karen Wilson""]","""0/0""","100","","0","""Oral Interpretation""","100","false","4","""0/0""","""0/0""","""C""","20044","","""Research""","2004"

