"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"114378","1.0","16235","[""MATH""]","","","","","[""Matthew Wright""]","200","[""TOH 184""]","""Modern Computational Math""","242","false","""A""","3","""O""","20173","[""MWF 1150-1245PM""]","""Modern Computational Mathematics""","""Research""","2017"
"114379","1.0","16235","[""MATH""]","","","","","[""Matthew Wright""]","200","[""TOH 184""]","""Modern Computational Math""","242","false","""B""","3","""O""","20173","[""MWF 1255-0150PM""]","""Modern Computational Mathematics""","""Research""","2017"
"114380","0.25","351","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Anthony Roberts""]","100","[""CAD Studio 1""]","""Modern Dance I""","111","true","","3","""O""","20173","[""MF 1045-1140""]","","""Research""","2017"
"114381","0.25","358","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Heather J. Klopchin""]","200","[""CAD Studio 1"", ""CAD Studio 1""]","""Modern Dance II""","211","false","""A""","3","""O""","20173","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2017"
"114382","0.5","357","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Heather J. Klopchin""]","200","[""CAD Studio 1"", ""CAD Studio 1""]","""Modern Dance II""","210","false","""A""","3","""O""","20173","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2017"
"114385","0.5","362","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Janice Roberts""]","300","[""CAD Studio 1""]","""Modern III""","310","false","","3","""O""","20173","[""MWF 0200-0330PM""]","","""Research""","2017"
"114386","0.25","363","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Janice Roberts""]","300","[""CAD Studio 1""]","""Modern III""","311","false","","3","""O""","20173","[""MWF 0200-0330PM""]","","""Research""","2017"
"114387","1.0","971","[""PHIL""]","[""HWC"", ""WRI""]","","","","[""Charles Taliaferro""]","200","[""OM 140""]","""Modern Philosophy""","236","false","","3","""O""","20173","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""History of Modern Philosophy""","""Research""","2017"
"114389","0.25","1083","[""PHYS""]","","","","","[""Alden Adolph""]","200","[""RNS 298""]","""Modern Phys Lab (244)""","245","false","""A""","3","""O""","20173","[""M 1150-0250PM""]","""Modern Physics Laboratory""","""Lab""","2017"
"114390","0.25","1083","[""PHYS""]","","","","","[""Alden Adolph""]","200","[""RNS 298""]","""Modern Phys Lab (244)""","245","false","""B""","3","""O""","20173","[""T 0800-1100""]","""Modern Physics Laboratory""","""Lab""","2017"
