"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"26168","1.0","6","[""AMST""]","25","""0/999""","","[""Mark Allister""]","""0/999""","200","[""L 525""]","25","""Being Male in America""","206","false","","3","""25/999""","""0/999""","""C""","19993","[""MWF 1150-1245PM""]","""Research""","1999"
"26169","1.0","12","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","200","","999","""IS/America and Asia""","298","false","","3","""0/999""","""0/999""","""O""","19993","","""Research""","1999"
"26170","1.0","13","[""AMST""]","22","""0/999""","","[""Judy Kutulas""]","""11/999""","300","[""H 515""]","20","""Sem: Amer Wm of Color""","301","false","","3","""9/999""","""0/999""","""C""","19993","[""TTh 1145-0110PM""]","""Seminar""","1999"
"26171","1.0","15","[""AMST""]","1","""0/999""","","[""James Farrell""]","""0/999""","300","","999","""IR/Nps Research""","398","false","","3","""0/999""","""0/999""","""O""","19993","","""Research""","1999"
"26172","1.0","16","[""AFAM""]","39","""0/999""","","[""Joseph L. Mbele""]","""10/999""","200","[""L 577""]","30","""Africa & the Americas""","231","false","","3","""20/999""","""0/999""","""C""","19993","[""TTh 0935-1100""]","""Seminar""","1999"
"26174","0.5","20","[""ART""]","21","""13/999""","","[""Jan Shoger""]","""3/3""","100","[""FH 42""]","22","""Found Conceptual Draw""","112","false","","3","""3/3""","""3/8""","""C""","19993","[""MWF 0905-1000""]","""Research""","1999"
"26176","0.5","22","[""ART""]","16","""8/999""","","[""John Saurer""]","""3/5""","100","[""FH 18""]","16","""Foundation Sculpture""","114","false","""A""","3","""2/3""","""3/6""","""C""","19993","[""TTh 0800-0925""]","""Research""","1999"
"26177","0.5","22","[""ART""]","15","""10/999""","","[""Irve Dell""]","""1/4""","100","[""FH 18""]","16","""Foundation Sculpture""","114","false","""B""","3","""3/3""","""2/7""","""O""","19993","[""TTh 0935-1100""]","""Research""","1999"
"26178","0.5","23","[""ART""]","15","""4/999""","","[""Margaret Ojala""]","""6/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""A""","3","""5/5""","""5/5""","""C""","19993","[""TTh 0800-0925""]","""Research""","1999"
"26179","0.5","23","[""ART""]","19","""5/999""","","[""Margaret Ojala""]","""5/5""","100","[""FH 2""]","20","""Found Photography""","115","false","""B""","3","""5/5""","""5/5""","""C""","19993","[""TTh 0935-1100""]","""Research""","1999"
"26180","0.5","26","[""ART""]","15","""4/999""","","[""Ron Gallas""]","""3/3""","100","[""FH 19""]","15","""Found Ceramics: Wheel""","119","false","","3","""4/3""","""4/4""","""C""","19993","[""TTh 0935-1100""]","""Research""","1999"
"26181","1.0","32","[""ART""]","40","""0/999""","","[""Perette Michelli""]","""24/999""","100","[""FH 01""]","30","""Renaissance--Present""","151","false","","3","""6/999""","""0/999""","""C""","19993","[""MWF 0200-0255PM""]","""Research""","1999"
"26182","1.0","63","[""ART""]","18","""2/999""","","[""A. Malcolm Gimse""]","""0/999""","200","[""FH SEM""]","20","""African Art History""","207","false","","3","""4/999""","""5/999""","""O""","19993","[""MWF 0200-0255PM""]","""Research""","1999"
"26183","1.0","33","[""ART""]","19","""0/999""","","[""Mary Griep""]","""11/999""","200","[""FH 40""]","20","""Oil/Acrylic Painting""","231","false","","3","""9/999""","""0/999""","""C""","19993","[""MWF 0800-1000""]","""Research""","1999"
"26184","1.0","36","[""ART""]","9","""0/999""","","[""John Saurer""]","""0/999""","200","[""FH 18""]","10","""Sculpt: Direct Metal""","234","false","","3","""3/999""","""6/999""","""O""","19993","[""TTh 1145-0245PM""]","""Research""","1999"
"26185","1.0","39","[""ART""]","13","""2/999""","","[""Jan Shoger""]","""6/999""","200","[""FH 44""]","15","""Printmkg: Intaglio/Mono""","237","false","","3","""2/999""","""5/999""","""O""","19993","[""MWF 1045-1245PM""]","""Research""","1999"
"26186","1.0","42","[""ART""]","9","""1/999""","","[""Thomas Jacobsen""]","""8/999""","200","[""FH 21""]","13","""Motion Graphics""","240","false","","3","""1/999""","""1/999""","""O""","19993","[""MW 0700-1000PM""]","""Research""","1999"
