"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"16670","1.0","102","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","100","999","""Human Biology""","123","false","","5","""0/999""","""0/999""","""C""","19945","""Research""","1994"
"16671","1.0","106","[""BIO""]","7","""0/999""","[""Staff""]","""0/999""","100","999","""Cellular Bio & Genetics""","125","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16672","0.0","107","[""BIO""]","7","""0/999""","[""Staff""]","""0/999""","100","999","""Cellular Bio & Gene/Lab""","125","false","","5","""0/999""","""0/999""","""O""","19945","""Lab""","1994"
"16673","1.0","154","[""BIO""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Plant Physiology""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16674","1.0","197","[""CHEM""]","17","""0/999""","[""Staff""]","""0/999""","200","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16675","0.25","200","[""CHEM""]","14","""0/999""","[""Staff""]","""0/999""","200","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","19945","""Lab""","1994"
"16676","1.0","276","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16677","1.0","313","[""EDUC""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16678","1.0","314","[""EDUC""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Exceptional Childr""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16679","1.0","1698","[""ENGL""]","7","""0/999""","[""Staff""]","""0/999""","200","999","""Amer Lit Since 1945""","244","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16680","1.0","413","[""ENGL""]","2","""0/999""","[""Staff""]","""0/999""","200","999","""Expository Writing""","251","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16681","1.0","434","[""ENGL""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/East African Lit.""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16682","1.0","442","[""ENGL""]","3","""0/999""","[""Staff""]","""0/999""","300","999","""Cr Writ II: Nonfiction""","373","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16683","1.0","449","[""ENGL""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""Internship""","394","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16684","1.0","1902","[""ID""]","1","""0/0""","[""Staff""]","""0/0""","100","0","""Thinking Abt Thinking""","180","false","","5","""0/0""","""0/0""","""O""","19945","""Research""","1994"
"16685","1.0","1952","[""MATH""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""Math Statistics""","312","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16686","0.25","1986","[""MUSIC""]","3","""0/999""","[""Staff""]","""0/999""","200","999","""Church Serv Playing""","262","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16687","1.0","847","[""MUSIC""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Large Sacred Works""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16688","1.0","931","[""NORW""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16711","1.0","979","[""PHIL""]","8","""0/999""","[""Staff""]","""0/999""","200","999","""Ethics/The Good Life""","252","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16712","1.0","986","[""PHIL""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Metaphysics""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16713","1.0","1074","[""PHYS""]","15","""0/999""","[""Staff""]","""0/999""","100","999","""Phenomenological II""","125","false","","5","""0/999""","""0/999""","""C""","19945","""Research""","1994"
"16714","0.0","1075","[""PHYS""]","15","""0/999""","[""Staff""]","""0/999""","100","999","""Phenomenolog II/Lab""","125","false","","5","""0/999""","""0/999""","""O""","19945","""Lab""","1994"
"16715","1.0","1104","[""PSCI""]","4","""0/999""","[""Staff""]","""0/999""","100","999","""Intro Comparative Pol""","112","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16716","1.0","2242","[""PSCI""]","3","""0/999""","[""Staff""]","""0/999""","100","999","""Political Analysis""","118","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16717","1.0","1139","[""PSCI""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""Internship""","294","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16718","1.0","1141","[""PSCI""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Policy Studies""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16719","1.0","1151","[""PSCI""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""Internship""","394","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16720","1.0","1154","[""PSYCH""]","5","""0/999""","[""Staff""]","""0/999""","100","999","""Introductory Psych""","121","false","""Z""","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16721","1.0","1158","[""PSYCH""]","3","""0/999""","[""Staff""]","""0/999""","200","999","""Research Methods""","231","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16722","1.0","1188","[""PSYCH""]","3","""0/999""","[""Staff""]","""0/999""","300","999","""Internship""","394","true","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16723","1.0","1190","[""PSYCH""]","1","""0/999""","[""Staff""]","""0/999""","300","999","""IR/Hmong Adjustmnt II""","398","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16724","1.0","1239","[""REL""]","1","""0/999""","[""Staff""]","""0/999""","200","999","""IS/Theology of Luther""","298","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
"16725","1.0","1248","[""REL""]","11","""0/999""","[""Staff""]","""0/999""","300","999","""Stud: Spiritual Autobi""","389","false","","5","""0/999""","""0/999""","""O""","19945","""Research""","1994"
