"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5590","1.0","40","[""ART""]","2","""0/999""","[""Patrick T. Kelley""]","""0/999""","200","[""DC 100""]","999","""Comp-Generatd Imagery""","228","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 0800-0930""]","""Research""","2002"
"5591","1.0","50","[""ART""]","7","""0/999""","[""Heather M. Brooks-Shirey""]","""0/999""","200","[""DC 204""]","999","""Art 1776-1880""","251","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 1000-1130""]","""Research""","2002"
"5592","1.0","100","[""BIO""]","38","""2/999""","[""Staff""]","""0/999""","100","","36","""Biological Science""","121","false","","5","""0/999""","""0/999""","""O""","20025","","""Research""","2002"
"5593","1.0","153","[""BIO""]","1","""0/999""","[""Diane K. Angell""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20025","","""Research""","2002"
"5594","1.0","194","[""CHEM""]","7","""0/999""","[""Patrick N. Riley""]","""0/999""","100","[""SC 378""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 1000-1130""]","""Research""","2002"
"5595","0.0","195","[""CHEM""]","7","""0/999""","[""Patrick N. Riley""]","""0/999""","100","[""SC 374/363""]","999","""Chemical Reac/Lab""","126","false","""A""","5","""0/999""","""0/999""","""O""","20025","[""MW 0100-0400PM""]","""Lab""","2002"
"5596","1.0","197","[""CHEM""]","34","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""DC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 0800-0930""]","""Research""","2002"
"5597","0.25","200","[""CHEM""]","18","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Synthesis Lab""","254","true","""A""","5","""0/999""","""0/999""","""O""","20025","","""Lab""","2002"
"5598","0.25","200","[""CHEM""]","10","""0/999""","[""Wesley Pearson""]","""0/999""","200","","999","""Synthesis Lab""","254","true","""B""","5","""0/999""","""0/999""","""O""","20025","","""Lab""","2002"
"5599","1.0","254","[""ECON""]","10","""0/999""","[""Steve Soderlind""]","""0/999""","100","","999","""Capitalism: Struggles""","111","false","","5","""0/999""","""0/999""","""O""","20025","","""Research""","2002"
"5600","1.0","344","[""EDUC""]","1","""0/999""","[""Linda Berger""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20025","","""Research""","2002"
"5601","1.0","413","[""ENGL""]","5","""0/999""","[""Mark Allister""]","""0/999""","200","[""RML 515""]","999","""Creative Nonfiction""","251","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 1000-1130""]","""Research""","2002"
"5602","1.0","424","[""ENGL""]","11","""0/999""","[""Jon Eric Nelson""]","""0/999""","200","[""RML 520""]","999","""Literature & Film""","275","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 1000-1130""]","""Research""","2002"
"5603","1.0","425","[""ENGL""]","7","""0/999""","[""Mark Allister""]","""0/999""","200","[""RML 515""]","999","""Lit & the Environment""","276","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 1230-0200PM""]","""Research""","2002"
"5604","1.0","442","[""ENGL""]","4","""0/999""","[""Mark Allister""]","""0/999""","300","[""RML 515""]","999","""Adv Creative Nonfict""","373","false","","5","""0/999""","""0/999""","""O""","20025","[""M-F 1000-1130""]","""Research""","2002"
"5605","1.0","464","[""ENVST""]","1","""0/999""","[""Daniel Hofrenning""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20025","","""Research""","2002"
