"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"3650","1.0","69","[""ART""]","1","""0/999""","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Advanced Painting""","298","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3651","1.0","69","[""ART""]","1","""0/999""","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Costume Design""","298","false","""A""","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3652","1.0","69","[""ART""]","1","""0/999""","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Industrial Design""","298","false","""B""","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3653","1.0","100","[""BIO""]","37","""0/999""","[""Charles Jr. Umbanhowar""]","""0/999""","100","","37","""Biological Science""","121","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3654","1.0","175","[""BIO""]","1","""0/999""","[""Louis Henry Kermott""]","""0/999""","300","","999","""IR/House Wren Researc""","398","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3655","1.0","197","[""CHEM""]","30","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","20015","[""M-F 0800-0930""]","""Research""","2001"
"3656","0.25","200","[""CHEM""]","23","""0/999""","[""Wesley Pearson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","","5","""0/999""","""0/999""","""O""","20015","[""MT 0100-0400PM""]","""Lab""","2001"
"3657","1.0","254","[""ECON""]","13","""0/999""","[""Steve Soderlind""]","""0/999""","100","","999","""Capitalism: Struggles""","111","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3658","1.0","276","[""ECON""]","1","""0/999""","[""Staff""]","""0/999""","200","","1","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3659","1.0","387","[""ENGL""]","4","""0/999""","[""Karen E. Marsalek""]","""0/999""","100","[""L 515""]","999","""Reading for Life""","132","false","","5","""0/999""","""0/999""","""O""","20015","[""M-F 1000-1130""]","""Research""","2001"
"3660","1.0","413","[""ENGL""]","8","""0/999""","[""Signe Levine""]","""0/999""","200","[""L 520""]","999","""Creative Nonfiction""","251","false","","5","""0/999""","""0/999""","""O""","20015","[""M-F 1000-1130""]","""Research""","2001"
"3661","1.0","426","[""ENGL""]","3","""0/999""","[""Karen E. Marsalek""]","""0/999""","200","[""L 515""]","999","""Shakespeare & Contemp""","280","false","","5","""0/999""","""0/999""","""O""","20015","[""M-F 1230-0200PM""]","""Research""","2001"
"3662","1.0","444","[""ENGL""]","7","""0/999""","[""Karen E. Marsalek""]","""0/999""","300","[""L 515""]","999","""Shakespeare""","380","false","","5","""0/999""","""0/999""","""O""","20015","[""M-F 1230-0200PM""]","""Research""","2001"
"3663","1.0","472","[""IDFA""]","","","[""Susan Bauer""]","","200","","","""IS/Perf-Art-Choreog""","298","false","","5","","","""O""","20015","","""Research""","2001"
"3664","1.0","504","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German I""","111","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3665","1.0","505","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","100","","999","""Beginning German II""","112","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3666","1.0","509","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","200","","999","""Intermed German II""","232","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3667","1.0","514","[""GERM""]","1","""0/999""","[""Frederike Von Schwerin-High""]","""0/999""","200","","999","""Speaking German""","250","false","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
"3668","1.0","1815","[""HIST""]","8","""0/999""","[""J. L. Carrington""]","""0/999""","200","[""L 525""]","999","""Age of Renaissance""","213","false","","5","""0/999""","""0/999""","""O""","20015","[""M-F 1000-1130""]","""Research""","2001"
"3669","1.0","653","[""FAMST""]","1","""0/999""","[""C. George Holt""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20015","","""Research""","2001"
