"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",26168,1,6,"['AMST']",NA,"['Mark Allister']",200,"['L 525']","Being Male in America",206,"False","False","",3,"C",19993,"['MWF 1150-1245PM']","Research",1999,25
"2",26169,1,12,"['AMST']",NA,"['James Farrell']",200,"","IS/America and Asia",298,"False","False","",3,"O",19993,"","Research",1999,1
"3",26170,1,13,"['AMST']",NA,"['Judy Kutulas']",300,"['H 515']","Sem: Amer Wm of Color",301,"False","False","",3,"C",19993,"['TTh 1145-0110PM']","Seminar",1999,22
"4",26171,1,15,"['AMST']",NA,"['James Farrell']",300,"","IR/Nps Research",398,"False","False","",3,"O",19993,"","Research",1999,1
"5",26172,1,16,"['AFAM']",NA,"['Joseph L. Mbele']",200,"['L 577']","Africa & the Americas",231,"False","False","",3,"C",19993,"['TTh 0935-1100']","Seminar",1999,39
"12",26181,1,32,"['ART']",NA,"['Perette Michelli']",100,"['FH 01']","Renaissance--Present",151,"False","False","",3,"C",19993,"['MWF 0200-0255PM']","Research",1999,40
"13",26182,1,63,"['ART']",NA,"['A. Malcolm Gimse']",200,"['FH SEM']","African Art History",207,"False","False","",3,"O",19993,"['MWF 0200-0255PM']","Research",1999,18
"14",26183,1,33,"['ART']",NA,"['Mary Griep']",200,"['FH 40']","Oil/Acrylic Painting",231,"False","False","",3,"C",19993,"['MWF 0800-1000']","Research",1999,19
"15",26184,1,36,"['ART']",NA,"['John Saurer']",200,"['FH 18']","Sculpt: Direct Metal",234,"False","False","",3,"O",19993,"['TTh 1145-0245PM']","Research",1999,9
"16",26185,1,39,"['ART']",NA,"['Jan Shoger']",200,"['FH 44']","Printmkg: Intaglio/Mono",237,"False","False","",3,"O",19993,"['MWF 1045-1245PM']","Research",1999,13
"17",26186,1,42,"['ART']",NA,"['Thomas Jacobsen']",200,"['FH 21']","Motion Graphics",240,"False","False","",3,"O",19993,"['MW 0700-1000PM']","Research",1999,9
"18",26187,1,43,"['ART']",NA,"['Mary Griep']",200,"['FH 40', 'FH 40']","Figure Drawing",242,"False","False","",3,"C",19993,"['MF 1255-0255PM', 'W 0800-1000PM']","Research",1999,19
"19",26188,1,45,"['ART']",NA,"['Ron Gallas']",200,"['FH 19']","Ceramics",244,"False","False","",3,"C",19993,"['TTh 1145-0245PM']","Research",1999,12
"20",26189,1,47,"['ART']",NA,"['David E. Ryan']",200,"['SC 18']","Video Art Production",249,"False","False","",3,"O",19993,"['TTh 0800-1100']","Research",1999,13
"21",26190,1,52,"['ART']",NA,"['Matthew Rohn']",200,"['FH 01']","Art Since 1945",253,"False","False","",3,"C",19993,"['MWF 1045-1140']","Research",1999,38
"22",26191,1,60,"['ART']",NA,"['Perette Michelli']",200,"['FH 01']","Later Medieval Art",263,"False","False","",3,"C",19993,"['TTh 1145-0110PM']","Research",1999,12
"23",26192,1,61,"['ART']",NA,"['A. Malcolm Gimse']",200,"['FH 01']","Art of India/SE Asia",265,"False","False","",3,"C",19993,"['MWF 1150-1245PM']","Research",1999,50
"24",26193,1,1510,"['ART']",NA,"['Perette Michelli']",200,"['FH 01']","Ital Arch Ren-Rococo",267,"False","False","",3,"C",19993,"['TTh 0935-1100']","Research",1999,13
"25",26194,1,69,"['ART']",NA,"['Matthew Rohn']",200,"","IS/Two Modern Masters",298,"False","False","",3,"O",19993,"","Research",1999,1
"26",26195,1,69,"['ART']",NA,"['John Saurer']",200,"","IS/Adv Wood Sculpture",298,"False","False","A",3,"O",19993,"","Research",1999,1
"27",26196,1,69,"['ART']",NA,"['Thomas Jacobsen']",200,"","IS/Commercial Art",298,"False","False","B",3,"O",19993,"","Research",1999,1
"28",26197,1,1514,"['ART']",NA,"['Mary Griep']",300,"['FH 40', 'FH 40']","Figure Drawing II",342,"False","False","",3,"C",19993,"['MWF 1255-0255PM', 'W 0800-1000PM']","Research",1999,1
"29",26198,1,71,"['ART']",NA,"['Staff']",300,"['FH 01']","Senior Studies-Studio",393,"False","False","",3,"O",19993,"['Th 0700-1000PM']","Research",1999,54
"30",26199,1,74,"['ART']",NA,"['Matthew Rohn']",300,"['FH SEM']","Sr Studies-Art Hist",395,"False","False","",3,"O",19993,"['TTh 0120-0245PM']","Research",1999,9
"31",26200,1,77,"['ASIAN']",NA,"['Robert Entenmann']",100,"['H 403']","The West & East Asia",112,"False","False","",3,"C",19993,"['MWF 0200-0255PM']","Research",1999,24
"32",26201,1,78,"['ASIAN']",NA,"['Barbara Reed']",100,"['CH 101']","Asian Cultures",121,"False","False","",3,"C",19993,"['MWF 1255-0150PM']","Research",1999,42
"33",26202,1,94,"['ASIAN']",NA,"['Richard Bodman']",200,"","IS/Modern Chinese",298,"False","False","",3,"O",19993,"","Research",1999,1
"34",26203,1,94,"['ASIAN']",NA,"['Gia Someya']",200,"","IS/Japanese Language",298,"False","False","A",3,"O",19993,"","Research",1999,1
"35",26204,1,94,"['ASIAN']",NA,"['Barbara Reed']",200,"","IS/Japanese Buddhism",298,"False","False","B",3,"O",19993,"","Research",1999,1
"36",26205,1,97,"['ASIAN']",NA,"['Eleanor Zelliot']",300,"","IR/Indian Generations",398,"False","False","",3,"O",19993,"","Research",1999,1
"37",26206,1,97,"['ASIAN']",NA,"['Robert Entenmann']",300,"","IR/Gap in Culture",398,"False","False","A",3,"O",19993,"","Research",1999,1
"38",26207,1,100,"['BIO']",NA,"['Daniel Meinhardt']",100,"['SC 280', 'SC 273']","Biological Science",121,"False","False","A",3,"C",19993,"['MWF 0905-1000', 'T 0800-1000']","Research",1999,25
"39",26208,1,100,"['BIO']",NA,"['Daniel Meinhardt']",100,"['SC 280', 'SC 273']","Biological Science",121,"False","False","B",3,"C",19993,"['MWF 0905-1000', 'T 1145-0145PM']","Research",1999,22
"40",26209,1,100,"['BIO']",NA,"['Daniel Meinhardt']",100,"['SC 280', 'SC 273']","Biological Science",121,"False","False","C",3,"C",19993,"['MWF 0905-1000', 'T 0300-0500PM']","Research",1999,24
"41",26210,1,108,"['BIO']",NA,"['Charles Jr. Umbanhowar']",100,"['SC 278', 'SC 211']","Organismic Biology",126,"False","False","A",3,"O",19993,"['MWF 0800-0855', 'M 1255-0325PM']","Research",1999,18
"42",26211,1,108,"['BIO']",NA,"['Charles Jr. Umbanhowar']",100,"['SC 278', 'SC 211']","Organismic Biology",126,"False","False","B",3,"C",19993,"['MWF 0800-0855', 'T 1145-0215PM']","Research",1999,25
"43",26212,1,108,"['BIO']",NA,"['Charles Jr. Umbanhowar']",100,"['SC 278', 'SC 211']","Organismic Biology",126,"False","False","C",3,"O",19993,"['MWF 0800-0855', 'T 0300-0530PM']","Research",1999,19
"44",26213,1,108,"['BIO']",NA,"['Michael Swift']",100,"['SC 280', 'SC 211']","Organismic Biology",126,"False","False","D",3,"C",19993,"['MWF 1045-1140', 'T 0800-1030']","Research",1999,22
"45",26214,1,108,"['BIO']",NA,"['Michael Swift']",100,"['SC 280', 'SC 211']","Organismic Biology",126,"False","False","E",3,"C",19993,"['MWF 1045-1140', 'Th 0800-1030']","Research",1999,21
"46",26215,1,108,"['BIO']",NA,"['Michael Swift']",100,"['SC 280', 'SC 211']","Organismic Biology",126,"False","False","F",3,"C",19993,"['MWF 1045-1140', 'Th 0300-0530PM']","Research",1999,20
"47",26216,1,108,"['BIO']",NA,"['Diane K. Angell']",100,"['SC 278', 'SC 211']","Organismic Biology",126,"False","False","G",3,"O",19993,"['MWF 1150-1245PM', 'W 1255-0325PM']","Research",1999,16
"48",26217,1,108,"['BIO']",NA,"['Diane K. Angell']",100,"['SC 278', 'SC 211']","Organismic Biology",126,"False","False","H",3,"C",19993,"['MWF 1150-1245PM', 'Th 1145-0215PM']","Research",1999,20
"49",26218,1,108,"['BIO']",NA,"['Diane K. Angell']",100,"['SC 278', 'SC 211']","Organismic Biology",126,"False","False","I",3,"O",19993,"['MWF 1150-1245PM', 'F 0200-0430PM']","Research",1999,9
"50",26219,1,118,"['BIO']",NA,"['Staff']",200,"","Terrestrial Ecology",226,"False","False","",3,"O",19993,"","Research",1999,24
"51",26220,1,119,"['BIO']",NA,"['Theodore Johnson']",200,"['SC 280', 'SC 263']","Microbiology",231,"False","False","A",3,"C",19993,"['MWF 1150-1245PM', 'T 1200-0300PM']","Research",1999,23
"52",26221,1,119,"['BIO']",NA,"['Theodore Johnson']",200,"['SC 280', 'SC 263']","Microbiology",231,"False","False","B",3,"C",19993,"['MWF 1150-1245PM', 'W 0200-0500PM']","Research",1999,28
"53",26222,1,119,"['BIO']",NA,"['Theodore Johnson']",200,"['SC 280', 'SC 263']","Microbiology",231,"False","False","C",3,"C",19993,"['MWF 1150-1245PM', 'Th 0120-0420PM']","Research",1999,25
"54",26223,1,122,"['BIO']",NA,"['Paul Cabe']",200,"['SC 278', 'SC 229']","Intermediate Genetics",233,"False","False","A",3,"O",19993,"['MWF 1045-1140', 'W 1230-0330PM']","Research",1999,9
"55",26224,1,122,"['BIO']",NA,"['Paul Cabe']",200,"['SC 278', 'SC 229']","Intermediate Genetics",233,"False","False","B",3,"O",19993,"['MWF 1045-1140', 'Th 0800-1100']","Research",1999,21
"56",26225,1,122,"['BIO']",NA,"['Paul Cabe']",200,"['SC 278', 'SC 229']","Intermediate Genetics",233,"False","False","C",3,"O",19993,"['MWF 1045-1140', 'Th 0120-0420PM']","Research",1999,16
"57",26226,1,124,"['BIO']",NA,"['Eugene Bakko']",200,"['SC 278', 'SC 269']","Vertebrate Biology",242,"False","False","A",3,"C",19993,"['TTh 0800-0925', 'T 0120-0420PM']","Research",1999,11
"58",26227,1,124,"['BIO']",NA,"['Eugene Bakko']",200,"['SC 278', 'SC 269']","Vertebrate Biology",242,"False","False","B",3,"C",19993,"['TTh 0800-0925', 'W 1255-0355PM']","Research",1999,14
"59",26228,1,124,"['BIO']",NA,"['Eugene Bakko']",200,"['SC 278', 'SC 269']","Vertebrate Biology",242,"False","False","C",3,"C",19993,"['TTh 0800-0925', 'Th 0120-0420PM']","Research",1999,14
"60",26229,1,126,"['BIO']",NA,"['David Van Wylen']",200,"['SC 274', 'SC 253']","Human Anatomy & Physiol",243,"False","False","A",3,"C",19993,"['MWF 0800-0855', 'M 1255-0355PM']","Research",1999,18
"61",26230,1,126,"['BIO']",NA,"['David Van Wylen']",200,"['SC 274', 'SC 253']","Human Anatomy & Physiol",243,"False","False","B",3,"C",19993,"['MWF 0800-0855', 'T 0800-1100']","Research",1999,17
"62",26231,1,134,"['BIO']",NA,"['John Giannini']",200,"['SC 274', 'SC 227']","Plant Physiology",251,"False","False","A",3,"O",19993,"['MWF 1045-1140', 'M 1255-0355PM']","Research",1999,4
"63",26232,1,134,"['BIO']",NA,"['John Giannini']",200,"['SC 274', 'SC 227']","Plant Physiology",251,"False","False","B",3,"O",19993,"['MWF 1045-1140', 'T 0120-0420PM']","Research",1999,9
"64",26233,1,139,"['BIO']",NA,"['Kathleen L. Shea']",200,"['SC 278', 'SC 248']","Ecological Principles",261,"False","False","A",3,"C",19993,"['MWF 0905-1000', 'T 0120-0350PM']","Research",1999,18
"65",26234,1,139,"['BIO']",NA,"['Kathleen L. Shea']",200,"['SC 278', 'SC 248']","Ecological Principles",261,"False","False","B",3,"C",19993,"['MWF 0905-1000', 'W 0200-0430PM']","Research",1999,20
"66",26235,1,139,"['BIO']",NA,"['Kathleen L. Shea']",200,"['SC 278', 'SC 248']","Ecological Principles",261,"False","False","C",3,"C",19993,"['MWF 0905-1000', 'Th 1145-0215PM']","Research",1999,20
"68",26237,1,153,"['BIO']",NA,"['Louis Henry Kermott']",200,"","Academic Internship",294,"True","False","",3,"O",19993,"","Research",1999,1
"69",26238,1,153,"['BIO']",NA,"['David Van Wylen']",200,"","Academic Internship",294,"True","False","A",3,"O",19993,"","Research",1999,1
"70",26239,1,154,"['BIO']",NA,"['David Van Wylen']",200,"","IS/Humn Gross Anatomy",298,"False","False","",3,"O",19993,"","Research",1999,4
"71",26240,1,154,"['BIO']",NA,"['Theodore Johnson']",200,"","IS/Emerging Diseases",298,"False","False","A",3,"O",19993,"","Research",1999,1
"72",26241,1,154,"['BIO']",NA,"['Amy Jessen-Marshall']",200,"","IS/Biology of Women",298,"False","False","B",3,"O",19993,"","Research",1999,1
"73",26242,1,154,"['BIO']",NA,"['Theodore Johnson']",200,"","IS/Science Journalism",298,"False","False","C",3,"O",19993,"","Research",1999,1
"74",26243,1,154,"['BIO']",NA,"['Michael Swift']",200,"","IS/Wetland Ecology",298,"False","False","D",3,"O",19993,"","Research",1999,1
"75",26244,1,154,"['BIO']",NA,"['Louis Henry Kermott']",200,"","IS/Animal Soc Behav",298,"False","False","E",3,"O",19993,"","Research",1999,1
"76",26245,1,158,"['BIO']",NA,"['Anne Walter']",300,"['SC 210', 'SC 227']","Cell Physiology",341,"False","False","A",3,"C",19993,"['TTh 0800-0925', 'W 0200-0500PM']","Research",1999,3
"77",26246,1,158,"['BIO']",NA,"['Anne Walter']",300,"['SC 210', 'SC 227']","Cell Physiology",341,"False","False","B",3,"C",19993,"['TTh 0800-0925', 'Th 0120-0420PM']","Research",1999,6
"78",26247,1,159,"['BIO']",NA,"['Amy Jessen-Marshall']",300,"['SC 274', 'SC 229']","Molecular Biology",364,"False","False","A",3,"C",19993,"['TTh 0935-1100', 'M 1255-0355PM']","Research",1999,9
"79",26248,1,159,"['BIO']",NA,"['Amy Jessen-Marshall']",300,"['SC 274', 'SC 229']","Molecular Biology",364,"False","False","B",3,"C",19993,"['TTh 0935-1100', 'T 0120-0420PM']","Research",1999,13
"80",26249,1,172,"['BIO']",NA,"['John Giannini']",300,"['SC 210']","Top: Stress Physiology",391,"False","False","",3,"C",19993,"['Th 0100-0400PM']","Topic",1999,11
"81",26250,1,174,"['BIO']",NA,"['Theodore Johnson']",300,"","Academic Internship",394,"True","False","",3,"O",19993,"","Research",1999,1
"82",26251,1,175,"['BIO']",NA,"['Paul Cabe']",300,"","IR/Mol Eco/Evo Tech",398,"False","False","",3,"O",19993,"","Research",1999,1
