"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"38",2646,1,232,"['CLASS']","","['Gwendolyn Compton-Engle']",200,"","Class Studies Greece",251,"False","False","",2,"C",20012,"","Research",2001,27
"39",2647,1,254,"['ECON']","","['Edward David Emery']",100,"['H 403', 'SC 186']","Capitalism: Econ Hist",111,"False","False","",2,"C",20012,"['M-F 0900-1000', 'M-F 1050-1220PM']","Research",2001,25
"40",2648,1,261,"['ECON']","","['Xun Pomponio']",200,"","Econ Progress China",218,"False","False","",2,"C",20012,"","Research",2001,18
"41",2649,1,273,"['ECON']","","['William L. Carlson']",200,"","Britain in Transition",253,"False","False","",2,"C",20012,"","Research",2001,18
"42",2650,1,276,"['ECON']","","['Paul Wojick']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,2
"43",2651,1,276,"['ECON']","","['Terry J. Fitzgerald']",200,"","Academic Internship",294,"True","False","A",2,"O",20012,"","Research",2001,1
"44",2652,1,276,"['ECON']","","['Bruce Dalgaard']",200,"","Academic Internship",294,"True","False","B",2,"O",20012,"","Research",2001,1
"45",2653,1,277,"['ECON']","","['Paul Wojick']",200,"","IS/Financial World",298,"False","False","",2,"O",20012,"","Research",2001,1
"46",2654,1,277,"['ECON']","","['Steve Soderlind']",200,"","IS/Banking in B'desh",298,"False","False","A",2,"O",20012,"","Research",2001,1
"47",2655,1,277,"['ECON']","","['Steve Soderlind']",200,"","IS/Discrete Math Econ",298,"False","False","B",2,"O",20012,"","Research",2001,1
"48",2656,1,284,"['ECON']","","['Steve Soderlind']",300,"","Academic Internship",394,"True","False","",2,"O",20012,"","Research",2001,1
"49",2657,1,307,"['CSCI']","","['Richard Brown']",300,"","IR/Operating Systems",398,"False","False","",2,"O",20012,"","Research",2001,2
"50",2658,1,308,"['EDUC']","","['Maria L. Kelly']",100,"","Schools & Communities",170,"True","False","",2,"C",20012,"","Research",2001,14
"51",2659,1,310,"['EDUC']","","['Myron L. Solid']",200,"","Perspectives On Tchg",260,"True","False","",2,"C",20012,"","Research",2001,12
"52",2660,1,338,"['EDUC']","","['Mark Schelske']",300,"","Multi-Cult Ed Hawaii",378,"True","False","",2,"C",20012,"","Research",2001,29
"53",2661,1,339,"['EDUC']","","['Rosemary A. Pfarr-Baker']",300,"","Urban Ed Practicum",379,"True","False","",2,"C",20012,"","Research",2001,24
"54",2662,1,345,"['EDUC']","","['Mark Schelske']",300,"","IR/Teaching of French",398,"False","False","",2,"O",20012,"","Research",2001,1
"57",2665,1,382,"['ENGL']","","['Joseph L. Mbele']",100,"['L 525']","Trickstr/Post-Col Lit",108,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,28
"58",2666,1,387,"['ENGL']","","['Mary Steen']",100,"['L 525']","Reading for Life",132,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,25
"59",2667,1,389,"['ENGL']","","['Mary Titus']",100,"['L 515']","Lit/Social Change",155,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,14
"60",2668,1,392,"['ENGL']","","['Karen Cherewatuk']",100,"['L 515']","Literary Studies",185,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,23
"61",2669,1,394,"['ENGL']","","['Mark Allister']",200,"['L 520']","Lit Envir Wolf Ridge",201,"False","False","",2,"C",20012,"['M-F 0800-1000']","Research",2001,15
"62",2670,1,403,"['ENGL']","","['Diana Postlethwaite']",200,"['L 421']","19-C.Myths/20-C.Film",226,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,33
"63",2671,1,414,"['ENGL']","","['John T. Day']",200,"","IRish Short Stories",252,"False","False","",2,"C",20012,"","Research",2001,23
"64",2672,1,419,"['ENGL']","","['Richard Buckstead']",200,"","Hemingway in Cuba",259,"False","False","",2,"C",20012,"","Research",2001,30
"65",2673,1,430,"['ENGL']","","['Joan Hepburn']",200,"","Performing Arts in NY",284,"False","False","",2,"C",20012,"","Research",2001,16
"66",2674,1,433,"['ENGL']","","['Jan C. Hill']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,1
"67",2675,1,434,"['ENGL']","","['Diana Postlethwaite']",200,"","IS/Disillusion in A & E",298,"False","False","",2,"O",20012,"","Research",2001,1
"68",2676,1,436,"['ENGL']","","['Carol Holly']",300,"['L 520']","Advanced Amer Lit",340,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Topic",2001,15
"69",2677,1,451,"['ENGL']","","['Jonathan Hill']",300,"","IR/British Romantics",398,"False","False","",2,"O",20012,"","Research",2001,1
"70",2678,1,479,"['FREN']","","['Scott Homler']",200,"['M 2']","Intermed French I",231,"False","False","",2,"O",20012,"['M-F 1040-1240PM']","Research",2001,16
"71",2679,1,481,"['FREN']","","['Herve Pensec']",200,"","Lang/Cul Fr Caribbean",233,"False","False","",2,"C",20012,"","Research",2001,13
"72",2680,1,482,"['FREN']","","['Jolene Barjasteh']",200,"['M 26']","Speaking of French",250,"False","False","",2,"O",20012,"['M-F 1040-0300PM']","Research",2001,18
"73",2681,1,489,"['FREN']","","['M. Clare Mather']",200,"","ID French Stud Paris",275,"False","False","",2,"C",20012,"","Research",2001,12
"74",2682,1,510,"['GERM']","","['Frederike Von Schwerin-High']",200,"","Old and New Capitals",233,"False","False","",2,"C",20012,"","Research",2001,10
"75",2683,1,511,"['GERM']","","['Karen R. Achberger']",200,"","Arts in Vienna",245,"False","False","",2,"C",20012,"","Research",2001,19
"77",2685,1,512,"['GERM']","","['Karl Fink']",200,"['M 4']","Age of Goethe-Tr",246,"False","False","",2,"C",20012,"['M-F 0800-1000']","Research",2001,33
"78",2686,1,522,"['GERM']","","['Karl Fink']",200,"","Academic Internship",294,"True","False","",2,"O",20012,"","Research",2001,2
