"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",23988,1,5,"['AMST']","","['Christopher D. Grasso']",200,"['H 317']","Top: Heartland Histor",205,"False","False","",2,"O",19982,"['M-F 1040-1240PM']","Topic",1998,27
"2",23989,1,11,"['AMST']","","['James Farrell']",200,"","Academic Internship",294,"True","False","",2,"O",19982,"","Research",1998,1
"3",23990,1,1496,"['ART']","","['Ron Gallas']",100,"['FH 19', 'FH 19']","Found Ceramics: Hand",121,"False","False","",2,"C",19982,"['M-F 0900-1000', 'M-F 1040-1240PM']","Research",1998,20
"4",23991,1,28,"['ART']","","['John Saurer']",100,"['FH 18', 'FH 18']","Foundation Sculpture",122,"False","False","",2,"O",19982,"['M-F 0900-1000', 'M-F 1040-1240PM']","Research",1998,16
"5",23993,1,40,"['ART']","","['Janet C. Cameron']",200,"['FH 21', 'FH 21']","Comp-Generatd Imagery",238,"False","False","",2,"C",19982,"['M-F 1040-1200PM', 'M-F 0100-0300PM']","Research",1998,11
"6",23994,1,44,"['ART']","","['Wendell Arneson']",200,"['FH 40', 'FH 40', 'FH 40']","Advanced Drawing",243,"False","False","",2,"O",19982,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",1998,19
"7",23995,1,54,"['ART']","","['Perette Michelli']",200,"","Italian Renaissance",255,"False","False","",2,"C",19982,"","Research",1998,18
"8",23996,1,48,"['ART']","","['Irve Dell']",200,"","Pratt-Manhattan",262,"False","False","",2,"C",19982,"","Research",1998,15
"9",23998,1,68,"['ART']","","['Wendell Arneson']",200,"","Academic Internship",294,"True","False","",2,"O",19982,"","Research",1998,2
"10",23999,1,69,"['ART']","","['Margaret Ojala']",200,"","IS/Photo Essay Nepal",298,"False","False","",2,"O",19982,"","Research",1998,1
"11",24000,1,69,"['ART']","","['Ron Gallas']",200,"","IS/Wheel Ceramics",298,"False","False","A",2,"O",19982,"","Research",1998,1
"12",24001,1,75,"['ART']","","['Matthew Rohn']",300,"","IR/Undrstndng Comics",398,"False","False","",2,"O",19982,"","Research",1998,1
"13",24002,1,79,"['ASIAN']","","['Phyllis Hyland Larson']",100,"['SC 280', 'M 2']","Intro Japanese Film",124,"False","False","",2,"C",19982,"['MW 1040-0100PM', 'TTh 1040-0100PM']","Research",1998,29
"14",24003,1,81,"['ASIAN']","","['Pin Pin Wan']",100,"['M 11', 'M 11']","Cont Chin Women Wr-Tr",151,"False","False","",2,"O",19982,"['M-Th 0830-1000', 'M-Th 1040-1200PM']","Research",1998,9
"15",24004,1,94,"['ASIAN']","","['Robert Entenmann']",200,"","IS/Art Hist in Taiwan",298,"False","False","",2,"O",19982,"","Research",1998,1
"16",24005,1,94,"['ASIAN']","","['Barbara Reed']",200,"","IS/Western Buddhism",298,"False","False","A",2,"O",19982,"","Research",1998,1
"36",24025,1,225,"['CLASS']","","['Anne Groton']",100,"['M 31']","Ancient Comedy-Tr",126,"False","False","",2,"O",19982,"['M-F 1040-1240PM']","Research",1998,26
"37",24026,1,232,"['CLASS']","","['Steve T. Reece']",200,"","Class Studies Greece",251,"False","False","",2,"O",19982,"","Research",1998,28
"38",24027,1,254,"['ECON']","","['Mark Pernecky']",100,"['M 2', 'M 1']","Capitalism: Struggles",111,"False","False","A",2,"O",19982,"['MWF 1045-1215PM', 'MWF 0115-0245PM']","Research",1998,14
"39",24028,1,254,"['ECON']","","['Edward David Emery']",100,"['L 420', 'L 420']","Capitalism: Struggles",111,"False","False","B",2,"O",19982,"['MWF 1045-1215PM', 'MWF 0115-0245PM']","Research",1998,15
