"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",25952,1,28,"['ART']","","['John Saurer']",100,"['FH 18', 'FH 18']","Foundation Sculpture",122,"False","False","",2,"C",19992,"['M-F 0900-1000', 'M-F 1040-1240PM']","Research",1999,17
"2",25953,1,40,"['ART']","","['Janet C. Cameron']",200,"['FH 21', 'FH 21']","Comp-Generatd Imagery",238,"False","False","",2,"C",19992,"['M-F 1040-1200PM', 'M-F 0100-0300PM']","Research",1999,14
"3",25954,1,44,"['ART']","","['Jan Shoger']",200,"['FH 40', 'FH 40', 'FH 40']","Advanced Drawing",243,"False","False","",2,"C",19992,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",1999,18
"4",25955,1,50,"['ART']","","['Kristi Holden']",200,"['FH 01']","Origins of Modernism",251,"False","False","",2,"C",19992,"['M-F 0100-0300PM']","Research",1999,23
"5",25956,1,54,"['ART']","","['A. Malcolm Gimse']",200,"","Italian Hill Cities",255,"False","False","",2,"C",19992,"","Research",1999,29
"6",25957,1,48,"['ART']","","['Ron Gallas']",200,"","Manhattan Art Interim",262,"False","False","",2,"C",19992,"","Research",1999,17
"7",25958,1,68,"['ART']","","['Matthew Rohn']",200,"","Academic Internship",294,"True","False","",2,"O",19992,"","Research",1999,1
"8",25960,1,69,"['ART']","","['Jan Shoger']",200,"","IS/Biological Illustr",298,"False","False","A",2,"O",19992,"","Research",1999,1
"9",25961,1,69,"['ART']","","['Janet C. Cameron']",200,"","IS/3d and Web Design",298,"False","False","B",2,"O",19992,"","Research",1999,1
"10",25962,1,69,"['ART']","","['A. Malcolm Gimse']",200,"","IS/Sketches of Taipei",298,"False","False","C",2,"O",19992,"","Research",1999,1
"11",25963,1,69,"['ART']","","['Ron Gallas', 'John Saurer']",200,"","IS/Ceramic Forms",298,"False","False","D",2,"O",19992,"","Research",1999,1
"12",25964,1,69,"['ART']","","['John Saurer']",200,"","IS/Adv Wood Sculpture",298,"False","False","E",2,"O",19992,"","Research",1999,1
"13",25965,1,85,"['ASIAN']","","['Richard Bodman']",200,"","Nat ID/China & Japan",212,"False","False","",2,"C",19992,"","Research",1999,12
"42",25994,1,1560,"['CLASS']","","['Steve T. Reece']",100,"['M 31']","Singers of Tales-Tr",130,"False","False","",2,"C",19992,"['M-F 1040-1240PM']","Research",1999,21
"43",25995,1,232,"['CLASS']","","['James May']",200,"","Class Studies Greece",251,"False","False","",2,"C",19992,"","Research",1999,29
"44",25996,1,254,"['ECON']","","['Steve Soderlind']",100,"['H 403']","Capitalism: Struggles",111,"False","False","",2,"C",19992,"['M-F 0830-1000']","Research",1999,26
"45",25997,1,261,"['ECON']","","['Xun Pomponio']",200,"","Econ Progress China",218,"False","False","",2,"C",19992,"","Research",1999,14
"46",25998,1,1582,"['ECON']","","['Edward David Emery']",200,"['H 302', 'H 302', 'H 302']","Personal Finance",231,"False","False","",2,"C",19992,"['MWF 0900-1000', 'MWF 1045-1145', 'MWF 0115-0230PM']","Research",1999,27
"47",25999,1,273,"['ECON']","","['William L. Carlson']",200,"","Britain in Transition",253,"False","False","",2,"C",19992,"","Research",1999,17
"48",26000,1,276,"['ECON']","","['Steve Soderlind']",200,"","Academic Internship",294,"True","False","",2,"O",19992,"","Research",1999,2
"49",26001,1,276,"['ECON']","","['Paul Wojick']",200,"","Academic Internship",294,"True","False","A",2,"O",19992,"","Research",1999,1
"50",26002,1,284,"['ECON']","","['Paul Wojick']",300,"","Academic Internship",394,"True","False","",2,"O",19992,"","Research",1999,1
"54",26006,1,310,"['EDUC']","","['Mark Schelske']",200,"","Perspectives On Tchg",260,"True","False","",2,"C",19992,"","Research",1999,18
"55",26008,1,339,"['EDUC']","","['Larry Zimmerman']",300,"","Urban Alternative Ed",379,"True","False","",2,"C",19992,"","Research",1999,34
"56",26009,1,345,"['EDUC']","","['Rosemary A. Pfarr-Baker']",300,"","IR/Teaching of Relig",398,"False","False","",2,"O",19992,"","Research",1999,1
"59",26012,1,387,"['ENGL']","","['Mary Steen']",100,"['L 525']","Reading for Life",132,"False","False","",2,"C",19992,"['M-F 1040-1240PM']","Research",1999,23
"60",26013,1,388,"['ENGL']","","['Mary Titus']",100,"['L 525']","Southern Women Writrs",135,"False","False","",2,"C",19992,"['M-Th 0100-0300PM']","Research",1999,22
"61",26014,1,394,"['ENGL']","","['Mark Allister']",200,"['L 520', 'OFF-CAMPUS']","Lit Envir Wolf Ridge",201,"False","False","",2,"C",19992,"['M-F 1040-1240PM', 'M-F 00-00']","Research",1999,11
"62",26015,1,1681,"['ENGL']","","['Colin Wells']",200,"['L 421']","The Colonial Novel",209,"False","False","",2,"O",19992,"['M-F 0100-0300PM']","Research",1999,22
"63",26016,1,403,"['ENGL']","","['Diana Postlethwaite']",200,"['L 515']","20th Century Movies",226,"False","False","",2,"C",19992,"['M-F 1040-1240PM']","Research",1999,34
"64",26017,1,411,"['ENGL']","","['Joseph L. Mbele']",200,"['L 277']","Post-Colonial Lit",247,"False","False","",2,"C",19992,"['M-F 0100-0300PM']","Research",1999,33
"65",26018,1,414,"['ENGL']","","['John T. Day']",200,"","IRish Short Stories",252,"False","False","",2,"C",19992,"","Research",1999,26
"66",26019,1,419,"['ENGL']","","['Richard Buckstead']",200,"","Hemingway in Cuba",259,"False","False","",2,"C",19992,"","Research",1999,30
"67",26020,1,429,"['ENGL']","","['Jan C. Hill']",200,"['L 515']","American Regionalism",283,"False","False","",2,"O",19992,"['M-F 0100-0300PM']","Research",1999,21
"68",26021,1,433,"['ENGL']","","['Colin Wells']",200,"","Academic Internship",294,"True","False","",2,"O",19992,"","Research",1999,1
"69",26022,1,433,"['ENGL']","","['Jan C. Hill']",200,"","Academic Internship",294,"True","False","A",2,"O",19992,"","Research",1999,2
"70",26023,1,434,"['ENGL']","","['Olivia Frey']",200,"","IS/Creative Writing",298,"False","False","",2,"O",19992,"","Research",1999,1
"71",26024,1,451,"['ENGL']","","['Jan C. Hill']",300,"","IR/Media Research",398,"False","False","",2,"O",19992,"","Research",1999,1
"72",26025,1,451,"['ENGL']","","['Colin Wells']",300,"","IR/Colonial Am Lit",398,"False","False","A",2,"O",19992,"","Research",1999,1
"73",26026,1,451,"['ENGL']","","['Olivia Frey']",300,"","IR/Advanced Poetry",398,"False","False","B",2,"O",19992,"","Research",1999,1
"74",26027,1,464,"['ENVST']","","['Charles Jr. Umbanhowar']",200,"","Academic Internship",294,"True","False","",2,"O",19992,"","Research",1999,1
"75",26028,1,467,"['ENVST']","","['Louis Henry Kermott']",300,"","IR/Desert Environment",398,"False","False","",2,"O",19992,"","Research",1999,1
"76",26029,1,479,"['FREN']","","['Mary Cisar']",200,"['M 26']","Intermed French I",231,"False","False","",2,"O",19992,"['M-F 0800-1000']","Research",1999,19
"77",26030,1,481,"['FREN']","","['Herve Pensec']",200,"","Lang/Cul Fr Caribbean",233,"False","False","",2,"C",19992,"","Research",1999,16
"78",26031,1,482,"['FREN']","","['M. Clare Mather']",200,"['M 26']","Speaking of French",250,"False","False","",2,"C",19992,"['M-F 1040-0300PM']","Research",1999,20
"79",26032,1,489,"['FREN']","","['Wendy Allen']",200,"","ID French Stud Paris",275,"False","False","",2,"C",19992,"","Research",1999,14
"80",26033,1,510,"['GERM']","","['Frederike Von Schwerin-High']",200,"","Capitals: Bonn/Berlin",233,"False","False","",2,"C",19992,"","Research",1999,14
"81",26034,1,512,"['GERM']","","['Karl Fink']",200,"['L 577', 'L 577']","Age of Goethe-Tr",246,"False","False","",2,"C",19992,"['M-F 0800-1000', 'M-F 0100-0300PM']","Research",1999,42
"82",26035,1,1756,"['GERM']","","['Norman M. Watt']",200,"['M 35']","Speaking German",250,"False","False","",2,"O",19992,"['M-F 1040-0300PM']","Research",1999,10
"83",26036,1,532,"['GCON']","","['W. Bruce Benson']",100,"['H 514', 'H 501 PLENARY']","Romans & Christians",115,"False","False","A",2,"C",19992,"['M-F 0100-0300PM', 'M-F 0100-0300PM']","Research",1999,24
"84",26037,1,532,"['GCON']","","['Jon Eric Nelson']",100,"['H 515', 'H 501 PLENARY']","Romans & Christians",115,"False","False","B",2,"O",19992,"['M-F 0100-0300PM', 'M-F 0100-0300PM']","Research",1999,20
"85",26038,1,532,"['GCON']","","['Solveig Zempel']",100,"['H 516', 'H 501 PLENARY']","Romans & Christians",115,"False","False","C",2,"C",19992,"['M-F 0100-0300PM', 'M-F 0100-0300PM']","Research",1999,24
"86",26039,1,532,"['GCON']","","['Jon Eric Nelson']",100,"['H 515', 'H 501 PLENARY']","Romans & Christians",115,"False","False","D",2,"O",19992,"['M-F 1040-1240PM', 'M-F 0100-0300PM']","Research",1999,14
"87",26040,1,551,"['GREEK']","","['Steve T. Reece']",300,"","IR/Nt Gr Study Ephes",398,"False","False","",2,"O",19992,"","Research",1999,1
"88",26041,1,1770,"['HIST']","","['Richard A. Olson']",100,"['H 317']","Myth/Hist Ancnt World",102,"False","False","",2,"C",19992,"['M-F 0100-0300PM']","Research",1999,38
"89",26042,1,1787,"['HIST']","","['Helena Pohlandt-McCormick']",100,"['M 11', 'M 11']","Women/Work in Africa",128,"False","False","",2,"C",19992,"['M-F 0900-1000', 'M-F 1040-1140']","Research",1999,24
"90",26043,1,1809,"['HIST']","","['Odd S. Lovoll']",100,"['H 501']","Norwegian/Amer Exper",155,"False","False","",2,"C",19992,"['M-Th 1040-1240PM']","Research",1999,65
"91",26044,1,600,"['HIST']","","['J. L. Carrington']",200,"['H 307']","Women in Medieval Eur",231,"False","False","",2,"C",19992,"['M-F 0100-0300PM']","Research",1999,33
"92",26045,1,1842,"['HIST']","","['Monica Najar']",200,"['L 577']","Violence in Early U S",253,"False","False","",2,"C",19992,"['M-F 1040-1240PM']","Research",1999,26
"93",26046,1,606,"['HIST']","","['Jeane DeLaney']",200,"['L 277']","20th Century Cuba",258,"False","False","",2,"O",19992,"['M-F 1040-1240PM']","Research",1999,28
"94",26047,1,624,"['HIST']","","['Judy Kutulas']",200,"","Academic Internship",294,"True","False","",2,"O",19992,"","Research",1999,1
"95",26048,1,650,"['FAMST']","","['C. George Holt']",200,"","Family Relatns Hawaii",246,"False","False","",2,"C",19992,"","Research",1999,27
"96",26049,1,692,"['IS']","","['Joseph L. Mbele']",300,"","IR/Iraq Sanctions Cha",398,"False","False","",2,"O",19992,"","Research",1999,1
"97",26050,1,1918,"['ID']","","['John Walters']",200,"['L 250']","Computers in Health",251,"False","False","",2,"O",19992,"['M-F 1040-1230PM']","Research",1999,19
"99",26052,1,704,"['ID']","","['Wesley Pearson']",200,"","Hospital Health Care",255,"True","False","",2,"C",19992,"","Research",1999,8
"100",26053,1,705,"['ID']","","['Ronald J. Lee']",200,"","Theater in London",258,"False","False","",2,"C",19992,"","Research",1999,27
"101",26054,1,1923,"['ID']","","['Larry Zimmerman']",200,"","Dimens Multicult/ACM",260,"False","False","",2,"C",19992,"","Research",1999,5
"102",26055,1,1924,"['ID']","","['Frank L. Odd']",200,"","Env, Econ & Comm/Guat",261,"False","False","",2,"C",19992,"","Research",1999,4
"103",26056,1,1926,"['ID']","","['Kristina MacPherson']",200,"","Dev & Comm Bangladesh",263,"False","False","",2,"C",19992,"","Research",1999,2
"104",26057,1,708,"['ID']","","['Jan Shoger']",200,"","IS/Bks/Prints/Poetry",298,"False","False","",2,"O",19992,"","Research",1999,1
"110",26063,1,769,"['MGMT']","","['Kathy C. Thomforde']",200,"['H 413']","Arts Management",229,"False","False","",2,"C",19992,"['M-F 1030-1230PM']","Research",1999,22
