"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"48",5686,1,102,"['BIO']",NA,"['Young Yoo']",100,"['SC 280', 'SC 253']","Human Biology",123,"False","False","B",1,"C",20031,"['MWF 0905-1000', 'Th 0800-1000']","Research",2003,19
"49",5687,1,102,"['BIO']",NA,"['Young Yoo']",100,"['SC 280', 'SC 253']","Human Biology",123,"False","False","C",1,"C",20031,"['MWF 0905-1000', 'Th 0100-0300PM']","Research",2003,22
"50",5688,1,106,"['BIO']",NA,"['Eric Cole']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","A",1,"C",20031,"['MWF 0800-0855', 'Th 0215-0445PM']","Research",2003,32
"51",5689,1,106,"['BIO']",NA,"['Eric Cole']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","B",1,"O",20031,"['MWF 0800-0855', 'Th 0800-1030']","Research",2003,24
"52",5690,1,106,"['BIO']",NA,"['Eric Cole']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","C",1,"C",20031,"['MWF 0800-0855', 'F 1045-0115PM']","Research",2003,13
"53",5691,1,106,"['BIO']",NA,"['John Giannini']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","D",1,"O",20031,"['MWF 0905-1000', 'M 1200-0230PM']","Research",2003,28
"54",5692,1,106,"['BIO']",NA,"['John Giannini']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","E",1,"O",20031,"['MWF 0905-1000', 'M 0300-0530PM']","Research",2003,29
"55",5693,1,106,"['BIO']",NA,"['Muir Eaton']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","F",1,"O",20031,"['MWF 1045-1140', 'T 0800-1030']","Research",2003,21
"56",5694,1,106,"['BIO']",NA,"['Muir Eaton']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","G",1,"C",20031,"['MWF 1045-1140', 'T 1145-0215PM']","Research",2003,27
"57",5695,1,106,"['BIO']",NA,"['Muir Eaton']",100,"['SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","H",1,"C",20031,"['MWF 1045-1140', 'W 0300-0530PM']","Research",2003,25
"58",5696,1,106,"['BIO']",NA,"['Robert Rutherford']",100,"['SC 278', 'SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","I",1,"O",20031,"['T 0935-1100', 'Th 0930-1050', 'T 0300-0530PM']","Research",2003,23
"59",5697,1,106,"['BIO']",NA,"['Robert Rutherford']",100,"['SC 278', 'SC 278', 'SC 273']","Cellular Bio & Genetics",125,"False","False","J",1,"C",20031,"['T 0935-1100', 'Th 0930-1050', 'W 1150-0220PM']","Research",2003,22
"60",5698,1,122,"['BIO']",NA,"['Jean C. Porterfield']",200,"['SC 280', 'SC 211']","Intermediate Genetics",233,"False","False","A",1,"C",20031,"['MWF 1045-1140', 'T 0800-1100']","Research",2003,24
"61",5699,1,122,"['BIO']",NA,"['Jean C. Porterfield']",200,"['SC 280', 'SC 211']","Intermediate Genetics",233,"False","False","B",1,"C",20031,"['MWF 1045-1140', 'T 0120-0420PM']","Research",2003,26
