"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",23182,1,4,"['AMST']",NA,"['James Farrell']",100,"['CH 111']","Perspec Amer Culture",100,"False","False","",1,"O",19981,"['MWF 0905-1000']","Research",1998,24
"2",23183,1,12,"['AMST']",NA,"['James Farrell']",200,"","IS/Nature Writers",298,"False","False","",1,"O",19981,"","Research",1998,1
"3",23184,1,14,"['AMST']",NA,"['James Farrell']",300,"","Academic Internship",394,"True","False","",1,"O",19981,"","Research",1998,1
"4",23185,1,15,"['AMST']",NA,"['James Farrell']",300,"","IR/Essay: Mall-America",398,"False","False","",1,"O",19981,"","Research",1998,1
"15",23196,1,27,"['ART']",NA,"['Jan Shoger']",100,"['FH 42']","Honors Found Drawing",120,"False","False","",1,"C",19981,"['MWF 0800-1000']","Research",1998,16
"16",23197,1,29,"['ART']",NA,"['Margaret Ojala']",100,"['FH 2']","Found Photography",124,"False","False","",1,"C",19981,"['TTh 0800-1100']","Research",1998,19
"17",23198,1,31,"['ART']",NA,"['Perette Michelli']",100,"['FH 01']","Ancient--Medieval",150,"False","False","",1,"O",19981,"['MWF 0200-0255PM']","Research",1998,31
"18",23199,1,33,"['ART']",NA,"['Wendell Arneson']",200,"['FH 40']","Oil/Acrylic Paintng",231,"False","False","A",1,"C",19981,"['MWF 1255-0255PM']","Research",1998,24
"19",23201,1,35,"['ART']",NA,"['Irve Dell']",200,"['FH 18']","Sculpt: Metal Casting",233,"False","False","",1,"C",19981,"['TTh 1145-0245PM']","Research",1998,10
"20",23202,1,37,"['ART']",NA,"['Steven Edwins']",200,"['FH AB']","Arch Drawing/Design I",235,"False","False","",1,"O",19981,"['MWF 1255-0255PM']","Research",1998,9
"21",23203,1,38,"['ART']",NA,"['Jan Shoger']",200,"['FH 44']","Printmkg: Relief/Litho",236,"False","False","",1,"O",19981,"['MWF 1045-1245PM']","Research",1998,7
"22",23205,1,46,"['ART']",NA,"['Margaret Ojala']",200,"['FH 2']","Photography",248,"False","False","",1,"O",19981,"['TTh 1145-0245PM']","Research",1998,11
"23",23206,1,51,"['ART']",NA,"['Matthew Rohn']",200,"['FH 01']","High Modernism",252,"False","False","",1,"O",19981,"['MWF 1045-1140']","Research",1998,37
"24",23207,1,53,"['ART']",NA,"['Perette Michelli']",200,"['FH 01']","Italian Renaissance",254,"False","False","",1,"O",19981,"['MWF 0905-1000']","Research",1998,27
"25",23209,1,60,"['ART']",NA,"['Perette Michelli']",200,"['FH 01']","Medieval",263,"False","False","",1,"O",19981,"['TTh 1145-0110PM']","Research",1998,18
"26",23210,1,64,"['ART']",NA,"['Matthew Rohn']",200,"['FH SEM']","Issues Art Criticism",270,"False","False","",1,"C",19981,"['TTh 0120-0245PM']","Research",1998,17
"27",23212,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Primitive Ceramics",298,"False","False","A",1,"O",19981,"","Research",1998,1
"28",23213,1,69,"['ART']",NA,"['Wendell Arneson']",200,"","IS/Embroidered Art",298,"False","False","B",1,"O",19981,"","Research",1998,1
"29",23214,1,1512,"['ART']",NA,"['Wendell Arneson']",300,"['FH 40']","Painting II",331,"False","False","",1,"O",19981,"['MWF 1255-0255PM']","Research",1998,13
"30",23215,1,1513,"['ART']",NA,"['Irve Dell']",300,"['FH 18']","Sculpture II",333,"False","False","",1,"O",19981,"['TTh 1145-0245PM']","Research",1998,4
"31",23216,1,1516,"['ART']",NA,"['Margaret Ojala']",300,"['FH 2']","Photography II",348,"False","False","",1,"O",19981,"['TTh 1145-0245PM']","Research",1998,3
"32",23217,1,75,"['ART']",NA,"['Ron Gallas']",300,"","IR/Utilitarian Pots",398,"False","False","",1,"O",19981,"","Research",1998,1
"33",23218,1,78,"['ASIAN']",NA,"['Barbara Reed']",100,"['CH 109']","Asian Cultures",121,"False","False","",1,"O",19981,"['TTh 0120-0245PM']","Research",1998,19
"34",23219,1,98,"['ASIAN']",NA,"['Richard Bodman']",300,"['M 4']","Asia Seminar",399,"False","False","",1,"O",19981,"['TTh 0120-0245PM']","Seminar",1998,11
"127",23312,1,229,"['CLASS']",NA,"['Gwendolyn Compton-Engle']",200,"['M 31']","Greek & Roman Myth-Tr",241,"False","False","",1,"O",19981,"['TTh 1145-0110PM']","Research",1998,20
"128",23313,1,236,"['CLASS']",NA,"['Steve T. Reece']",300,"","IR/Gr Nt Exegesis Col",398,"False","False","",1,"O",19981,"","Research",1998,1
"129",23314,1,237,"['CHIN']",NA,"['Richard Bodman']",100,"['M 3']","Beginning Chinese I",111,"False","False","A",1,"O",19981,"['MWF 0905-1000']","Research",1998,12
"131",23316,1,237,"['CHIN']",NA,"['Richard Bodman']",100,"['M 11']","Beginning Chinese I",111,"False","False","B",1,"O",19981,"['MWF 1150-1245PM']","Research",1998,10
"133",23318,1,241,"['CHIN']",NA,"['Pin Pin Wan']",200,"['M 3']","Intermed Chinese I",231,"False","False","",1,"O",19981,"['MWF 1045-1140']","Research",1998,9
"135",23320,1,1564,"['CHIN']",NA,"['Pin Pin Wan']",200,"['M 35']","Chinese Class Lit-Tr",235,"False","False","",1,"O",19981,"['TTh 1145-0110PM']","Research",1998,4
"136",23321,1,250,"['CHIN']",NA,"['Pin Pin Wan']",300,"['M 36']","Advanced Chinese",371,"False","False","",1,"O",19981,"['MWF 0905-1000']","Research",1998,2
"137",23322,1,259,"['ECON']",NA,"['Mark Pernecky']",100,"['H 403']","Principles of Econ",121,"False","False","A",1,"C",19981,"['TTh 0120-0245PM']","Research",1998,31
"138",23325,1,259,"['ECON']",NA,"['Steve Soderlind']",100,"['H 413']","Principles of Econ",121,"False","False","D",1,"O",19981,"['TTh 1145-0110PM']","Research",1998,26
"139",23326,1,259,"['ECON']",NA,"['Steve Soderlind']",100,"['H 301']","Principles of Econ",121,"False","False","E",1,"C",19981,"['TTh 0935-1100']","Research",1998,36
"140",23327,1,264,"['ECON']",NA,"['Edward David Emery']",200,"['M 31']","Economic Methods",233,"False","False","",1,"O",19981,"['TTh 0935-1100']","Research",1998,21
"141",23328,1,266,"['ECON']",NA,"['Bruce Dalgaard']",200,"['L 515']","Econ Develop in Japan",238,"False","False","",1,"O",19981,"['TTh 1145-0110PM']","Research",1998,10
"142",23329,1,268,"['ECON']",NA,"['David Schodt']",200,"['M 11']","Economic Development",243,"False","False","",1,"O",19981,"['TTh 0935-1100']","Research",1998,19
"143",23331,1,270,"['ECON']",NA,"['Edward David Emery']",200,"['H 516']","Health Care Econ",245,"False","False","",1,"O",19981,"['TTh 1145-0110PM']","Research",1998,15
"144",23332,1,274,"['ECON']",NA,"['Paul Wojick']",200,"['M 31']","Macroeconomic Theory",261,"False","False","A",1,"C",19981,"['MWF 1150-1245PM']","Research",1998,25
"145",23333,1,274,"['ECON']",NA,"['Paul Wojick']",200,"['H 413']","Macroeconomic Theory",261,"False","False","B",1,"C",19981,"['MWF 1255-0150PM']","Research",1998,27
"146",23334,1,275,"['ECON']",NA,"['David Schodt']",200,"['SC 188']","Microeconomic Theory",262,"False","False","A",1,"O",19981,"['TTh 0120-0245PM']","Research",1998,13
"147",23335,1,275,"['ECON']",NA,"['David Schodt']",200,"['SC 188']","Microeconomic Theory",262,"False","False","B",1,"C",19981,"['TTh 1145-0110PM']","Research",1998,19
"148",23336,1,277,"['ECON']",NA,"['Paul Wojick']",200,"","IS/Imf and Asia",298,"False","False","",1,"O",19981,"","Research",1998,1
"149",23337,1,279,"['ECON']",NA,"['Paul Wojick']",300,"['H 301']","Money and Banking",374,"False","False","",1,"C",19981,"['MWF 0905-1000']","Research",1998,42
"150",23338,1,282,"['ECON']",NA,"['William L. Carlson']",300,"['H 301']","Intro to Econometrics",385,"False","False","",1,"O",19981,"['MWF 1045-1140']","Research",1998,13
"151",23339,1,283,"['ECON']",NA,"['Steve Soderlind']",300,"['H 516']","Senior Project",389,"False","False","",1,"O",19981,"['M 0700-0900PM']","Research",1998,13
"152",23340,1,283,"['ECON']",NA,"['Bruce Dalgaard']",300,"","Senior Project",389,"False","False","A",1,"O",19981,"","Research",1998,1
"153",23341,1,1611,"['ECON']",NA,"['Mark Pernecky']",300,"['H 514']","Economic Justice",393,"False","False","",1,"O",19981,"['TTh 0935-1100']","Research",1998,19
"161",23349,1,311,"['EDUC']",NA,"['Mark Schelske']",200,"['FH 10']","Educ Psychology",290,"False","False","A",1,"C",19981,"['MWF 1045-1140']","Research",1998,22
"162",23350,1,311,"['EDUC']",NA,"['Debra E. Anderson']",200,"['FH 10']","Educ Psychology",290,"False","False","B",1,"C",19981,"['TTh 0800-0925']","Research",1998,15
"163",23351,1,321,"['EDUC']",NA,"['Myron L. Solid']",300,"['FH 10']","Prin Secondary Educ",330,"False","False","A",1,"C",19981,"['MWF 0905-1000']","Research",1998,25
"164",23352,1,321,"['EDUC']",NA,"['Myron L. Solid']",300,"['FH 10L']","Prin Secondary Educ",330,"False","False","B",1,"C",19981,"['MWF 0800-0855']","Research",1998,24
"165",23353,1,321,"['EDUC']",NA,"['Jim Holden']",300,"['FH 10']","Prin Secondary Educ",330,"False","False","C",1,"C",19981,"['TTh 0935-1100']","Research",1998,22
"166",23354,1,328,"['EDUC']",NA,"['Mary Cisar']",300,"['FH 10L']","Tchg of Modern Lang",353,"False","False","",1,"C",19981,"['MWF 0800-0855']","Research",1998,9
"174",23364,1,337,"['EDUC']",2,"['Ann A. Leming']",300,"['FH 10']","The Exceptional Child",376,"False","False","A",1,"C",19981,"['MWF 1255-0150PM']","Research",1998,3
"179",23369,1,345,"['EDUC']",NA,"['Mark Schelske']",300,"","IR/Multicultural Ed",398,"False","False","",1,"O",19981,"","Research",1998,1
"189",23379,1,1643,"['DNCTE']",NA,"['Susan Bauer']",100,"['CHM 140']","Movement/Perf Artist",115,"False","False","",1,"O",19981,"['TTh 0800-0925']","Research",1998,9
"208",23398,1,381,"['ENGL']",NA,"['Gene Bauer']",100,"['L 420']","Engl as Second Lang",107,"False","False","",1,"O",19981,"['MWF 0800-0855']","Research",1998,8
"209",23399,1,383,"['ENGL']",NA,"['Colin Wells']",100,"['L 421']","Skills in Composition",110,"False","False","A",1,"O",19981,"['MWF 0200-0255PM']","Research",1998,8
"210",23401,1,1669,"['ENGL']",NA,"['John T. Day']",100,"['L 525']","Intr/Literary Studies",125,"False","False","A",1,"O",19981,"['MWF 0200-0255PM']","Research",1998,22
"211",23402,1,1669,"['ENGL']",NA,"['Richard DuRocher']",100,"['L 525']","Intr/Literary Studies",125,"False","False","B",1,"C",19981,"['TTh 0935-1100']","Research",1998,28
"212",23403,1,1669,"['ENGL']",NA,"['Joan Hepburn']",100,"['L 525']","Intr/Literary Studies",125,"False","False","C",1,"C",19981,"['TTh 0120-0245PM']","Research",1998,30
"213",23404,1,397,"['ENGL']",NA,"['Karen Cherewatuk']",200,"['L 525']","Lit in Engl to 1650",221,"False","False","",1,"O",19981,"['MW 0905-1000']","Research",1998,45
